DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,OUTCOME,ASVAB_STATUS,DISTNAME_CLEAN,DD1G,DD2G,DD3G,D_RATING
039905,MIDWAY ISD,39.0,CLAY,9.0,N,N,Meets Requirements, ,Midway ISD,B,B,B,B
040901,MORTON ISD,40.0,COCHRAN,17.0,N,N,Meets Requirements, ,Morton ISD,D,D,C,C
040902,WHITEFACE CISD,40.0,COCHRAN,17.0,N,N,Meets Requirements, ,Whiteface CISD,B,B,B,B
041901,BRONTE ISD,41.0,COKE,15.0,N,N,Meets Requirements, ,Bronte ISD,B,B,B,B
041902,ROBERT LEE ISD,41.0,COKE,15.0,N,N,Meets Requirements, ,Robert Lee ISD,B,B,B,B
042901,COLEMAN ISD,42.0,COLEMAN,15.0,N,N,Needs Intervention, ,Coleman ISD,B,B,C,B
042903,SANTA ANNA ISD,42.0,COLEMAN,15.0,N,N,Meets Requirements, ,Santa Anna ISD,B,A,B,B
042905,PANTHER CREEK CISD,42.0,COLEMAN,15.0,N,N,Meets Requirements, ,Panther Creek CISD,B,B,B,B
043801,IMAGINE INTERNATIONAL ACADEMY OF N,43.0,COLLIN,10.0,Y,N,Meets Requirements, ,Imagine International Academy Of N,A,B,A,A
043802,LONE STAR LANGUAGE ACADEMY,43.0,COLLIN,10.0,Y,N,Meets Requirements, ,Lone Star Language Academy,B,F,Not Rated,B
043901,ALLEN ISD,43.0,COLLIN,10.0,N,N,Meets Requirements, ,Allen ISD,A,A,B,A
043902,ANNA ISD,43.0,COLLIN,10.0,N,N,Meets Requirements, ,Anna ISD,B,B,B,B
043903,CELINA ISD,43.0,COLLIN,10.0,N,N,Meets Requirements, ,Celina ISD,A,B,A,A
043904,FARMERSVILLE ISD,43.0,COLLIN,10.0,N,N,Needs Assistance, ,Farmersville ISD,B,A,A,A
043905,FRISCO ISD,43.0,COLLIN,10.0,N,N,Meets Requirements, ,Frisco ISD,A,B,B,A
043907,MCKINNEY ISD,43.0,COLLIN,10.0,N,N,Needs Intervention, ,McKinney ISD,B,B,B,B
043908,MELISSA ISD,43.0,COLLIN,10.0,N,N,Meets Requirements, ,Melissa ISD,A,B,A,A
043910,PLANO ISD,43.0,COLLIN,10.0,N,N,Meets Requirements, ,Plano ISD,B,A,A,A
043911,PRINCETON ISD,43.0,COLLIN,10.0,N,N,Needs Intervention, ,Princeton ISD,B,A,B,A
043912,PROSPER ISD,43.0,COLLIN,10.0,N,N,Meets Requirements, ,Prosper ISD,A,A,A,A
043914,WYLIE ISD,43.0,COLLIN,10.0,N,N,Meets Requirements, ,Wylie ISD,A,A,A,A
043917,BLUE RIDGE ISD,43.0,COLLIN,10.0,N,N,Meets Requirements, ,Blue Ridge ISD,B,A,A,A
043918,COMMUNITY ISD,43.0,COLLIN,10.0,N,N,Meets Requirements, ,Community ISD,A,A,B,A
043919,LOVEJOY ISD,43.0,COLLIN,10.0,N,N,Meets Requirements, ,Lovejoy ISD,A,A,A,A
044902,WELLINGTON ISD,44.0,COLLINGSWORTH,16.0,N,N,Meets Requirements, ,Wellington ISD,A,A,B,B
045902,COLUMBUS ISD,45.0,COLORADO,3.0,N,N,Meets Requirements,ASVAB Test not Offered,Columbus ISD,B,B,C,B
045903,RICE CISD,45.0,COLORADO,3.0,N,N,Needs Assistance, ,Rice CISD,C,C,D,C
045905,WEIMAR ISD,45.0,COLORADO,3.0,N,N,Meets Requirements,ASVAB Alternative Test Offered,Weimar ISD,A,A,B,B
046802,TRINITY CHARTER SCHOOL,46.0,COMAL,20.0,Y,Y,Meets Requirements, ,Trinity Charter School,Not Rated,Not Rated,Not Rated,Not Rated
046901,NEW BRAUNFELS ISD,46.0,COMAL,13.0,N,N,Needs Assistance, ,New Braunfels ISD,B,B,B,B
046902,COMAL ISD,46.0,COMAL,20.0,N,N,Meets Requirements, ,Comal ISD,A,B,A,A
047901,COMANCHE ISD,47.0,COMANCHE,14.0,N,N,Meets Requirements, ,Comanche ISD,B,A,C,B
047902,DE LEON ISD,47.0,COMANCHE,14.0,N,N,Meets Requirements, ,De Leon ISD,A,A,B,A
047903,GUSTINE ISD,47.0,COMANCHE,14.0,N,N,Meets Requirements, ,Gustine ISD,B,B,C,B
047905,SIDNEY ISD,47.0,COMANCHE,14.0,N,N,Meets Requirements, ,Sidney ISD,A,A,B,A
048901,EDEN CISD,48.0,CONCHO,15.0,N,N,Meets Requirements, ,Eden CISD,B,B,C,B
048903,PAINT ROCK ISD,48.0,CONCHO,15.0,N,N,Needs Assistance, ,Paint Rock ISD,B,A,C,B
049901,GAINESVILLE ISD,49.0,COOKE,11.0,N,N,Needs Assistance, ,Gainesville ISD,C,B,C,C
