Region Code,TEA Region,County Number,County Name,sy_end,demo_cat_type,economic_status,enrolled_8th,graduated,total_enrolled,total_degrees,graduated_percent,total_enrolled_percent,total_degrees_percent
5,BEAUMONT,121,JASPER,2013,econ_status,Economically Disadvantaged,145,113,49,16,77%,33%,11%
5,BEAUMONT,121,JASPER,2013,econ_status,Not Economically Disadvantaged,186,165,121,77,88%,65%,41%
5,BEAUMONT,123,JEFFERSON,2013,econ_status,Economically Disadvantaged,1759,1358,784,288,77%,44%,16%
5,BEAUMONT,123,JEFFERSON,2013,econ_status,Not Economically Disadvantaged,1125,957,757,429,85%,67%,38%
5,BEAUMONT,176,NEWTON,2013,econ_status,Economically Disadvantaged,29,25,15,5,86%,51%,17%
5,BEAUMONT,176,NEWTON,2013,econ_status,Not Economically Disadvantaged,37,30,16,10,81%,43%,27%
5,BEAUMONT,181,ORANGE,2013,econ_status,Economically Disadvantaged,495,357,175,51,72%,35%,10%
5,BEAUMONT,181,ORANGE,2013,econ_status,Not Economically Disadvantaged,593,520,379,207,87%,63%,34%
5,BEAUMONT,229,TYLER,2013,econ_status,Economically Disadvantaged,108,88,48,16,81%,44%,14%
5,BEAUMONT,229,TYLER,2013,econ_status,Not Economically Disadvantaged,100,92,63,33,92%,63%,33%
6,HUNTSVILLE,8,AUSTIN,2013,econ_status,Economically Disadvantaged,189,161,78,30,85%,41%,15%
6,HUNTSVILLE,8,AUSTIN,2013,econ_status,Not Economically Disadvantaged,204,188,138,83,92%,67%,40%
6,HUNTSVILLE,21,BRAZOS,2013,econ_status,Economically Disadvantaged,1007,763,342,126,75%,33%,12%
6,HUNTSVILLE,21,BRAZOS,2013,econ_status,Not Economically Disadvantaged,839,750,588,384,89%,70%,45%
6,HUNTSVILLE,26,BURLESON,2013,econ_status,Economically Disadvantaged,99,80,35,15,80%,35%,15%
6,HUNTSVILLE,26,BURLESON,2013,econ_status,Not Economically Disadvantaged,66,58,40,17,87%,60%,25%
6,HUNTSVILLE,93,GRIMES,2013,econ_status,Economically Disadvantaged,180,148,57,21,82%,31%,11%
6,HUNTSVILLE,93,GRIMES,2013,econ_status,Not Economically Disadvantaged,94,84,62,37,89%,65%,39%
6,HUNTSVILLE,113,HOUSTON,2013,econ_status,Economically Disadvantaged,103,86,42,21,83%,40%,20%
6,HUNTSVILLE,113,HOUSTON,2013,econ_status,Not Economically Disadvantaged,66,61,47,31,92%,71%,46%
6,HUNTSVILLE,145,LEON,2013,econ_status,Not Economically Disadvantaged,90,81,70,37,90%,77%,41%
6,HUNTSVILLE,154,MADISON,2013,econ_status,Economically Disadvantaged,115,86,43,16,74%,37%,13%
6,HUNTSVILLE,154,MADISON,2013,econ_status,Not Economically Disadvantaged,55,52,35,21,94%,63%,38%
6,HUNTSVILLE,166,MILAM,2013,econ_status,Economically Disadvantaged,94,79,39,12,84%,41%,12%
6,HUNTSVILLE,166,MILAM,2013,econ_status,Not Economically Disadvantaged,83,78,61,34,93%,73%,40%
6,HUNTSVILLE,170,MONTGOMERY,2013,econ_status,Economically Disadvantaged,2874,2152,1067,326,74%,37%,11%
6,HUNTSVILLE,170,MONTGOMERY,2013,econ_status,Not Economically Disadvantaged,4390,3716,2662,1508,84%,60%,34%
6,HUNTSVILLE,187,POLK,2013,econ_status,Economically Disadvantaged,269,211,79,29,78%,29%,10%
6,HUNTSVILLE,187,POLK,2013,econ_status,Not Economically Disadvantaged,172,153,105,64,88%,61%,37%
