CAMPUS,CAMPNAME,DISTRICT,DISTNAME,REGION,REGNNAME,COUNTY,CNTYNAME,GRDTYPE,GRDSPAN,PAIRCAMP,PAIRNAME,CFLALTED,CFLCHART
"'003903130","TROUT PRI","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'EE - 02","'003903122","BROOKHOLLOW EL","N","N"
"'003903131","BURLEY PRI","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'KG - 02","'003903129","SLACK EL","N","N"
"'003903201","JUVENILE DETENT CTR","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","S","'07 - 11"," "," ","N","N"
"'003904001","HUNTINGTON H S","'003904","HUNTINGTON ISD","'07","REGION 07: KILGORE","'003","ANGELINA","S","'09 - 12"," "," ","N","N"
"'003904005","PRIDE ALTER SCH","'003904","HUNTINGTON ISD","'07","REGION 07: KILGORE","'003","ANGELINA","S","'11 - 12"," "," ","Y","N"
"'003904041","HUNTINGTON MIDDLE","'003904","HUNTINGTON ISD","'07","REGION 07: KILGORE","'003","ANGELINA","M","'06 - 08"," "," ","N","N"
"'003904101","HUNTINGTON EL","'003904","HUNTINGTON ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'EE - 03"," "," ","N","N"
"'003904102","HUNTINGTON INT","'003904","HUNTINGTON ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'04 - 05"," "," ","N","N"
"'003905001","DIBOLL H S","'003905","DIBOLL ISD","'07","REGION 07: KILGORE","'003","ANGELINA","S","'09 - 12"," "," ","N","N"
"'003905004","STUBBLEFIELD LRN CTR","'003905","DIBOLL ISD","'07","REGION 07: KILGORE","'003","ANGELINA","S","'10 - 12"," "," ","Y","N"
"'003905041","DIBOLL J H","'003905","DIBOLL ISD","'07","REGION 07: KILGORE","'003","ANGELINA","M","'06 - 08"," "," ","N","N"
"'003905101","H G TEMPLE EL","'003905","DIBOLL ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'PK - 02","'003905103","H G TEMPLE INT","N","N"
"'003905103","H G TEMPLE INT","'003905","DIBOLL ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'03 - 05"," "," ","N","N"
"'003906001","ZAVALLA H S","'003906","ZAVALLA ISD","'07","REGION 07: KILGORE","'003","ANGELINA","B","'06 - 12"," "," ","N","N"
"'003906101","ZAVALLA EL","'003906","ZAVALLA ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'EE - 05"," "," ","N","N"
"'003907001","CENTRAL H S","'003907","CENTRAL ISD","'07","REGION 07: KILGORE","'003","ANGELINA","S","'09 - 12"," "," ","N","N"
"'003907004","STUBBLEFIELD LRN CTR","'003907","CENTRAL ISD","'07","REGION 07: KILGORE","'003","ANGELINA","S","'10 - 12"," "," ","Y","N"
"'003907041","CENTRAL J H","'003907","CENTRAL ISD","'07","REGION 07: KILGORE","'003","ANGELINA","M","'05 - 08"," "," ","N","N"
"'003907102","CENTRAL EL","'003907","CENTRAL ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'EE - 04"," "," ","N","N"
"'004901001","ROCKPORT-FULTON H S","'004901","ROCKPORT-FULTON ISD","'02","REGION 02: CORPUS CHRISTI","'004","ARANSAS","S","'09 - 12"," "," ","N","N"
"'004901041","ROCKPORT-FULTON MIDDLE","'004901","ROCKPORT-FULTON ISD","'02","REGION 02: CORPUS CHRISTI","'004","ARANSAS","M","'06 - 08"," "," ","N","N"
"'004901101","FULTON LEARNING CENTER","'004901","ROCKPORT-FULTON ISD","'02","REGION 02: CORPUS CHRISTI","'004","ARANSAS","E","'03 - 05"," "," ","N","N"
"'004901103","LIVE OAK LEARNING CENTER","'004901","ROCKPORT-FULTON ISD","'02","REGION 02: CORPUS CHRISTI","'004","ARANSAS","E","'EE - 02","'004901101","FULTON LEARNING CENTER","N","N"
"'005901001","ARCHER CITY H S","'005901","ARCHER CITY ISD","'09","REGION 09: WICHITA FALLS","'005","ARCHER","S","'07 - 12"," "," ","N","N"
"'005901101","ARCHER CITY EL","'005901","ARCHER CITY ISD","'09","REGION 09: WICHITA FALLS","'005","ARCHER","E","'PK - 06"," "," ","N","N"
"'005902001","HOLLIDAY H S","'005902","HOLLIDAY ISD","'09","REGION 09: WICHITA FALLS","'005","ARCHER","S","'09 - 12"," "," ","N","N"
"'005902041","HOLLIDAY MIDDLE","'005902","HOLLIDAY ISD","'09","REGION 09: WICHITA FALLS","'005","ARCHER","M","'06 - 08"," "," ","N","N"
"'005902101","HOLLIDAY EL","'005902","HOLLIDAY ISD","'09","REGION 09: WICHITA FALLS","'005","ARCHER","E","'PK - 05"," "," ","N","N"
"'005904001","WINDTHORST H S","'005904","WINDTHORST ISD","'09","REGION 09: WICHITA FALLS","'005","ARCHER","S","'09 - 12"," "," ","N","N"
"'005904041","WINDTHORST JH","'005904","WINDTHORST ISD","'09","REGION 09: WICHITA FALLS","'005","ARCHER","M","'06 - 08"," "," ","N","N"
"'005904101","WINDTHORST EL","'005904","WINDTHORST ISD","'09","REGION 09: WICHITA FALLS","'005","ARCHER","E","'EE - 05"," "," ","N","N"
"'006902001","CLAUDE SCHOOLS","'006902","CLAUDE ISD","'16","REGION 16: AMARILLO","'006","ARMSTRONG","B","'EE - 12"," "," ","N","N"
"'007901001","CHARLOTTE H S","'007901","CHARLOTTE ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","S","'09 - 12"," "," ","N","N"
"'007901003","DISTRICT REASSIGNMENT & OPPORTUNITY CENTER","'007901","CHARLOTTE ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","M","'07 - 07"," "," ","N","N"
"'007901041","CHARLOTTE MIDDLE","'007901","CHARLOTTE ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","M","'06 - 08"," "," ","N","N"
"'007901101","CHARLOTTE EL","'007901","CHARLOTTE ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","E","'PK - 05"," "," ","N","N"
"'007902001","JOURDANTON H S","'007902","JOURDANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","S","'09 - 12"," "," ","N","N"
"'007902004","THE LARRY BROWN SCHOOL","'007902","JOURDANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","M","'07 - 08"," "," ","N","N"
"'007902005","ATASCOSA COUNTY JUVENILE JUSTICE CENTER","'007902","JOURDANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","S","'08 - 11"," "," ","Y","N"
"'007902006","JOURDANTON DAEP","'007902","JOURDANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","B","'06 - 11"," "," ","N","N"
"'007902041","JOURDANTON J H","'007902","JOURDANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","M","'06 - 08"," "," ","N","N"
"'007902101","JOURDANTON EL","'007902","JOURDANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","E","'02 - 05"," "," ","N","N"
"'007902102","JOURDANTON ECC","'007902","JOURDANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","E","'EE - 01","'007902101","JOURDANTON EL","N","N"
"'007904001","LYTLE H S","'007904","LYTLE ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","S","'09 - 12"," "," ","N","N"
"'007904002","LYTLE DAEP","'007904","LYTLE ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","S","'07 - 12"," "," ","N","N"
"'007904041","LYTLE J H","'007904","LYTLE ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","M","'06 - 08"," "," ","N","N"
"'007904101","LYTLE EL","'007904","LYTLE ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","E","'02 - 05"," "," ","N","N"
"'007904103","LYTLE PRIMARY SCHOOL","'007904","LYTLE ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","E","'EE - 01","'007904101","LYTLE EL","N","N"
"'007905001","PLEASANTON H S","'007905","PLEASANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","S","'09 - 12"," "," ","N","N"
"'007905004","ATASCOSA CO ALTER","'007905","PLEASANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","S","'07 - 10"," "," ","N","N"
"'007905005","PLEASANTON ISD SCHOOL OF CHOICE","'007905","PLEASANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","S","'09 - 12"," "," ","Y","N"
"'007905041","PLEASANTON J H","'007905","PLEASANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","M","'06 - 08"," "," ","N","N"
"'007905103","PLEASANTON EL","'007905","PLEASANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","E","'02 - 05"," "," ","N","N"
"'007905105","PLEASANTON PRI","'007905","PLEASANTON ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","E","'EE - 01","'007905103","PLEASANTON EL","N","N"
"'007906001","POTEET H S","'007906","POTEET ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","S","'09 - 12"," "," ","N","N"
"'007906003","ATASCOSA CO JUVENILE UNIT","'007906","POTEET ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","M","'08 - 09"," "," ","N","N"
"'007906041","POTEET J H","'007906","POTEET ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","M","'06 - 08"," "," ","N","N"
"'007906101","POTEET EL","'007906","POTEET ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","E","'EE - 02","'007906102","POTEET INT","N","N"
"'007906102","POTEET INT","'007906","POTEET ISD","'20","REGION 20: SAN ANTONIO","'007","ATASCOSA","E","'03 - 05"," "," ","N","N"
"'008901001","BELLVILLE H S","'008901","BELLVILLE ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","S","'09 - 12"," "," ","N","N"
"'008901041","BELLVILLE J H","'008901","BELLVILLE ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","M","'06 - 08"," "," ","N","N"
"'008901101","O'BRYANT PRI","'008901","BELLVILLE ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","E","'EE - 03"," "," ","N","N"
"'008901102","O'BRYANT INT","'008901","BELLVILLE ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","E","'04 - 05"," "," ","N","N"
"'008901105","WEST END EL","'008901","BELLVILLE ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","E","'KG - 05"," "," ","N","N"
"'008902001","SEALY H S","'008902","SEALY ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","S","'09 - 12"," "," ","N","N"
"'008902041","SEALY J H","'008902","SEALY ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","M","'06 - 08"," "," ","N","N"
"'008902102","SELMAN EL","'008902","SEALY ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","E","'EE - 05"," "," ","N","N"
"'008902104","SEALY EL","'008902","SEALY ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","E","'PK - 05"," "," ","N","N"
"'008903001","BRAZOS H S","'008903","BRAZOS ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","S","'09 - 12"," "," ","N","N"
"'008903041","BRAZOS MIDDLE","'008903","BRAZOS ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","M","'06 - 08"," "," ","N","N"
"'008903102","BRAZOS EL","'008903","BRAZOS ISD","'06","REGION 06: HUNTSVILLE","'008","AUSTIN","E","'EE - 05"," "," ","N","N"
"'009901001","MULESHOE H S","'009901","MULESHOE ISD","'17","REGION 17: LUBBOCK","'009","BAILEY","S","'09 - 12"," "," ","N","N"
"'009901041","WATSON J H","'009901","MULESHOE ISD","'17","REGION 17: LUBBOCK","'009","BAILEY","M","'06 - 08"," "," ","N","N"
"'009901101","MARY DESHAZO EL","'009901","MULESHOE ISD","'17","REGION 17: LUBBOCK","'009","BAILEY","E","'03 - 05"," "," ","N","N"
"'009901103","DILLMAN EL","'009901","MULESHOE ISD","'17","REGION 17: LUBBOCK","'009","BAILEY","E","'EE - 02","'009901101","MARY DESHAZO EL","N","N"
"'010901001","MEDINA SCHOOL","'010901","MEDINA ISD","'20","REGION 20: SAN ANTONIO","'010","BANDERA","B","'PK - 12"," "," ","N","N"
"'010902001","BANDERA H S","'010902","BANDERA ISD","'20","REGION 20: SAN ANTONIO","'010","BANDERA","S","'09 - 12"," "," ","N","N"
"'010902041","BANDERA MIDDLE","'010902","BANDERA ISD","'20","REGION 20: SAN ANTONIO","'010","BANDERA","M","'06 - 08"," "," ","N","N"
"'010902101","ALKEK EL","'010902","BANDERA ISD","'20","REGION 20: SAN ANTONIO","'010","BANDERA","E","'EE - 05"," "," ","N","N"
"'010902102","HILL COUNTRY EL","'010902","BANDERA ISD","'20","REGION 20: SAN ANTONIO","'010","BANDERA","E","'EE - 05"," "," ","N","N"
"'011901001","BASTROP H S","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","S","'09 - 12"," "," ","N","N"
"'011901002","CEDAR CREEK H S","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","S","'09 - 12"," "," ","N","N"
"'011901005","COLORADO RIVER COLLEGIATE ACADEMY","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","S","'09 - 12"," "," ","N","N"
"'011901022","GENESIS H S","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","S","'09 - 12"," "," ","Y","N"
"'011901041","BASTROP MIDDLE","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","M","'07 - 08"," "," ","N","N"
"'011901101","EMILE EL","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'PK - 05"," "," ","N","N"
"'011901102","MINA EL","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'EE - 05"," "," ","N","N"
