CAMPUS,CDALLS,C_RATING,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,COMP23F,CAMPNAME,CD3,CD3G,CD3S,COUNTY,CNTYNAME,DISTRICT,DISTNAME,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,LAS_SCORE,LAS_WEIGHT,CFLPAIR,CFLPAIRD,CFLPAIRO,PAIRCAMP,PAIRNAME,REGION,REGNNAME,CD2A,CD2AG,CD2AS,CD2B,CD2BG,CD2BS,CD2G,CD2S,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD1G,CD1S,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP
003902101,80.0,B, ,N,N,N,N,N,N,N,N,.,W F PEAVY PRI,,P,,3,ANGELINA,003902,HUDSON ISD,02,EE,EE - 02,E,,,Y,N,N,003902102,W H BONNER EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,46.0,10.7,430.0,691,,0.0,409,59.2,47,6.8,,0.0,83,12.0,,0.0
003902102,80.0,B, ,N,N,N,N,N,N,N,N,.,W H BONNER EL,51.0,C,76.0,3,ANGELINA,003902,HUDSON ISD,05,03,03 - 05,E,,,N,N,Y, , ,7,REGION 07: KILGORE,64.0,C,71.0,,B,81.0,B,81.0,52.0,79.0,,,,,C,79.0,621,100.0,72.0,10.3,696.0,621,,0.0,351,56.5,56,9.0,,0.0,99,15.9,,0.0
003903001,87.0,B, ,N,N,N,N,N,N,N,N,.,LUFKIN H S,65.0,B,82.0,3,ANGELINA,003903,LUFKIN ISD,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,72.0,C,77.0,,B,89.0,B,89.0,47.0,75.0,93.0,94.0,97.3,85.0,B,85.0,2134,100.0,396.0,16.6,2382.0,2134,481.0,22.5,1809,84.8,327,15.3,0.0,0.0,250,11.7,,0.0
003903004,86.0,B,DROPOUT RECOVERY SCHOOL,Y,Y,N,N,N,N,N,N,.,STUBBLEFIELD LRN CTR,,Z,,3,ANGELINA,003903,LUFKIN ISD,12,10,10 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,,Z,,53.0,B,86.0,B,86.0,31.0,81.0,27.0,77.0,72.3,60.0,C,75.0,35,100.0,63.0,86.3,73.0,35,,0.0,31,88.6,2,5.7,0.0,0.0,3,8.6,,0.0
003903044,79.0,C, ,N,N,N,N,N,N,N,N,.,LUFKIN MIDDLE,27.0,D,66.0,3,ANGELINA,003903,LUFKIN ISD,08,06,06 - 08,M,,,N,N,N, , ,7,REGION 07: KILGORE,57.0,D,64.0,,B,85.0,B,85.0,42.0,74.0,,,,,C,74.0,1487,100.0,207.0,12.1,1717.0,1487,,0.0,1328,89.3,372,25.0,,0.0,216,14.5,,0.0
003903120,86.0,B, ,N,N,N,N,N,N,N,N,.,ANDERSON EL,73.0,B,89.0,3,ANGELINA,003903,LUFKIN ISD,05,03,03 - 05,E,,,N,N,Y, , ,7,REGION 07: KILGORE,75.0,B,85.0,,B,83.0,B,85.0,46.0,74.0,,,,,C,74.0,243,100.0,50.0,18.7,268.0,243,,0.0,218,89.7,33,13.6,,0.0,57,23.5,,0.0
003903121,82.0,B, ,N,N,N,N,N,N,N,N,.,BRANDON EL,36.0,C,71.0,3,ANGELINA,003903,LUFKIN ISD,05,03,03 - 05,E,,,N,N,Y, , ,7,REGION 07: KILGORE,69.0,C,78.0,,B,86.0,B,86.0,53.0,80.0,,,,,B,80.0,394,100.0,62.0,14.7,423.0,394,,0.0,278,70.6,27,6.9,,0.0,54,13.7,,0.0
003903122,69.0,D, ,N,N,N,N,N,N,N,N,3,BROOKHOLLOW EL,54.0,C,77.0,3,ANGELINA,003903,LUFKIN ISD,05,03,03 - 05,E,,,N,N,Y, , ,7,REGION 07: KILGORE,62.0,D,69.0,,D,63.0,D,69.0,33.0,58.0,,,,,F,58.0,250,100.0,60.0,19.6,306.0,250,,0.0,243,97.2,25,10.0,,0.0,66,26.4,,0.0
003903123,69.0,D, ,N,N,N,N,N,N,N,N,.,COSTON EL,32.0,D,69.0,3,ANGELINA,003903,LUFKIN ISD,05,03,03 - 05,E,,,N,N,Y, , ,7,REGION 07: KILGORE,60.0,D,66.0,,C,75.0,C,75.0,39.0,67.0,,,,,D,67.0,204,100.0,46.0,20.0,230.0,204,,0.0,198,97.1,51,25.0,,0.0,55,27.0,,0.0
003903124,82.0,B, ,N,N,N,N,N,N,N,N,.,DUNBAR PRI,,P,,3,ANGELINA,003903,LUFKIN ISD,02,KG,KG - 02,E,,,Y,N,N,003903121,BRANDON EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,46.0,15.4,299.0,383,,0.0,302,78.9,27,7.0,,0.0,26,6.8,,0.0
