COUNTY,REGION,GRDSPAN,PAIRCAMP,CAMPUS,DISTRICT,CAMPNAME,DISTNAME,GRDTYPE,CFLALTED,CNTYNAME,CFLCHART,PAIRNAME
004,02,'09 - 12, ,004901001,004901,ROCKPORT-FULTON H S,ARANSAS COUNTY ISD,S,N,ARANSAS,N, 
004,02,'06 - 08, ,004901041,004901,ROCKPORT-FULTON MIDDLE,ARANSAS COUNTY ISD,M,N,ARANSAS,N, 
004,02,'03 - 05, ,004901101,004901,FULTON LEARNING CENTER,ARANSAS COUNTY ISD,E,N,ARANSAS,N, 
004,02,'EE - 02,'004901101,004901103,004901,LIVE OAK LEARNING CENTER,ARANSAS COUNTY ISD,E,N,ARANSAS,N,FULTON LEARNING CENTER
005,09,'07 - 12, ,005901001,005901,ARCHER CITY H S,ARCHER CITY ISD,S,N,ARCHER,N, 
005,09,'PK - 06, ,005901101,005901,ARCHER CITY EL,ARCHER CITY ISD,E,N,ARCHER,N, 
005,09,'09 - 12, ,005902001,005902,HOLLIDAY H S,HOLLIDAY ISD,S,N,ARCHER,N, 
005,09,'06 - 08, ,005902041,005902,HOLLIDAY MIDDLE,HOLLIDAY ISD,M,N,ARCHER,N, 
005,09,'PK - 05, ,005902101,005902,HOLLIDAY EL,HOLLIDAY ISD,E,N,ARCHER,N, 
005,09,'09 - 12, ,005904001,005904,WINDTHORST H S,WINDTHORST ISD,S,N,ARCHER,N, 
005,09,'06 - 08, ,005904041,005904,WINDTHORST JH,WINDTHORST ISD,M,N,ARCHER,N, 
005,09,'EE - 05, ,005904101,005904,WINDTHORST EL,WINDTHORST ISD,E,N,ARCHER,N, 
006,16,'PK - 12, ,006902001,006902,CLAUDE SCHOOLS,CLAUDE ISD,B,N,ARMSTRONG,N, 
007,20,'09 - 12, ,007901001,007901,CHARLOTTE H S,CHARLOTTE ISD,S,N,ATASCOSA,N, 
007,20,'06 - 08, ,007901041,007901,CHARLOTTE MIDDLE,CHARLOTTE ISD,M,N,ATASCOSA,N, 
007,20,'PK - 05, ,007901101,007901,CHARLOTTE EL,CHARLOTTE ISD,E,N,ATASCOSA,N, 
007,20,'09 - 12, ,007902001,007902,JOURDANTON H S,JOURDANTON ISD,S,N,ATASCOSA,N, 
007,20,'08 - 08, ,007902004,007902,THE LARRY BROWN SCHOOL,JOURDANTON ISD,M,N,ATASCOSA,N, 
007,20,'09 - 10, ,007902005,007902,ATASCOSA COUNTY JUVENILE JUSTICE CENTER,JOURDANTON ISD,S,Y,ATASCOSA,N, 
007,20,'06 - 12, ,007902006,007902,JOURDANTON DAEP,JOURDANTON ISD,B,N,ATASCOSA,N, 
007,20,'06 - 08, ,007902041,007902,JOURDANTON J H,JOURDANTON ISD,M,N,ATASCOSA,N, 
007,20,'02 - 05, ,007902101,007902,JOURDANTON EL,JOURDANTON ISD,E,N,ATASCOSA,N, 
007,20,'EE - 01,'007902101,007902102,007902,JOURDANTON ECC,JOURDANTON ISD,E,N,ATASCOSA,N,JOURDANTON EL
007,20,'09 - 12, ,007904001,007904,LYTLE H S,LYTLE ISD,S,N,ATASCOSA,N, 
007,20,'06 - 12, ,007904002,007904,LYTLE DAEP,LYTLE ISD,B,N,ATASCOSA,N, 
007,20,'06 - 08, ,007904041,007904,LYTLE J H,LYTLE ISD,M,N,ATASCOSA,N, 
007,20,'02 - 05, ,007904101,007904,LYTLE EL,LYTLE ISD,E,N,ATASCOSA,N, 
007,20,'EE - 01,'007904101,007904103,007904,LYTLE PRIMARY SCHOOL,LYTLE ISD,E,N,ATASCOSA,N,LYTLE EL
007,20,'09 - 12, ,007905001,007905,PLEASANTON H S,PLEASANTON ISD,S,N,ATASCOSA,N, 
007,20,'07 - 10, ,007905004,007905,ATASCOSA CO ALTER,PLEASANTON ISD,S,N,ATASCOSA,N, 
007,20,'09 - 12, ,007905005,007905,PLEASANTON ISD SCHOOL OF CHOICE,PLEASANTON ISD,S,Y,ATASCOSA,N, 
007,20,'06 - 08, ,007905041,007905,PLEASANTON J H,PLEASANTON ISD,M,N,ATASCOSA,N, 
007,20,'02 - 05, ,007905103,007905,PLEASANTON EL,PLEASANTON ISD,E,N,ATASCOSA,N, 
007,20,'EE - 01,'007905103,007905105,007905,PLEASANTON PRI,PLEASANTON ISD,E,N,ATASCOSA,N,PLEASANTON EL
007,20,'09 - 12, ,007906001,007906,POTEET H S,POTEET ISD,S,N,ATASCOSA,N, 
007,20,'06 - 08, ,007906041,007906,POTEET J H,POTEET ISD,M,N,ATASCOSA,N, 
007,20,'EE - 02,'007906102,007906101,007906,POTEET EL,POTEET ISD,E,N,ATASCOSA,N,POTEET INT
007,20,'03 - 05, ,007906102,007906,POTEET INT,POTEET ISD,E,N,ATASCOSA,N, 
008,06,'09 - 12, ,008901001,008901,BELLVILLE H S,BELLVILLE ISD,S,N,AUSTIN,N, 
008,06,'06 - 08, ,008901041,008901,BELLVILLE J H,BELLVILLE ISD,M,N,AUSTIN,N, 
008,06,'EE - 03, ,008901101,008901,O'BRYANT PRI,BELLVILLE ISD,E,N,AUSTIN,N, 
008,06,'04 - 05, ,008901102,008901,O'BRYANT INT,BELLVILLE ISD,E,N,AUSTIN,N, 
008,06,'KG - 05, ,008901105,008901,WEST END EL,BELLVILLE ISD,E,N,AUSTIN,N, 
008,06,'09 - 12, ,008902001,008902,SEALY H S,SEALY ISD,S,N,AUSTIN,N, 
008,06,'06 - 08, ,008902041,008902,SEALY J H,SEALY ISD,M,N,AUSTIN,N, 
008,06,'EE - 05, ,008902102,008902,SELMAN EL,SEALY ISD,E,N,AUSTIN,N, 
