"Region Code","TEA Region","County Code","County Name","Gender","8th Grade (FY 2006)","Enrolled in 9th Grade (FY 2007)","% Enrolled in 9th Grade (FY 2007)","Enrolled in 10th Grade(FY 2008)","% Enrolled in 10th Grade (FY 2008)","Enrolled in <10th Grade (FY 2008)","% Enrolled in <10th Grade (FY 2008)","High School Graduate FY 2009-2011","% High School Graduate FY 2009-2011","Enrolled TX 4-year","% Enrolled TX 4-year","Enrolled TX 2-year","% Enrolled TX 2-year","Enrolled in Higher Education","% Enrolled in Higher Education","No Public HS Grad Record Enrolled in Higher Ed","% No Public HS Grad Record Enrolled in Higher Ed","Higher Ed Degree or Certificate Texas","% Higher Ed Degree or Certificate Texas"
14,Abilene,215,STEPHENS,Female,72,69,95.83%,65,90.28%,2,2.78%,59,81.94%,9,12.50%,39,54.17%,48,66.67%,4,5.56%,19,26.39%
14,Abilene,215,STEPHENS,Male,64,64,100.0%,54,84.38%,6,9.38%,47,73.44%,18,28.13%,13,20.31%,31,48.44%,2,3.13%,10,15.63%
14,Abilene,217,STONEWALL,Female,,,,,,,,,,,,,,,,,,,
14,Abilene,217,STONEWALL,Male,,,,,,,,,,,,,,,,,,,
14,Abilene,221,TAYLOR,Female,853,795,93.20%,724,84.88%,65,7.62%,646,75.73%,242,28.37%,278,32.59%,520,60.96%,34,3.99%,249,29.19%
14,Abilene,221,TAYLOR,Male,833,771,92.56%,668,80.19%,86,10.32%,606,72.75%,181,21.73%,237,28.45%,418,50.18%,28,3.36%,168,20.17%
15,San Angelo,025,BROWN,Female,254,244,96.06%,224,88.19%,12,4.72%,199,78.35%,90,35.43%,67,26.38%,157,61.81%,11,4.33%,80,31.50%
15,San Angelo,025,BROWN,Male,303,287,94.72%,269,88.78%,19,6.27%,226,74.59%,74,24.42%,74,24.42%,148,48.84%,10,3.30%,56,18.48%
15,San Angelo,041,COKE,Female,34,33,97.06%,31,91.18%,0,0.00%,28,82.35%,3,8.82%,13,38.24%,16,47.06%,0,0.00%,4,11.76%
15,San Angelo,041,COKE,Male,34,33,97.06%,32,94.12%,2,5.88%,28,82.35%,8,23.53%,11,32.35%,19,55.88%,0,0.00%,3,8.82%
15,San Angelo,042,COLEMAN,Female,74,71,95.95%,67,90.54%,2,2.70%,59,79.73%,15,20.27%,28,37.84%,43,58.11%,4,5.41%,17,22.97%
15,San Angelo,042,COLEMAN,Male,65,62,95.38%,57,87.69%,3,4.62%,52,80.00%,13,20.00%,15,23.08%,28,43.08%,1,1.54%,10,15.38%
15,San Angelo,048,CONCHO,Female,15,15,100.0%,15,100.0%,0,0.00%,15,100.0%,6,40.00%,6,40.00%,12,80.00%,0,0.00%,1,6.67%
15,San Angelo,048,CONCHO,Male,15,15,100.0%,15,100.0%,0,0.00%,13,86.67%,3,20.00%,5,33.33%,8,53.33%,0,0.00%,3,20.00%
15,San Angelo,053,CROCKETT,Female,28,27,96.43%,26,92.86%,0,0.00%,21,75.00%,4,14.29%,11,39.29%,15,53.57%,4,14.29%,5,17.86%
15,San Angelo,053,CROCKETT,Male,31,30,96.77%,28,90.32%,1,3.23%,27,87.10%,8,25.81%,7,22.58%,15,48.39%,0,0.00%,7,22.58%
15,San Angelo,069,EDWARDS,Female,32,30,93.75%,27,84.38%,2,6.25%,24,75.00%,6,18.75%,10,31.25%,16,50.00%,1,3.13%,7,21.88%
15,San Angelo,069,EDWARDS,Male,34,30,88.24%,24,70.59%,5,14.71%,22,64.71%,9,26.47%,6,17.65%,15,44.12%,1,2.94%,1,2.94%
15,San Angelo,118,IRION,Female,17,17,100.0%,17,100.0%,0,0.00%,16,94.12%,7,41.18%,6,35.29%,13,76.47%,0,0.00%,5,29.41%
15,San Angelo,118,IRION,Male,15,15,100.0%,15,100.0%,0,0.00%,14,93.33%,6,40.00%,2,13.33%,8,53.33%,0,0.00%,2,13.33%
15,San Angelo,134,KIMBLE,Female,27,25,92.59%,20,74.07%,3,11.11%,20,74.07%,12,44.44%,4,14.81%,16,59.26%,0,0.00%,6,22.22%
15,San Angelo,134,KIMBLE,Male,19,16,84.21%,17,89.47%,1,5.26%,16,84.21%,4,21.05%,3,15.79%,7,36.84%,0,0.00%,4,21.05%
15,San Angelo,157,MASON,Female,17,16,94.12%,16,94.12%,0,0.00%,15,88.24%,7,41.18%,5,29.41%,12,70.59%,0,0.00%,8,47.06%
15,San Angelo,157,MASON,Male,23,21,91.30%,21,91.30%,0,0.00%,22,95.65%,9,39.13%,3,13.04%,12,52.17%,0,0.00%,7,30.43%
15,San Angelo,160,MCCULLOCH,Female,45,42,93.33%,38,84.44%,4,8.89%,38,84.44%,22,48.89%,6,13.33%,28,62.22%,0,0.00%,14,31.11%
15,San Angelo,160,MCCULLOCH,Male,66,63,95.45%,54,81.82%,4,6.06%,52,78.79%,19,28.79%,10,15.15%,29,43.94%,1,1.52%,12,18.18%
15,San Angelo,164,MENARD,Female,19,19,100.0%,18,94.74%,0,0.00%,15,78.95%,6,31.58%,2,10.53%,8,42.11%,0,0.00%,5,26.32%
15,San Angelo,164,MENARD,Male,15,15,100.0%,15,100.0%,0,0.00%,13,86.67%,3,20.00%,2,13.33%,5,33.33%,0,0.00%,2,13.33%
15,San Angelo,200,RUNNELS,Female,85,78,91.76%,73,85.88%,6,7.06%,69,81.18%,25,29.41%,26,30.59%,51,60.00%,4,4.71%,29,34.12%
15,San Angelo,200,RUNNELS,Male,104,97,93.27%,88,84.62%,7,6.73%,82,78.85%,30,28.85%,19,18.27%,49,47.12%,1,0.96%,23,22.12%
15,San Angelo,206,SAN SABA,Female,49,49,100.0%,48,97.96%,0,0.00%,43,87.76%,16,32.65%,11,22.45%,27,55.10%,0,0.00%,9,18.37%
15,San Angelo,206,SAN SABA,Male,48,44,91.67%,43,89.58%,1,2.08%,34,70.83%,10,20.83%,10,20.83%,20,41.67%,2,4.17%,4,8.33%
15,San Angelo,207,SCHLEICHER,Female,14,14,100.0%,14,100.0%,0,0.00%,12,85.71%,1,7.14%,4,28.57%,5,35.71%,0,0.00%,2,14.29%
15,San Angelo,207,SCHLEICHER,Male,25,22,88.00%,20,80.00%,2,8.00%,21,84.00%,6,24.00%,8,32.00%,14,56.00%,0,0.00%,6,24.00%
15,San Angelo,216,STERLING,Female,10,10,100.0%,9,90.00%,0,0.00%,8,80.00%,3,30.00%,3,30.00%,6,60.00%,0,0.00%,2,20.00%
15,San Angelo,216,STERLING,Male,17,17,100.0%,17,100.0%,0,0.00%,16,94.12%,2,11.76%,8,47.06%,10,58.82%,0,0.00%,3,17.65%
15,San Angelo,218,SUTTON,Female,45,41,91.11%,37,82.22%,0,0.00%,34,75.56%,15,33.33%,13,28.89%,28,62.22%,2,4.44%,12,26.67%
