"Region Code","TEA Region","County Code","County Name","Gender","8th Grade (FY 2006)","Enrolled in 9th Grade (FY 2007)","% Enrolled in 9th Grade (FY 2007)","Enrolled in 10th Grade(FY 2008)","% Enrolled in 10th Grade (FY 2008)","Enrolled in <10th Grade (FY 2008)","% Enrolled in <10th Grade (FY 2008)","High School Graduate FY 2009-2011","% High School Graduate FY 2009-2011","Enrolled TX 4-year","% Enrolled TX 4-year","Enrolled TX 2-year","% Enrolled TX 2-year","Enrolled in Higher Education","% Enrolled in Higher Education","No Public HS Grad Record Enrolled in Higher Ed","% No Public HS Grad Record Enrolled in Higher Ed","Higher Ed Degree or Certificate Texas","% Higher Ed Degree or Certificate Texas"
01,Edinburg,031,CAMERON,Female,3457,3260,94.30%,2493,72.11%,702,20.31%,2611,75.53%,715,20.68%,1325,38.33%,2040,59.01%,111,3.21%,773,22.36%
01,Edinburg,031,CAMERON,Male,3513,3275,93.23%,2332,66.38%,907,25.82%,2571,73.19%,625,17.79%,1211,34.47%,1836,52.26%,100,2.85%,518,14.75%
01,Edinburg,108,HIDALGO,Female,6289,5943,94.50%,4877,77.55%,952,15.14%,4823,76.69%,1647,26.19%,2003,31.85%,3650,58.04%,168,2.67%,1578,25.09%
01,Edinburg,108,HIDALGO,Male,6350,5949,93.69%,4465,70.31%,1409,22.19%,4639,73.06%,1376,21.67%,1882,29.64%,3258,51.31%,177,2.79%,1017,16.02%
01,Edinburg,124,JIM HOGG,Female,36,35,97.22%,35,97.22%,0,0.00%,26,72.22%,8,22.22%,15,41.67%,23,63.89%,1,2.78%,8,22.22%
01,Edinburg,124,JIM HOGG,Male,39,38,97.44%,37,94.87%,1,2.56%,32,82.05%,11,28.21%,10,25.64%,21,53.85%,0,0.00%,6,15.38%
01,Edinburg,214,STARR,Female,635,605,95.28%,482,75.91%,99,15.59%,481,75.75%,116,18.27%,257,40.47%,373,58.74%,16,2.52%,170,26.77%
01,Edinburg,214,STARR,Male,564,541,95.92%,411,72.87%,125,22.16%,409,72.52%,89,15.78%,203,35.99%,292,51.77%,13,2.30%,113,20.04%
01,Edinburg,240,WEBB,Female,2118,2005,94.66%,1779,83.99%,201,9.49%,1740,82.15%,477,22.52%,978,46.18%,1455,68.70%,60,2.83%,592,27.95%
01,Edinburg,240,WEBB,Male,2246,2094,93.23%,1795,79.92%,292,13.00%,1750,77.92%,407,18.12%,959,42.70%,1366,60.82%,66,2.94%,442,19.68%
01,Edinburg,245,WILLACY,Female,166,149,89.76%,142,85.54%,15,9.04%,127,76.51%,33,19.88%,57,34.34%,90,54.22%,3,1.81%,25,15.06%
01,Edinburg,245,WILLACY,Male,178,169,94.94%,149,83.71%,20,11.24%,139,78.09%,33,18.54%,58,32.58%,91,51.12%,2,1.12%,24,13.48%
01,Edinburg,253,ZAPATA,Female,124,123,99.19%,107,86.29%,12,9.68%,98,79.03%,37,29.84%,35,28.23%,72,58.06%,2,1.61%,34,27.42%
01,Edinburg,253,ZAPATA,Male,137,132,96.35%,115,83.94%,11,8.03%,99,72.26%,28,20.44%,32,23.36%,60,43.80%,4,2.92%,22,16.06%
02,Corpus Christi,004,ARANSAS,Female,132,126,95.45%,111,84.09%,8,6.06%,104,78.79%,37,28.03%,39,29.55%,76,57.58%,3,2.27%,28,21.21%
02,Corpus Christi,004,ARANSAS,Male,164,149,90.85%,131,79.88%,12,7.32%,111,67.68%,31,18.90%,49,29.88%,80,48.78%,5,3.05%,25,15.24%
02,Corpus Christi,013,BEE,Female,199,187,93.97%,163,81.91%,23,11.56%,153,76.88%,32,16.08%,90,45.23%,122,61.31%,11,5.53%,46,23.12%
02,Corpus Christi,013,BEE,Male,212,202,95.28%,154,72.64%,42,19.81%,160,75.47%,13,6.13%,98,46.23%,111,52.36%,6,2.83%,34,16.04%
02,Corpus Christi,024,BROOKS,Female,78,76,97.44%,56,71.79%,17,21.79%,49,62.82%,10,12.82%,26,33.33%,36,46.15%,3,3.85%,12,15.38%
02,Corpus Christi,024,BROOKS,Male,66,65,98.48%,56,84.85%,8,12.12%,50,75.76%,16,24.24%,15,22.73%,31,46.97%,2,3.03%,7,10.61%
02,Corpus Christi,066,DUVAL,Female,112,108,96.43%,98,87.50%,7,6.25%,88,78.57%,28,25.00%,38,33.93%,66,58.93%,3,2.68%,26,23.21%
02,Corpus Christi,066,DUVAL,Male,96,89,92.71%,77,80.21%,8,8.33%,67,69.79%,14,14.58%,26,27.08%,40,41.67%,2,2.08%,13,13.54%
02,Corpus Christi,125,JIM WELLS,Female,326,311,95.40%,246,75.46%,67,20.55%,220,67.48%,73,22.39%,108,33.13%,181,55.52%,19,5.83%,58,17.79%
02,Corpus Christi,125,JIM WELLS,Male,347,338,97.41%,278,80.12%,56,16.14%,254,73.20%,79,22.77%,89,25.65%,168,48.41%,4,1.15%,43,12.39%
02,Corpus Christi,137,KLEBERG,Female,207,190,91.79%,156,75.36%,36,17.39%,148,71.50%,65,31.40%,58,28.02%,123,59.42%,7,3.38%,57,27.54%
02,Corpus Christi,137,KLEBERG,Male,226,215,95.13%,144,63.72%,61,26.99%,158,69.91%,74,32.74%,39,17.26%,113,50.00%,10,4.42%,30,13.27%
02,Corpus Christi,149,LIVE OAK,Female,76,75,98.68%,69,90.79%,3,3.95%,60,78.95%,19,25.00%,29,38.16%,48,63.16%,4,5.26%,19,25.00%
02,Corpus Christi,149,LIVE OAK,Male,79,76,96.20%,70,88.61%,3,3.80%,62,78.48%,12,15.19%,26,32.91%,38,48.10%,1,1.27%,12,15.19%
02,Corpus Christi,162,MCMULLEN,Female,9,9,100.0%,9,100.0%,0,0.00%,8,88.89%,3,33.33%,2,22.22%,5,55.56%,0,0.00%,5,55.56%
02,Corpus Christi,162,MCMULLEN,Male,8,8,100.0%,8,100.0%,0,0.00%,8,100.0%,4,50.00%,4,50.00%,8,100.0%,0,0.00%,3,37.50%
02,Corpus Christi,178,NUECES,Female,2284,2131,93.30%,1806,79.07%,273,11.95%,1623,71.06%,514,22.50%,797,34.89%,1311,57.40%,120,5.25%,482,21.10%
02,Corpus Christi,178,NUECES,Male,2359,2144,90.89%,1759,74.57%,358,15.18%,1664,70.54%,445,18.86%,681,28.87%,1126,47.73%,92,3.90%,318,13.48%
02,Corpus Christi,205,SAN PATRICIO,Female,581,534,91.91%,463,79.69%,53,9.12%,427,73.49%,132,22.72%,173,29.78%,305,52.50%,15,2.58%,115,19.79%
02,Corpus Christi,205,SAN PATRICIO,Male,620,570,91.94%,476,76.77%,88,14.19%,462,74.52%,124,20.00%,142,22.90%,266,42.90%,15,2.42%,78,12.58%
03,Victoria,029,CALHOUN,Female,162,158,97.53%,148,91.36%,6,3.70%,138,85.19%,30,18.52%,66,40.74%,96,59.26%,5,3.09%,42,25.93%
03,Victoria,029,CALHOUN,Male,180,169,93.89%,148,82.22%,17,9.44%,136,75.56%,14,7.78%,60,33.33%,74,41.11%,1,0.56%,22,12.22%
03,Victoria,045,COLORADO,Female,134,123,91.79%,113,84.33%,11,8.21%,106,79.10%,28,20.90%,54,40.30%,82,61.19%,2,1.49%,54,40.30%
03,Victoria,045,COLORADO,Male,152,148,97.37%,127,83.55%,15,9.87%,125,82.24%,17,11.18%,55,36.18%,72,47.37%,2,1.32%,30,19.74%
03,Victoria,062,DE WITT,Female,163,162,99.39%,135,82.82%,15,9.20%,129,79.14%,41,25.15%,59,36.20%,100,61.35%,8,4.91%,46,28.22%
03,Victoria,062,DE WITT,Male,186,179,96.24%,138,74.19%,27,14.52%,128,68.82%,31,16.67%,52,27.96%,83,44.62%,5,2.69%,39,20.97%
03,Victoria,088,GOLIAD,Female,52,50,96.15%,47,90.38%,2,3.85%,44,84.62%,13,25.00%,24,46.15%,37,71.15%,1,1.92%,19,36.54%
03,Victoria,088,GOLIAD,Male,63,61,96.83%,54,85.71%,8,12.70%,53,84.13%,10,15.87%,20,31.75%,30,47.62%,2,3.17%,12,19.05%
03,Victoria,120,JACKSON,Female,127,121,95.28%,113,88.98%,3,2.36%,100,78.74%,26,20.47%,51,40.16%,77,60.63%,4,3.15%,40,31.50%
03,Victoria,120,JACKSON,Male,123,120,97.56%,109,88.62%,3,2.44%,99,80.49%,20,16.26%,43,34.96%,63,51.22%,1,0.81%,23,18.70%
03,Victoria,128,KARNES,Female,74,72,97.30%,66,89.19%,4,5.41%,56,75.68%,12,16.22%,30,40.54%,42,56.76%,1,1.35%,17,22.97%
03,Victoria,128,KARNES,Male,86,85,98.84%,76,88.37%,9,10.47%,70,81.40%,14,16.28%,27,31.40%,41,47.67%,2,2.33%,16,18.60%
03,Victoria,143,LAVACA,Female,80,77,96.25%,73,91.25%,4,5.00%,65,81.25%,23,28.75%,34,42.50%,57,71.25%,7,8.75%,38,47.50%
03,Victoria,143,LAVACA,Male,85,79,92.94%,77,90.59%,2,2.35%,69,81.18%,18,21.18%,34,40.00%,52,61.18%,7,8.24%,29,34.12%
03,Victoria,158,MATAGORDA,Female,285,272,95.44%,245,85.96%,16,5.61%,225,78.95%,53,18.60%,107,37.54%,160,56.14%,1,0.35%,86,30.18%
03,Victoria,158,MATAGORDA,Male,299,284,94.98%,251,83.95%,28,9.36%,238,79.60%,41,13.71%,108,36.12%,149,49.83%,5,1.67%,65,21.74%
03,Victoria,196,REFUGIO,Female,42,38,90.48%,38,90.48%,2,4.76%,36,85.71%,6,14.29%,22,52.38%,28,66.67%,2,4.76%,10,23.81%
03,Victoria,196,REFUGIO,Male,76,74,97.37%,69,90.79%,4,5.26%,65,85.53%,7,9.21%,34,44.74%,41,53.95%,1,1.32%,16,21.05%
