CAMPUS,CA0GS21R,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CAMPNAME,CASC4X21R,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD1G,CD1S,CD2A,CD2AG,CD2AS,CD2B,CD2BG,CD2BS,CD2G,CD2S,CD3,CD3G,CD3S,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLPAIR,CFLPAIRD,CFLPAIRO,CFLRTF,CNTYNAME,COMP22F,COUNTY,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP,C_AEABONUS,C_AEABONUS_USED_PCT,C_AEAGRAD_PTS,C_AEASTAAR_PCT,C_AEASTAAR_PTS,C_RATING,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,LAS_SCORE,LAS_WEIGHT,PAIRCAMP,PAIRNAME,REGION,REGNNAME
1906002,73.9, ,1,1,1,1,0,0,NECHES H S,73.9,60,90,91,98,100,100,A,95,79,B,89,76,A,92,A,92,.,Not Rated,.,95, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,104,100.0,12,12.1,99,104,0,0.0,50,48.1,3,2.9,0,0.0,12,11.5,0,0.0,.,.,.,.,.,A,NECHES ISD,1906,12,09,09 - 12,S,., , , ,07,REGION 07: KILGORE
1906102,.,1,1,1,1,0,0,1,NECHES EL,.,60,90,.,.,.,.,A,90,81,B,89,60,B,89,B,89,100,A,100,93, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,144,60.5,37,17.7,209,238,0,0.0,135,56.7,4,1.7,0,0.0,24,10.1,0,0.0,.,.,.,.,.,A,NECHES ISD,1906,08,PK,PK - 08,E,., , , ,07,REGION 07: KILGORE
1907001,98.5,1,1,1,1,1,1,0,PALESTINE H S,98.5,47,75,75,94,99.6,95,B,87,71,B,81,61,B,89,B,89,79,B,84,88, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,1040,100.0,147,13.5,1088,1040,0,0.0,831,79.9,143,13.8,0,0.0,139,13.4,0,0.0,.,.,.,.,.,B,PALESTINE ISD,1907,12,09,09 - 12,S,., , , ,07,REGION 07: KILGORE
1907041,.,0,0,1,1,0,1,1,PALESTINE J H,.,48,79,.,.,.,.,C,79,77,B,86,48,B,89,B,89,63,C,78,86, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,502,100.0,86,15.1,569,502,0,0.0,392,78.1,95,18.9,0,0.0,66,13.1,0,0.0,.,.,.,.,.,B,PALESTINE ISD,1907,08,07,07 - 08,M,., , , ,07,REGION 07: KILGORE
1907101,., , , , , , , ,NORTHSIDE PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,78, ,N,N,N,N,N,N,N,Y,N,N,N,ANDERSON, ,1,0,0.0,55,19.4,283,484,0,0.0,423,87.4,76,15.7,0,0.0,62,12.8,0,0.0,.,.,.,.,.,C,PALESTINE ISD,1907,01,KG,KG - 01,E,., ,001907107,SOUTHSIDE EL,07,REGION 07: KILGORE
1907102,., , , , , , , ,WASHINGTON EARLY CHILDHOOD CENTER,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,78, ,N,N,N,N,Y,N,N,Y,N,N,N,ANDERSON, ,1,0,0.0,.,.,.,227,0,0.0,198,87.2,21,9.3,0,0.0,23,10.1,0,0.0,.,.,.,.,.,C,PALESTINE ISD,1907,PK,PK,PK - PK,E,., ,001907107,SOUTHSIDE EL,07,REGION 07: KILGORE
1907107,.,0,0,1, ,0, , ,SOUTHSIDE EL,.,46,74,.,.,.,.,C,74,.,Not Rated,.,46,B,81,B,81,54,C,72,78, ,N,N,N,N,N,N,N,N,N,Y,N,ANDERSON,E,1,237,50.6,74,15.2,488,468,0,0.0,379,81.0,100,21.4,0,0.0,67,14.3,0,0.0,.,.,.,.,.,C,PALESTINE ISD,1907,03,02,02 - 03,E,., , , ,07,REGION 07: KILGORE
1907110,.,0,0,0,0,0,0, ,STORY INT,.,46,74,.,.,.,.,C,74,73,C,77,46,B,82,B,82,70,C,76,80, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,639,100.0,126,15.9,792,639,0,0.0,518,81.1,160,25.0,0,0.0,98,15.3,0,0.0,.,.,.,.,.,B,PALESTINE ISD,1907,06,04,04 - 06,E,., , , ,07,REGION 07: KILGORE
1908002,81.1,0,0,0,0,1,1,0,WESTWOOD H S,82.2,44,72,80,95,97.8,90,B,85,69,C,79,62,B,89,B,89,60,C,77,85, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,400,100.0,76,16.1,471,400,.,0.0,270,67.5,28,7.0,0,0.0,59,14.8,.,0.0,.,.,.,.,.,B,WESTWOOD ISD,1908,12,09,09 - 12,S,., , , ,07,REGION 07: KILGORE
1908041,.,0,1,0,0,0,0,0,WESTWOOD J H,.,36,67,.,.,.,.,Not Rated: SB 1365,67,71,C,79,36,C,72,C,79,36,C,72,77, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,2,1,206,100.0,36,16.7,216,206,.,0.0,160,77.7,15,7.3,.,0.0,37,18.0,.,0.0,.,.,.,.,.,C,WESTWOOD ISD,1908,08,07,07 - 08,M,., , , ,07,REGION 07: KILGORE
1908101,.,0,0,0,0,0,0, ,WESTWOOD EL,.,44,72,.,.,.,.,C,72,79,B,86,44,C,77,B,86,72,C,76,83, ,N,N,N,N,N,N,N,N,N,Y,N,ANDERSON,2,1,384,100.0,73,17.3,423,384,.,0.0,286,74.5,31,8.1,.,0.0,68,17.7,.,0.0,.,.,.,.,.,B,WESTWOOD ISD,1908,06,03,03 - 06,E,., , , ,07,REGION 07: KILGORE
1908102,., , , , , , , ,WESTWOOD PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,83, ,N,N,N,N,N,N,N,Y,N,N,N,ANDERSON, ,1,0,0.0,50,21.7,230,342,.,0.0,270,78.9,21,6.1,.,0.0,29,8.5,.,0.0,.,.,.,.,.,B,WESTWOOD ISD,1908,02,EE,EE - 02,E,., ,001908101,WESTWOOD EL,07,REGION 07: KILGORE
1909001,84.4,0,0,0,0,1,1,1,SLOCUM H S,83.9,61,90,75,94,100,100,A,94,67,C,76,68,B,85,B,85,91,B,88,92, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,104,100.0,9,7.2,125,104,0,0.0,35,33.7,0,0.0,0,0.0,12,11.5,0,0.0,.,.,.,.,.,A,SLOCUM ISD,1909,12,09,09 - 12,S,., , , ,07,REGION 07: KILGORE
1909101,.,0,0,0,0,0,0,0,SLOCUM PK - 8,.,54,82,.,.,.,.,B,82,76,B,82,54,B,82,B,82,76,C,77,81, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,169,65.8,40,17.9,223,257,0,0.0,134,52.1,2,0.8,0,0.0,41,16.0,0,0.0,.,.,.,.,.,B,SLOCUM ISD,1909,08,PK,PK - 08,E,., , , ,07,REGION 07: KILGORE
2901001,96.4,0,0,1,0,0,1,0,ANDREWS H S,97.5,48,76,91,98,99.2,95,B,89,65,C,73,70,A,90,A,90,56,C,76,86, ,N,N,N,N,N,N,N,N,N,N,N,ANDREWS,.,2,1151,100.0,150,12.3,1218,1151,.,0.0,517,44.9,92,8.0,0,0.0,139,12.1,.,0.0,.,.,.,.,.,B,ANDREWS ISD,2901,12,09,09 - 12,S,., , , ,18,REGION 18: MIDLAND
2901002,0, , , , , , , ,ANDREWS EDUCATION CENTER,0,24,74,9,73,92.3,85,C,76,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,76,DROPOUT RECOVERY SCHOOL,Y,Y,N,N,N,N,N,N,N,N,N,ANDREWS,.,2,60,100.0,86,82.7,104,60,.,0.0,36,60.0,2,3.3,0,0.0,2,3.3,.,0.0,0,0,0,37,0,C,ANDREWS ISD,2901,12,09,09 - 12,S,., , , ,18,REGION 18: MIDLAND
