DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DD2S,DDALLS
"014801","RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN)","014","BELL","20","REGION 20: SAN ANTONIO","B","C","C","D","C","B",79,66,78,81,133,981,1445,184,0,0,0,1445,9.2,12.7,0,0,0,100,78,80
"014803","PRIORITY CHARTER SCHOOLS","014","BELL","12","REGION 12: WACO","D","D","D","F","D","F",63,56,60,56,22,319,486,87,0,0,0,326,4.5,17.9,0,0,0,67.1,60,61
"014804","ORENDA CHARTER SCHOOL","014","BELL","12","REGION 12: WACO","B","B","C","C","D","B",85,71,65,89,123,246,1923,259,0,0,0,1521,6.4,13.5,0,0,0,79.1,71,86
"014901","ACADEMY ISD","014","BELL","12","REGION 12: WACO","B","B","C","C","C","B",82,77,76,86,110,724,1798,266,0,0,0,1370,6.1,14.8,0,0,0,76.2,77,83
"014902","BARTLETT ISD","014","BELL","13","REGION 13: AUSTIN","F","D","F","F","F","F",63,55,58,46,97,409,439,54,0,0,0,321,22.1,12.3,0,0,0,73.1,58,58
"014903","BELTON ISD","014","BELL","12","REGION 12: WACO","C","C","C","C","D","C",78,75,69,73,1003,5749,13759,2490,0,0,0,10495,7.3,18.1,0,0,0,76.3,75,77
"014905","HOLLAND ISD","014","BELL","12","REGION 12: WACO","A","A","B","B","B","B",91,83,86,87,27,253,637,91,0,0,0,474,4.2,14.3,0,0,0,74.4,86,90
"014906","KILLEEN ISD","014","BELL","12","REGION 12: WACO","C","C","C","D","C","C",74,68,76,73,5529,28906,43824,7723,0,1030,0,30839,12.6,17.6,2.4,0,0,70.4,76,75
"014907","ROGERS ISD","014","BELL","12","REGION 12: WACO","C","C","C","C","C","D",76,70,71,69,79,433,875,125,0,0,0,665,9,14.3,0,0,0,76,71,74
"014908","SALADO ISD","014","BELL","12","REGION 12: WACO","B","B","B","B","D","C",81,82,63,75,146,588,2336,270,0,0,0,1825,6.3,11.6,0,0,0,78.1,82,80
"014909","TEMPLE ISD","014","BELL","12","REGION 12: WACO","D","D","C","D","C","D",69,64,74,67,1341,6561,8729,1737,0,0,0,6325,15.4,19.9,0,0,0,72.5,74,69
"014910","TROY ISD","014","BELL","12","REGION 12: WACO","C","C","C","D","C","C",79,67,78,73,92,905,1703,300,0,0,0,1272,5.4,17.6,0,0,0,74.7,78,77
"015801","POR VIDA ACADEMY","015","BEXAR","20","REGION 20: SAN ANTONIO","C","B","B","C","B","D",81,78,81,68,2,182,205,43,0,0,2,205,1,21,0,1,0,100,81,77
"015802","GEORGE GERVIN ACADEMY","015","BEXAR","20","REGION 20: SAN ANTONIO","C","B","C","F","C","C",80,48,74,76,146,879,879,92,0,0,4,310,16.6,10.5,0,0.5,0,35.3,74,79
"015805","NEW FRONTIERS PUBLIC SCHOOLS INC","015","BEXAR","20","REGION 20: SAN ANTONIO","B","B","B","B","B","B",87,87,89,84,33,203,317,17,0,194,0,317,10.4,5.4,61.2,0,0,100,89,88
