DISTRICT,DISTNAME,REGION,REGNNAME,COUNTY,CNTYNAME,DFLCHART,DFLALTED,DISTNAME_CLEAN
049903,VALLEY VIEW ISD,11,REGION 11: FORT WORTH,49,COOKE,N,N,Valley View ISD
049905,CALLISBURG ISD,11,REGION 11: FORT WORTH,49,COOKE,N,N,Callisburg ISD
049906,ERA ISD,11,REGION 11: FORT WORTH,49,COOKE,N,N,Era ISD
049907,LINDSAY ISD,11,REGION 11: FORT WORTH,49,COOKE,N,N,Lindsay ISD
049908,WALNUT BEND ISD,11,REGION 11: FORT WORTH,49,COOKE,N,N,Walnut Bend ISD
049909,SIVELLS BEND ISD,11,REGION 11: FORT WORTH,49,COOKE,N,N,Sivells Bend ISD
050901,EVANT ISD,12,REGION 12: WACO,50,CORYELL,N,N,Evant ISD
050902,GATESVILLE ISD,12,REGION 12: WACO,50,CORYELL,N,N,Gatesville ISD
050904,OGLESBY ISD,12,REGION 12: WACO,50,CORYELL,N,N,Oglesby ISD
050909,JONESBORO ISD,12,REGION 12: WACO,50,CORYELL,N,N,Jonesboro ISD
050910,COPPERAS COVE ISD,12,REGION 12: WACO,50,CORYELL,N,N,Copperas Cove ISD
051901,PADUCAH ISD,17,REGION 17: LUBBOCK,51,COTTLE,N,N,Paducah ISD
052901,CRANE ISD,15,REGION 15: SAN ANGELO,52,CRANE,N,N,Crane ISD
053001,CROCKETT COUNTY CONSOLIDATED CSD,15,REGION 15: SAN ANGELO,53,CROCKETT,N,N,Crockett County Consolidated CSD
054901,CROSBYTON CISD,17,REGION 17: LUBBOCK,54,CROSBY,N,N,Crosbyton CISD
054902,LORENZO ISD,17,REGION 17: LUBBOCK,54,CROSBY,N,N,Lorenzo ISD
054903,RALLS ISD,17,REGION 17: LUBBOCK,54,CROSBY,N,N,Ralls ISD
055901,CULBERSON COUNTY-ALLAMOORE ISD,18,REGION 18: MIDLAND,55,CULBERSON,N,N,Culberson County-Allamoore ISD
056901,DALHART ISD,16,REGION 16: AMARILLO,56,DALLAM,N,N,Dalhart ISD
056902,TEXLINE ISD,16,REGION 16: AMARILLO,56,DALLAM,N,N,Texline ISD
057802,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,10,REGION 10: RICHARDSON,57,DALLAS,Y,N,Pegasus School Of Liberal Arts And Sciences
057803,UPLIFT EDUCATION,10,REGION 10: RICHARDSON,57,DALLAS,Y,N,Uplift Education
057804,TEXANS CAN ACADEMIES,10,REGION 10: RICHARDSON,57,DALLAS,Y,Y,Texans Can Academies
057806,ADVANTAGE ACADEMY,10,REGION 10: RICHARDSON,57,DALLAS,Y,N,Advantage Academy
057807,LIFE SCHOOL,10,REGION 10: RICHARDSON,57,DALLAS,Y,N,Life School
057808,UNIVERSAL ACADEMY,10,REGION 10: RICHARDSON,57,DALLAS,Y,N,Universal Academy
057809,NOVA ACADEMY,10,REGION 10: RICHARDSON,57,DALLAS,Y,N,Nova Academy
057810,ACADEMY OF DALLAS,10,REGION 10: RICHARDSON,57,DALLAS,Y,N,Academy Of Dallas
057813,TRINITY BASIN PREPARATORY,10,REGION 10: RICHARDSON,57,DALLAS,Y,N,Trinity Basin Preparatory
057814,ACADEMY FOR ACADEMIC EXCELLENCE,10,REGION 10: RICHARDSON,57,DALLAS,Y,Y,Academy For Academic Excellence
