DISTRICT,CAMPNAME,COUNTY,CAMPUS,CAMPNAME_CLEAN,GRDTYPE,GRDSPAN,CFLCHART
101912,MEYERLAND MIDDLE,101,101912055,Meyerland Middle School,M,06 - 08,N
101912,WELCH MIDDLE,101,101912056,Welch Middle School,M,06 - 08,N
101912,LANIER MIDDLE,101,101912057,Lanier Middle School,M,06 - 08,N
101912,GREGORY-LINCOLN ED CTR,101,101912058,Gregory-Lincoln Ed Center,E,PK - 08,N
101912,LONG ACADEMY,101,101912059,Long Academy,B,06 - 12,N
101912,REVERE MIDDLE,101,101912060,Revere Middle School,M,06 - 08,N
101912,MARSHALL MIDDLE,101,101912061,Marshall Middle School,M,06 - 08,N
101912,MCREYNOLDS MIDDLE,101,101912062,McReynolds Middle School,M,06 - 08,N
101912,PERSHING MIDDLE,101,101912064,Pershing Middle School,M,06 - 08,N
101912,TANGLEWOOD MIDDLE,101,101912068,Tanglewood Middle School,M,06 - 08,N
101912,SOAR CTR,101,101912069,Soar Center,E,KG - 07,N
101912,PROJECT CHRYSALIS MIDDLE,101,101912071,Project Chrysalis Middle School,M,06 - 08,N
101912,FONDREN MIDDLE,101,101912072,Fondren Middle School,M,06 - 08,N
101912,LAWSON MIDDLE,101,101912075,Lawson Middle School,M,06 - 08,N
101912,THOMAS MIDDLE,101,101912077,Thomas Middle School,M,06 - 08,N
101912,FLEMING MIDDLE,101,101912078,Fleming Middle School,M,06 - 08,N
101912,KEY MIDDLE,101,101912079,Key Middle School,M,06 - 08,N
101912,RICE SCH /LA ESCUELA RICE,101,101912080,Rice Sch /La Escuela Rice,E,KG - 08,N
101912,SHARPSTOWN INTERNATIONAL SCHOOL,101,101912081,Sharpstown International School,B,06 - 12,N
101912,WILLIAMS MIDDLE,101,101912082,Williams Middle School,M,06 - 08,N
101912,HCC LIFE SKILLS PROGRAM,101,101912097,Hcc Life Skills Program,S,12 - 12,N
101912,STEVENSON MIDDLE,101,101912098,Stevenson Middle School,M,06 - 08,N
101912,WEST BRIAR MIDDLE,101,101912099,West Briar Middle School,M,06 - 08,N
101912,TEXAS CONNECTIONS ACADEMY AT HOUST,101,101912100,Texas Connections Academy At Houst,B,03 - 12,N
101912,ALCOTT EL,101,101912102,Alcott Elementary School,E,PK - 05,N
101912,ALMEDA EL,101,101912104,Almeda Elementary School,E,EE - 05,N
101912,ANDERSON EL,101,101912105,Anderson Elementary School,E,PK - 05,N
101912,ATHERTON EL,101,101912106,Atherton Elementary School,E,EE - 05,N
101912,BARRICK EL,101,101912107,Barrick Elementary School,E,EE - 05,N
101912,BASTIAN EL,101,101912108,Bastian Elementary School,E,PK - 05,N
101912,BERRY EL,101,101912109,Berry Elementary School,E,EE - 05,N
101912,BLACKSHEAR EL,101,101912110,Blackshear Elementary School,E,PK - 05,N
101912,BONHAM EL,101,101912111,Bonham Elementary School,E,PK - 05,N
101912,BONNER EL,101,101912112,Bonner Elementary School,E,EE - 05,N
101912,RODERICK R PAIGE EL,101,101912113,Roderick R Paige Elementary School,E,PK - 05,N
101912,BRAEBURN EL,101,101912114,Braeburn Elementary School,E,EE - 05,N
101912,DURHAM EL,101,101912115,Durham Elementary School,E,PK - 05,N
101912,BRIARGROVE EL,101,101912116,Briargrove Elementary School,E,EE - 05,N
101912,BRISCOE EL,101,101912117,Briscoe Elementary School,E,EE - 05,N
101912,BROOKLINE EL,101,101912119,Brookline Elementary School,E,PK - 05,N
101912,BROWNING EL,101,101912120,Browning Elementary School,E,PK - 05,N
101912,BRUCE EL,101,101912121,Bruce Elementary School,E,PK - 05,N
101912,BURBANK EL,101,101912122,Burbank Elementary School,E,PK - 05,N
101912,CODWELL EL,101,101912123,Codwell Elementary School,E,PK - 05,N
101912,BURNET EL,101,101912124,Burnet Elementary School,E,KG - 05,N
101912,BURRUS EL,101,101912125,Burrus Elementary School,E,PK - 05,N
101912,WOODSON SCHOOL,101,101912127,Woodson School,E,PK - 05,N
101912,LYONS EL,101,101912128,Lyons Elementary School,E,EE - 05,N
101912,CONDIT EL,101,101912130,Condit Elementary School,E,PK - 05,N
101912,HALPIN EARLY CHILDHOOD CTR,101,101912131,Halpin Early Childhood Center,E,EE - KG,N
101912,COOP EL,101,101912132,Coop Elementary School,E,PK - 05,N
101912,CORNELIUS EL,101,101912133,Cornelius Elementary School,E,PK - 05,N
101912,CROCKETT EL,101,101912135,Crockett Elementary School,E,PK - 05,N
101912,CUNNINGHAM EL,101,101912136,Cunningham Elementary School,E,EE - 05,N
101912,DE CHAUMES EL,101,101912137,De Chaumes Elementary School,E,PK - 05,N
101912,DE ZAVALA EL,101,101912138,De Zavala Elementary School,E,PK - 05,N
101912,DOGAN EL,101,101912140,Dogan Elementary School,E,EE - 05,N
101912,DURKEE EL,101,101912144,Durkee Elementary School,E,KG - 05,N
101912,ELIOT EL,101,101912147,Eliot Elementary School,E,PK - 05,N
101912,ELROD EL,101,101912148,Elrod Elementary School,E,EE - 05,N
101912,EMERSON EL,101,101912149,Emerson Elementary School,E,EE - 05,N
101912,BELL EL,101,101912151,Bell Elementary School,E,PK - 05,N
101912,FIELD EL,101,101912152,Field Elementary School,E,PK - 05,N
101912,FONDREN EL,101,101912153,Fondren Elementary School,E,EE - 05,N
101912,FOSTER EL,101,101912154,Foster Elementary School,E,EE - 05,N
101912,FRANKLIN EL,101,101912155,Franklin Elementary School,E,PK - 05,N
101912,FROST EL,101,101912156,Frost Elementary School,E,PK - 05,N
101912,GARDEN OAKS MONTESSORI,101,101912157,Garden Oaks Montessori,E,EE - 08,N
101912,GARDEN VILLAS EL,101,101912158,Garden Villas Elementary School,E,PK - 05,N
101912,GOLFCREST EL,101,101912159,Golfcrest Elementary School,E,EE - 05,N
101912,GREGG EL,101,101912162,Gregg Elementary School,E,EE - 05,N
101912,SUGAR GROVE ACADEMY,101,101912163,Sugar Grove Academy,M,06 - 08,N
101912,HARRIS J R EL,101,101912166,Harris J R Elementary School,E,PK - 05,N
101912,HARRIS R P EL,101,101912167,Harris R P Elementary School,E,PK - 05,N
101912,HARTSFIELD EL,101,101912168,Hartsfield Elementary School,E,PK - 05,N
101912,HARVARD EL,101,101912169,Harvard Elementary School,E,EE - 05,N
101912,HELMS EL,101,101912170,Helms Elementary School,E,PK - 05,N
101912,HENDERSON J EL,101,101912171,Henderson J Elementary School,E,PK - 05,N
101912,HENDERSON N EL,101,101912172,Henderson N Elementary School,E,PK - 05,N
101912,HEROD EL,101,101912173,Herod Elementary School,E,PK - 05,N
101912,HIGHLAND HTS EL,101,101912174,Highland Hts Elementary School,E,PK - 05,N
101912,HOBBY EL,101,101912175,Hobby Elementary School,E,PK - 05,N
101912,HORN EL,101,101912178,Horn Elementary School,E,PK - 05,N
101912,MCGOWEN EL,101,101912179,McGowen Elementary School,E,EE - 05,N
101912,ISAACS EL,101,101912180,Isaacs Elementary School,E,PK - 05,N
101912,JANOWSKI EL,101,101912181,Janowski Elementary School,E,EE - 05,N
101912,JEFFERSON EL,101,101912182,Jefferson Elementary School,E,EE - 05,N
101912,KASHMERE GARDENS EL,101,101912185,Kashmere Gardens Elementary School,E,EE - 05,N
101912,ROBINSON EL,101,101912186,Robinson Elementary School,E,PK - 05,N
101912,KELSO EL,101,101912187,Kelso Elementary School,E,EE - 05,N
101912,KENNEDY EL,101,101912188,Kennedy Elementary School,E,EE - 05,N
101912,KOLTER EL,101,101912189,Kolter Elementary School,E,EE - 05,N
101912,LANTRIP EL,101,101912192,Lantrip Elementary School,E,PK - 05,N
101912,LEWIS EL,101,101912194,Lewis Elementary School,E,01 - 05,N
101912,LOCKHART EL,101,101912195,Lockhart Elementary School,E,PK - 05,N
101912,LONGFELLOW EL,101,101912196,Longfellow Elementary School,E,EE - 05,N
101912,LOOSCAN EL,101,101912197,Looscan Elementary School,E,PK - 05,N
101912,LOVE EL,101,101912198,Love Elementary School,E,PK - 05,N
101912,LOVETT EL,101,101912199,Lovett Elementary School,E,EE - 05,N
101912,MACGREGOR EL,101,101912201,MacGregor Elementary School,E,PK - 05,N
101912,MADING EL,101,101912203,Mading Elementary School,E,EE - 05,N
101912,MEMORIAL EL,101,101912204,Memorial Elementary School,E,EE - 05,N
101912,MONTGOMERY EL,101,101912207,Montgomery Elementary School,E,PK - 05,N
101912,NEFF ECC,101,101912209,Neff Ecc,E,EE - 01,N
101912,NORTHLINE EL,101,101912210,Northline Elementary School,E,EE - 05,N
101912,OAK FOREST EL,101,101912211,Oak Forest Elementary School,E,PK - 05,N
101912,OATES EL,101,101912212,Oates Elementary School,E,PK - 05,N
101912,OSBORNE EL,101,101912213,Osborne Elementary School,E,EE - 05,N
101912,PARK PLACE EL,101,101912214,Park Place Elementary School,E,PK - 05,N
101912,PARKER EL,101,101912215,Parker Elementary School,E,EE - 05,N
101912,PATTERSON EL,101,101912216,Patterson Elementary School,E,PK - 05,N
101912,PECK EL,101,101912217,Peck Elementary School,E,PK - 05,N
101912,PILGRIM ACADEMY,101,101912218,Pilgrim Academy,E,EE - 08,N
101912,PINEY POINT EL,101,101912219,Piney Point Elementary School,E,EE - 05,N
101912,PLEASANTVILLE EL,101,101912220,Pleasantville Elementary School,E,PK - 05,N
101912,POE EL,101,101912221,Poe Elementary School,E,PK - 05,N
101912,PORT HOUSTON EL,101,101912222,Port Houston Elementary School,E,EE - 05,N
101912,PUGH EL,101,101912223,Pugh Elementary School,E,PK - 05,N
101912,RED EL,101,101912224,Red Elementary School,E,EE - 05,N
101912,REYNOLDS EL,101,101912225,Reynolds Elementary School,E,EE - 05,N
101912,MCNAMARA EL,101,101912227,McNamara Elementary School,E,EE - 05,N
101912,RIVER OAKS EL,101,101912228,River Oaks Elementary School,E,KG - 05,N
101912,ROBERTS EL,101,101912229,Roberts Elementary School,E,EE - 05,N
101912,ROOSEVELT EL,101,101912231,Roosevelt Elementary School,E,PK - 05,N
101912,ROSS EL,101,101912232,Ross Elementary School,E,PK - 05,N
101912,RUCKER EL,101,101912233,Rucker Elementary School,E,EE - 05,N
101912,BAYLOR COLLEGE OF MEDICINE BIOTECH,101,101912234,Baylor College Of Medicine Biotech,M,05 - 08,N
101912,SCARBOROUGH EL,101,101912237,Scarborough Elementary School,E,PK - 05,N
101912,SHEARN EL,101,101912239,Shearn Elementary School,E,PK - 05,N
101912,SHERMAN EL,101,101912240,Sherman Elementary School,E,PK - 05,N
101912,SINCLAIR EL,101,101912241,Sinclair Elementary School,E,EE - 05,N
101912,SMITH EL,101,101912242,Smith Elementary School,E,EE - 05,N
101912,THOMPSON EL,101,101912243,Thompson Elementary School,E,EE - 05,N
101912,SOUTHMAYD EL,101,101912244,Southmayd Elementary School,E,PK - 05,N
101912,STEVENS EL,101,101912245,Stevens Elementary School,E,EE - 05,N
101912,YOUNG EL,101,101912247,Young Elementary School,E,PK - 05,N
101912,SUTTON EL,101,101912248,Sutton Elementary School,E,EE - 05,N
101912,TRAVIS EL,101,101912249,Travis Elementary School,E,KG - 05,N
101912,TWAIN EL,101,101912251,Twain Elementary School,E,EE - 05,N
101912,WAINWRIGHT EL,101,101912252,Wainwright Elementary School,E,EE - 05,N
101912,WALNUT BEND EL,101,101912253,Walnut Bend Elementary School,E,PK - 05,N
101912,WESLEY EL,101,101912254,Wesley Elementary School,E,PK - 05,N
101912,WEST UNIVERSITY EL,101,101912255,West University Elementary School,E,KG - 05,N
101912,WHARTON K-8 DUAL LANGUAGE ACADEMY,101,101912256,Wharton K-8 Dual Language Academy,E,PK - 08,N
101912,WHIDBY EL,101,101912257,Whidby Elementary School,E,PK - 05,N
101912,WHITTIER EL,101,101912258,Whittier Elementary School,E,PK - 05,N
101912,WILSON MONTESSORI,101,101912259,Wilson Montessori,E,EE - 08,N
101912,WINDSOR VILLAGE EL,101,101912260,Windsor Village Elementary School,E,EE - 05,N
101912,GRISSOM EL,101,101912262,Grissom Elementary School,E,EE - 05,N
101912,LAW EL,101,101912263,Law Elementary School,E,EE - 05,N
101912,MITCHELL EL,101,101912264,Mitchell Elementary School,E,EE - 05,N
101912,PETERSEN EL,101,101912265,Petersen Elementary School,E,PK - 05,N
101912,WHITE E EL,101,101912267,White E Elementary School,E,PK - 05,N
101912,BENBROOK EL,101,101912268,Benbrook Elementary School,E,PK - 05,N
101912,SCROGGINS EL,101,101912269,Scroggins Elementary School,E,PK - 05,N
101912,FOERSTER EL,101,101912271,Foerster Elementary School,E,EE - 05,N
101912,ASHFORD EL,101,101912273,Ashford Elementary School,E,EE - 05,N
101912,ASKEW EL,101,101912274,Askew Elementary School,E,PK - 05,N
101912,BUSH EL,101,101912275,Bush Elementary School,E,EE - 05,N
101912,SHADOWBRIAR EL,101,101912276,Shadowbriar Elementary School,E,PK - 05,N
101912,TIJERINA EL,101,101912279,Tijerina Elementary School,E,PK - 05,N
101912,SANCHEZ EL,101,101912281,Sanchez Elementary School,E,EE - 05,N
101912,GARCIA EL,101,101912283,Garcia Elementary School,E,EE - 05,N
101912,VALLEY WEST EL,101,101912285,Valley West Elementary School,E,EE - 05,N
101912,HERRERA EL,101,101912286,Herrera Elementary School,E,PK - 05,N
101912,CAGE EL,101,101912287,Cage Elementary School,E,EE - 05,N
101912,MARTINEZ C EL,101,101912289,Martinez C Elementary School,E,PK - 05,N
101912,CRESPO EL,101,101912290,Crespo Elementary School,E,PK - 05,N
101912,GALLEGOS EL,101,101912291,Gallegos Elementary School,E,PK - 05,N
101912,CARRILLO EL,101,101912292,Carrillo Elementary School,E,EE - 05,N
101912,BENAVIDEZ EL,101,101912295,Benavidez Elementary School,E,EE - 05,N
101912,DAVILA EL,101,101912297,Davila Elementary School,E,PK - 05,N
101912,MARTINEZ R EL,101,101912298,Martinez R Elementary School,E,EE - 05,N
101912,MILNE EL,101,101912299,Milne Elementary School,E,PK - 05,N
101912,INSPIRED FOR EXCELLENCE ACADEMY IN,101,101912300,Inspired For Excellence Academy Intermediate School,M,05 - 08,N
101912,EASTWOOD ACADEMY,101,101912301,Eastwood Academy,S,09 - 12,N
101912,NORTH HOUSTON EARLY COLLEGE H S,101,101912308,North Houston Early College High School,S,09 - 12,N
101912,HOUSTON MATH SCIENCE AND TECHNOLOG,101,101912310,Houston Math Science And Technolog,S,09 - 12,N
101912,MOUNT CARMEL ACADEMY,101,101912311,Mount Carmel Academy,S,09 - 12,N
101912,HARRIS CO J J A E P,101,101912320,Harris Co JJAEP,S,07 - 11,N
101912,ENERGIZED FOR STEM ACADEMY SOUTHEA,101,101912321,Energized For Stem Academy Southea,S,09 - 12,N
101912,CARNEGIE VANGUARD H S,101,101912322,Carnegie Vanguard High School,S,09 - 12,N
101912,CHALLENGE EARLY COLLEGE H S,101,101912323,Challenge Early College High School,S,09 - 12,N
101912,LIBERTY H S,101,101912324,Liberty High School,S,12 - 12,N
101912,TSU CHARTER LAB SCH,101,101912328,Tsu Charter Lab Sch,E,PK - 02,N
101912,PIN OAK MIDDLE,101,101912337,Pin Oak Middle School,M,06 - 08,N
101912,ORTIZ MIDDLE,101,101912338,Ortiz Middle School,M,06 - 08,N
101912,LAS AMERICAS,101,101912340,Las Americas,M,04 - 08,N
101912,ENERGIZED FOR EXCELLENCE ACADEMY I,101,101912342,Energized For Excellence Academy I,M,06 - 08,N
101912,BRIARMEADOW CHARTER,101,101912344,Briarmeadow Charter,E,PK - 08,N
101912,EAST EARLY COLLEGE H S,101,101912345,East Early College High School,S,09 - 12,N
101912,HOUSTON ACADEMY FOR INTERNATIONAL,101,101912348,Houston Academy For International,S,09 - 12,N
101912,ENERGIZED FOR EXCELLENCE ACADEMY E,101,101912350,Energized For Excellence Academy Elementary School,E,PK - PK,N
101912,HARPER DAEP,101,101912351,Harper DAEP,S,08 - 12,N
101912,FARIAS EARLY CHILDHOOD CENTER,101,101912352,Farias Early Childhood Center,E,PK - PK,N
101912,SCHOOL AT ST GEORGE PLACE,101,101912353,School At St George Place,E,EE - 05,N
101912,MISTRAL CENTER FOR EARLY CHILDHOOD,101,101912354,Mistral Center For Early Childhood,E,EE - KG,N
101912,KING EARLY CHILDHOOD CTR,101,101912355,King Early Childhood Center,E,EE - KG,N
101912,LAURENZO EARLY CHILDHOOD CTR,101,101912357,Laurenzo Early Childhood Center,E,PK - KG,N
101912,COOK JR EL,101,101912358,Cook Jr Elementary School,E,PK - 05,N
101912,MORENO EL,101,101912359,Moreno Elementary School,E,EE - 05,N
101912,BELLFORT EARLY CHILDHOOD CENTER,101,101912360,Bellfort Early Childhood Center,E,EE - KG,N
101912,ENERGIZED FOR EXCELLENCE ACADEMY E,101,101912364,Energized For Excellence Academy Elementary School,E,KG - 05,N
101912,GROSS EL,101,101912369,Gross Elementary School,E,PK - 05,N
101912,YOUNG SCHOLARS ACADEMY FOR EXCELLE,101,101912371,Young Scholars Academy For Excelle,E,PK - 08,N
101912,RODRIGUEZ EL,101,101912372,Rodriguez Elementary School,E,EE - 05,N
101912,SEGUIN EL,101,101912373,Seguin Elementary School,E,EE - 05,N
101912,TINSLEY EL,101,101912374,Tinsley Elementary School,E,01 - 05,N
101912,R D S P D,101,101912380,R D S P D,E,EE - EE,N
101912,REAGAN K-8 EDUCATIONAL CTR,101,101912382,Reagan K-8 Educational Center,E,KG - 08,N
101912,DEANDA EL,101,101912383,Deanda Elementary School,E,PK - 05,N
101912,KETELSEN EL,101,101912389,Ketelsen Elementary School,E,PK - 05,N
101912,ENERGIZED FOR STEM ACADEMY SOUTHWE,101,101912390,Energized For Stem Academy Southwe,M,06 - 08,N
101912,YOUNG LEARNERS,101,101912392,Young Learners,E,PK - PK,N
101912,NEFF EL,101,101912394,Neff Elementary School,E,02 - 05,N
101912,HINES-CALDWELL,101,101912395,Hines-Caldwell,E,PK - 05,N
101912,RAY DAILY EL,101,101912396,Ray Daily Elementary School,E,EE - 05,N
101912,SECONDARY DAEP,101,101912402,Secondary DAEP,B,06 - 12,N
101912,ENERGIZED FOR STEM ACADEMY SOUTHWE,101,101912455,Energized For Stem Academy Southwe,S,09 - 12,N
101912,H S AHEAD ACADEMY,101,101912456,H S Ahead Academy,M,06 - 08,N
101912,MICKEY LELAND COLLEGE PREP ACAD FO,101,101912458,Mickey Leland College Prep Acad Fo,B,06 - 12,N
101912,ENERGIZED FOR STEM ACADEMY SOUTHEA,101,101912459,Energized For Stem Academy Southea,M,06 - 08,N
101912,MANDARIN IMMERSION MAGNET SCHOOL,101,101912460,Mandarin Immersion Magnet School,E,PK - 08,N
101912,YOUNG WOMEN'S COLLEGE PREP ACADEMY,101,101912463,Young Women'S College Prep Academy,B,06 - 12,N
101912,BAYLOR COLLEGE OF MEDICINE ACADEMY,101,101912467,Baylor College Of Medicine Academy,M,06 - 08,N
101912,ENERGY INSTITUTE H S,101,101912468,Energy Institute High School,S,09 - 12,N
101912,FONWOOD EARLY CHILDHOOD CTR,101,101912470,Fonwood Early Childhood Center,E,EE - KG,N
101912,HILLIARD EL,101,101912473,Hilliard Elementary School,E,KG - 05,N
101912,ELMORE EL,101,101912475,Elmore Elementary School,E,KG - 05,N
101912,FOREST BROOK MIDDLE,101,101912476,Forest Brook Middle School,M,06 - 08,N
101912,NORTH FOREST H S,101,101912477,North Forest High School,S,09 - 12,N
101912,ARABIC IMMERSION MAGNET SCHOOL,101,101912478,Arabic Immersion Magnet School,E,PK - 03,N
101912,SHADYDALE EL,101,101912479,Shadydale Elementary School,E,KG - 05,N
101912,MARSHALL EL,101,101912480,Marshall Elementary School,E,KG - 05,N
101912,MARK WHITE EL,101,101912483,Mark White Elementary School,E,PK - 05,N
101912,MIDDLE COLLEGE H S AT HCC GULFTON,101,101912484,Middle College H S At Hcc Gulfton,S,09 - 12,N
101912,MIDDLE COLLEGE H S AT HCC FRAGA,101,101912485,Middle College H S At Hcc Fraga,S,09 - 12,N
101912,SOUTH EARLY COLLEGE H S,101,101912486,South Early College High School,S,09 - 12,N
101913,HUMBLE H S,101,101913001,Humble High School,S,09 - 12,N
101913,KINGWOOD H S,101,101913002,Kingwood High School,S,09 - 12,N
101913,QUEST EARLY COLLEGE H S,101,101913005,Quest Early College High School,S,09 - 12,N
101913,ATASCOCITA H S,101,101913008,Atascocita High School,S,09 - 12,N
101913,KINGWOOD PARK H S,101,101913013,Kingwood Park High School,S,09 - 12,N
101913,SUMMER CREEK H S,101,101913014,Summer Creek High School,S,09 - 12,N
101913,HUMBLE COMMUNITY LEARNING CENTER,101,101913015,Humble Community Learning Center,B,06 - 12,N
101913,HUMBLE MIDDLE,101,101913041,Humble Middle School,M,06 - 08,N
101913,KINGWOOD MIDDLE,101,101913042,Kingwood Middle School,M,06 - 08,N
101913,CREEKWOOD MIDDLE,101,101913043,Creekwood Middle School,M,06 - 08,N
101913,ATASCOCITA MIDDLE,101,101913044,Atascocita Middle School,M,06 - 08,N
101913,RIVERWOOD MIDDLE,101,101913045,Riverwood Middle School,M,06 - 08,N
101913,TIMBERWOOD MIDDLE,101,101913046,Timberwood Middle School,M,06 - 08,N
101913,ROSS STERLING MIDDLE,101,101913047,Ross Sterling Middle School,M,06 - 08,N
101913,WOODCREEK MIDDLE,101,101913048,Woodcreek Middle School,M,06 - 08,N
101913,WESTLAKE MIDDLE,101,101913049,Westlake Middle School,M,06 - 08,N
101913,HUMBLE EL,101,101913101,Humble Elementary School,E,PK - 05,N
101913,LAKELAND EL,101,101913102,Lakeland Elementary School,E,EE - 05,N
101913,NORTH BELT EL,101,101913103,North Belt Elementary School,E,PK - 05,N
101913,FOSTER EL,101,101913104,Foster Elementary School,E,EE - 05,N
101913,WOODLAND HILLS EL,101,101913105,Woodland Hills Elementary School,E,KG - 05,N
101913,BEAR BRANCH EL,101,101913106,Bear Branch Elementary School,E,KG - 05,N
101913,ELM GROVE EL,101,101913107,Elm Grove Elementary School,E,EE - 05,N
101913,OAKS EL,101,101913108,Oaks Elementary School,E,EE - 05,N
101913,GREENTREE EL,101,101913109,Greentree Elementary School,E,KG - 05,N
101913,TIMBERS EL,101,101913110,Timbers Elementary School,E,EE - 05,N
101913,PINEFOREST EL,101,101913111,Pineforest Elementary School,E,KG - 05,N
101913,DEERWOOD EL,101,101913112,Deerwood Elementary School,E,EE - 05,N
101913,WILLOW CREEK EL,101,101913113,Willow Creek Elementary School,E,KG - 05,N
101913,HIDDEN HOLLOW EL,101,101913114,Hidden Hollow Elementary School,E,KG - 05,N
101913,WHISPERING PINES EL,101,101913115,Whispering Pines Elementary School,E,KG - 05,N
101913,SHADOW FOREST EL,101,101913116,Shadow Forest Elementary School,E,KG - 05,N
101913,JACK M FIELDS SR EL,101,101913117,Jack M Fields Sr Elementary School,E,EE - 05,N
101913,OAK FOREST EL,101,101913118,Oak Forest Elementary School,E,KG - 05,N
101913,MAPLEBROOK EL,101,101913119,Maplebrook Elementary School,E,EE - 05,N
101913,SUMMERWOOD EL,101,101913120,Summerwood Elementary School,E,KG - 05,N
101913,EAGLE SPRINGS EL,101,101913121,Eagle Springs Elementary School,E,EE - 05,N
101913,PARK LAKES EL,101,101913122,Park Lakes Elementary School,E,PK - 05,N
101913,RIVER PINES EL,101,101913123,River Pines Elementary School,E,PK - 05,N
101913,FALL CREEK EL,101,101913124,Fall Creek Elementary School,E,KG - 05,N
101913,LAKESHORE EL,101,101913125,Lakeshore Elementary School,E,EE - 05,N
101913,ATASCOCITA SPRINGS EL,101,101913126,Atascocita Springs Elementary School,E,KG - 05,N
101913,RIDGE CREEK EL,101,101913127,Ridge Creek Elementary School,E,PK - 05,N
101913,GROVES EL,101,101913128,Groves Elementary School,E,EE - 05,N
101913,HIGHPOINT EAST,101,101913197,Highpoint East,S,09 - 12,N
101913,JJAEP CAMPUS,101,101913198,JJAEP Campus,S,08 - 11,N
101914,KATY H S,101,101914001,Katy High School,S,09 - 12,N
101914,TAYLOR H S,101,101914002,Taylor High School,S,09 - 12,N
101914,OPPORT AWARENESS CTR,101,101914003,Opport Awareness Center,B,06 - 12,N
101914,MAYDE CREEK H S,101,101914005,Mayde Creek High School,S,09 - 12,N
101914,CINCO RANCH H S,101,101914007,Cinco Ranch High School,S,09 - 12,N
101914,MORTON RANCH H S,101,101914009,Morton Ranch High School,S,09 - 12,N
101914,SEVEN LAKES H S,101,101914010,Seven Lakes High School,S,09 - 12,N
101914,RAINES H S,101,101914011,Raines High School,S,09 - 12,N
101914,TOMPKINS H S,101,101914012,Tompkins High School,S,09 - 12,N
101914,PAETOW H S,101,101914013,Paetow High School,S,09 - 11,N
101914,HARRIS CO SCH FOR ACCELERATED LRN,101,101914033,Harris Co Sch For Accelerated Lrn,M,08 - 08,N
101914,FORT BEND CO ALTER,101,101914034,Fort Bend Co Alter,S,10 - 12,N
101914,KATY J H,101,101914041,Katy Junior High,M,06 - 08,N
101914,WEST MEMORIAL J H,101,101914042,West Memorial Junior High,M,06 - 08,N
101914,MAYDE CREEK J H,101,101914043,Mayde Creek Junior High,M,06 - 08,N
101914,MEMORIAL PARKWAY J H,101,101914044,Memorial Parkway Junior High,M,06 - 08,N
101914,T H MCDONALD J H,101,101914045,T H McDonald Junior High,M,06 - 08,N
101914,RODGER & ELLEN BECK J H,101,101914046,Rodger & Ellen Beck Junior High,M,06 - 08,N
101914,GARLAND MCMEANS J H,101,101914047,Garland McMeans Junior High,M,06 - 08,N
101914,CINCO RANCH J H,101,101914048,Cinco Ranch Junior High,M,06 - 08,N
101914,MORTON RANCH J H,101,101914049,Morton Ranch Junior High,M,06 - 08,N
101914,BECKENDORFF J H,101,101914050,Beckendorff Junior High,M,06 - 08,N
101914,CARDIFF J H,101,101914051,Cardiff Junior High,M,06 - 08,N
101914,WOODCREEK J H,101,101914052,Woodcreek Junior High,M,06 - 08,N
101914,SEVEN LAKES J H,101,101914053,Seven Lakes Junior High,M,06 - 08,N
101914,TAYS J H,101,101914054,Tays Junior High,M,06 - 08,N
101914,STOCKDICK J H,101,101914055,Stockdick Junior High,M,06 - 08,N
101914,MAURICE L WOLFE EL,101,101914101,Maurice L Wolfe Elementary School,E,KG - 05,N
101914,KATY EL,101,101914102,Katy Elementary School,E,PK - 05,N
101914,WEST MEMORIAL EL,101,101914103,West Memorial Elementary School,E,EE - 05,N
101914,MEMORIAL PARKWAY EL,101,101914104,Memorial Parkway Elementary School,E,EE - 05,N
101914,ZELMA HUTSELL EL,101,101914105,Zelma Hutsell Elementary School,E,EE - 05,N
101914,BEAR CREEK EL,101,101914106,Bear Creek Elementary School,E,PK - 05,N
101914,CIMARRON EL,101,101914107,Cimarron Elementary School,E,EE - 05,N
101914,DIANE WINBORN EL,101,101914108,Diane Winborn Elementary School,E,EE - 05,N
101914,NOTTINGHAM COUNTRY EL,101,101914109,Nottingham Country Elementary School,E,EE - 05,N
101914,SUNDOWN EL,101,101914110,Sundown Elementary School,E,EE - 05,N
101914,MAYDE CREEK EL,101,101914111,Mayde Creek Elementary School,E,EE - 05,N
101914,HAZEL S PATTISON EL,101,101914112,Hazel S Pattison Elementary School,E,EE - 05,N
101914,LORAINE T GOLBOW EL,101,101914113,Loraine T Golbow Elementary School,E,EE - 05,N
101914,EDNA MAE FIELDER EL,101,101914114,Edna Mae Fielder Elementary School,E,EE - 05,N
101914,JEANETTE HAYES EL,101,101914115,Jeanette Hayes Elementary School,E,EE - 05,N
101914,MCROBERTS EL,101,101914116,McRoberts Elementary School,E,EE - 05,N
101914,ROOSEVELT ALEXANDER EL,101,101914117,Roosevelt Alexander Elementary School,E,EE - 05,N
101914,JAMES E WILLIAMS EL,101,101914118,James E Williams Elementary School,E,PK - 05,N
101914,SUE CREECH EL,101,101914119,Sue Creech Elementary School,E,PK - 05,N
101914,ROBERT KING EL,101,101914120,Robert King Elementary School,E,EE - 05,N
101914,JEAN & BETTY SCHMALZ EL,101,101914121,Jean & Betty Schmalz Elementary School,E,EE - 05,N
