DISTRICT,CAMPNAME,COUNTY,CAMPUS,CAMPNAME_CLEAN,GRDTYPE,GRDSPAN,CFLCHART
14908,BELL COUNTY DAEP,14,14908005,Bell County DAEP,S,09 - 09,N
14908,SALADO J H,14,14908042,Salado Junior High,M,06 - 08,N
14908,THOMAS ARNOLD EL,14,14908102,Thomas Arnold Elementary School,E,EE - 05,N
14909,TEMPLE H S,14,14909002,Temple High School,S,09 - 12,N
14909,WHEATLEY ALTERNATIVE EDUCATION CEN,14,14909005,Wheatley Alternative Education Center,B,05 - 11,N
14909,FRED W EDWARDS ACADEMY AEC,14,14909008,Fred W Edwards Academy Alternative Education Center,S,09 - 12,N
14909,LAMAR MIDDLE,14,14909041,Lamar Middle School,M,06 - 08,N
14909,TRAVIS SCIENCE ACADEMY,14,14909042,Travis Science Academy,M,06 - 08,N
14909,BONHAM MIDDLE,14,14909044,Bonham Middle School,M,06 - 08,N
14909,MERIDITH-DUNBAR EARLY CHILDHOOD AC,14,14909101,Meridith-Dunbar Early Childhood Ac,E,EE - PK,N
14909,CATER EL,14,14909102,Cater Elementary School,E,KG - 05,N
14909,JEFFERSON EL,14,14909107,Jefferson Elementary School,E,KG - 05,N
14909,SCOTT EL,14,14909110,Scott Elementary School,E,KG - 05,N
14909,THORNTON EL,14,14909111,Thornton Elementary School,E,KG - 05,N
14909,WESTERN HILLS EL,14,14909114,Western Hills Elementary School,E,KG - 05,N
14909,RAYE-ALLEN EL,14,14909116,Raye-Allen Elementary School,E,EE - 05,N
14909,KENNEDY-POWELL EL,14,14909117,Kennedy-Powell Elementary School,E,KG - 05,N
14909,HECTOR P GARCIA EL,14,14909118,Hector P Garcia Elementary School,E,KG - 05,N
14910,TROY H S,14,14910001,Troy High School,S,09 - 12,N
14910,RAYMOND MAYS MIDDLE,14,14910041,Raymond Mays Middle School,M,06 - 08,N
14910,TROY EL,14,14910101,Troy Elementary School,E,02 - 05,N
14910,EDNA BIGHAM MAYS EL,14,14910103,Edna Bigham Mays Elementary School,E,EE - 01,N
15801,POR VIDA ACADEMY CHARTER H S,15,15801001,Por Vida Academy Charter High School,S,09 - 12,Y
15801,CORPUS CHRISTI COLLEGE PREP H S,15,15801002,Corpus Christi College Prep High School,S,09 - 12,Y
