CAMPUS,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CAMPNAME,CFLALTED,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
"006902001","1","1","0","1","0","0","1","CLAUDE H S","N","N","ARMSTRONG","006","M","CLAUDE ISD","006902","06 - 12","B"," "," ","16"
"006902101","0"," ","0","0","0","0"," ","CLAUDE EL","N","N","ARMSTRONG","006","M","CLAUDE ISD","006902","PK - 05","E"," "," ","16"
"007901001","0","0","0","0","0","0","0","CHARLOTTE H S","N","N","ATASCOSA","007","M","CHARLOTTE ISD","007901","09 - 12","S"," "," ","20"
"007901003"," "," "," "," "," "," "," ","DISTRICT REASSIGNMENT & OPPORTUNIT","N","N","ATASCOSA","007","X","CHARLOTTE ISD","007901","07 - 08","M"," "," ","20"
"007901041","0","0","0","0","0","0","0","CHARLOTTE MIDDLE","N","N","ATASCOSA","007","I","CHARLOTTE ISD","007901","05 - 08","M"," "," ","20"
"007901101","0"," ","0","0","0"," "," ","CHARLOTTE EL","N","N","ATASCOSA","007","M","CHARLOTTE ISD","007901","PK - 04","E"," "," ","20"
"007902001","0","0","0","0","0","0","0","JOURDANTON H S","N","N","ATASCOSA","007","M","JOURDANTON ISD","007902","09 - 12","S"," "," ","20"
"007902005"," "," "," "," "," "," "," ","ATASCOSA COUNTY JUVENILE JUSTICE C","N","N","ATASCOSA","007","Z","JOURDANTON ISD","007902","08 - 11","S"," "," ","20"
"007902006"," "," "," "," "," "," "," ","JOURDANTON DAEP","N","N","ATASCOSA","007","X","JOURDANTON ISD","007902","09 - 09","S"," "," ","20"
"007902041","0","0","0","0","0","1","1","JOURDANTON J H","N","N","ATASCOSA","007","M","JOURDANTON ISD","007902","06 - 08","M"," "," ","20"
"007902101","0"," ","0","0","0","0"," ","JOURDANTON EL","N","N","ATASCOSA","007","M","JOURDANTON ISD","007902","PK - 05","E"," "," ","20"
"007904001","0","0","0","0","0","0","0","LYTLE H S","N","N","ATASCOSA","007","M","LYTLE ISD","007904","09 - 12","S"," "," ","20"
"007904002"," "," "," "," "," "," "," ","LYTLE DAEP","N","N","ATASCOSA","007","X","LYTLE ISD","007904","06 - 10","B"," "," ","20"
"007904041","0","0","0","0","0","0","0","LYTLE JUNIOR HIGH SCHOOL","N","N","ATASCOSA","007","I","LYTLE ISD","007904","06 - 08","M"," "," ","20"
"007904101","0"," ","0","0","0","0"," ","LYTLE EL","N","N","ATASCOSA","007","I","LYTLE ISD","007904","02 - 05","E"," "," ","20"
"007904103"," "," "," "," "," "," "," ","LYTLE PRIMARY SCHOOL","N","N","ATASCOSA","007","I","LYTLE ISD","007904","EE - 01","E","007904101","LYTLE EL","20"
"007905001","0","0","0","0","0","0","0","PLEASANTON H S","N","N","ATASCOSA","007","M","PLEASANTON ISD","007905","09 - 12","S"," "," ","20"
"007905004"," "," "," "," "," "," "," ","ATASCOSA CO ALTER","N","N","ATASCOSA","007","X","PLEASANTON ISD","007905","06 - 07","M"," "," ","20"
"007905005"," "," "," "," "," "," "," ","PLEASANTON ISD SCHOOL OF CHOICE","Y","N","ATASCOSA","007","Z","PLEASANTON ISD","007905","10 - 12","S"," "," ","20"
"007905041","0","0","0","0","0","0","0","PLEASANTON J H","N","N","ATASCOSA","007","M","PLEASANTON ISD","007905","07 - 08","M"," "," ","20"
"007905103","0"," ","0","0","0"," "," ","PLEASANTON EL","N","N","ATASCOSA","007","M","PLEASANTON ISD","007905","02 - 04","E"," "," ","20"
"007905104","0"," ","0","0","0","0"," ","PLEASANTON INT","N","N","ATASCOSA","007","M","PLEASANTON ISD","007905","05 - 06","M"," "," ","20"
"007905105"," "," "," "," "," "," "," ","PLEASANTON PRI","N","N","ATASCOSA","007","M","PLEASANTON ISD","007905","EE - 01","E","007905103","PLEASANTON EL","20"
"007906001","0","0","0","0","1","1","0","POTEET H S","N","N","ATASCOSA","007","M","POTEET ISD","007906","09 - 12","S"," "," ","20"
"007906041","0","0","0","1","0","0","0","POTEET J H","N","N","ATASCOSA","007","M","POTEET ISD","007906","06 - 08","M"," "," ","20"
"007906101","0"," ","0"," ","0"," "," ","POTEET EL","N","N","ATASCOSA","007","M","POTEET ISD","007906","EE - 03","E"," "," ","20"
"007906102","0"," ","0","0","0","0"," ","POTEET INT","N","N","ATASCOSA","007","M","POTEET ISD","007906","04 - 05","E"," "," ","20"
"008901001","0","1","1","0","1","1","0","BELLVILLE H S","N","N","AUSTIN","008","M","BELLVILLE ISD","008901","09 - 12","S"," "," ","06"
"008901041","0","0","1","0","0","1","1","BELLVILLE J H","N","N","AUSTIN","008","M","BELLVILLE ISD","008901","06 - 08","M"," "," ","06"
"008901101","1"," ","1","1","0"," "," ","O'BRYANT PRI","N","N","AUSTIN","008","M","BELLVILLE ISD","008901","EE - 03","E"," "," ","06"
"008901102","0"," ","0","0","0","0"," ","O'BRYANT INT","N","N","AUSTIN","008","M","BELLVILLE ISD","008901","04 - 05","E"," "," ","06"
"008901105","0"," ","0","0","0","0"," ","WEST END EL","N","N","AUSTIN","008","M","BELLVILLE ISD","008901","KG - 05","E"," "," ","06"
"008902001","0","0","1","0","0","1","1","SEALY H S","N","N","AUSTIN","008","M","SEALY ISD","008902","09 - 12","S"," "," ","06"
"008902041","0","0","0","0","1","0","0","SEALY J H","N","N","AUSTIN","008","M","SEALY ISD","008902","06 - 08","M"," "," ","06"
"008902102","0"," ","0","0","0"," "," ","SELMAN EL","N","N","AUSTIN","008","M","SEALY ISD","008902","EE - 03","E"," "," ","06"
"008902103","0"," ","0","0","0","1"," ","SELMAN INT","N","N","AUSTIN","008","M","SEALY ISD","008902","04 - 05","E"," "," ","06"
"008903001","0","0","0","0","0","0","0","BRAZOS H S","N","N","AUSTIN","008","M","BRAZOS ISD","008903","09 - 12","S"," "," ","06"
"008903041","1","0","0","0","1","1","1","BRAZOS MIDDLE","N","N","AUSTIN","008","M","BRAZOS ISD","008903","06 - 08","M"," "," ","06"
"008903102","0"," ","0","0","0","0"," ","BRAZOS EL","N","N","AUSTIN","008","M","BRAZOS ISD","008903","PK - 05","E"," "," ","06"
"008903103"," "," "," "," "," "," "," ","PRAIRIE HARBOR ALTERNATIVE SCHOOL","N","N","AUSTIN","008","X","BRAZOS ISD","008903","04 - 12","B"," "," ","06"
"009901001","0","1","0","1","0","0","0","MULESHOE H S","N","N","BAILEY","009","M","MULESHOE ISD","009901","09 - 12","S"," "," ","17"
"009901002"," "," "," "," "," "," "," ","P E P","Y","N","BAILEY","009","A","MULESHOE ISD","009901","11 - 12","S"," "," ","17"
"009901041","0","0","1","0","1","0","1","WATSON J H","N","N","BAILEY","009","M","MULESHOE ISD","009901","06 - 08","M"," "," ","17"
"009901101","0"," ","0","0","0","0"," ","MARY DESHAZO EL","N","N","BAILEY","009","M","MULESHOE ISD","009901","03 - 05","E"," "," ","17"
"009901103"," "," "," "," "," "," "," ","DILLMAN EL","N","N","BAILEY","009","M","MULESHOE ISD","009901","EE - 02","E","009901101","MARY DESHAZO EL","17"
"010901001","0","0","1","0","1","0","0","MEDINA SCHOOL","N","N","BANDERA","010","M","MEDINA ISD","010901","PK - 12","B"," "," ","20"
"010902001","0","1","1","0","1","1","1","BANDERA H S","N","N","BANDERA","010","M","BANDERA ISD","010902","09 - 12","S"," "," ","20"
"010902041","0","0","1","0","1","1","0","BANDERA MIDDLE","N","N","BANDERA","010","M","BANDERA ISD","010902","06 - 08","M"," "," ","20"
"010902101","0"," ","0","0","0","0"," ","ALKEK EL","N","N","BANDERA","010","M","BANDERA ISD","010902","EE - 05","E"," "," ","20"
"010902102","0"," ","0","0","0","0"," ","HILL COUNTRY EL","N","N","BANDERA","010","M","BANDERA ISD","010902","PK - 05","E"," "," ","20"
"011901001","0","0","1","0","1","1","1","BASTROP H S","N","N","BASTROP","011","M","BASTROP ISD","011901","09 - 12","S"," "," ","13"
"011901002","1","1","1","1","0","1","0","CEDAR CREEK H S","N","N","BASTROP","011","M","BASTROP ISD","011901","09 - 12","S"," "," ","13"
"011901005","1","1","1","1","1","1"," ","COLORADO RIVER COLLEGIATE ACADEMY","N","N","BASTROP","011","M","BASTROP ISD","011901","09 - 09","S"," "," ","13"
"011901022"," "," "," "," "," "," "," ","GENESIS H S","Y","N","BASTROP","011","A","BASTROP ISD","011901","09 - 12","S"," "," ","13"
"011901033"," "," "," "," "," "," "," ","GATEWAY SCH","N","N","BASTROP","011","X","BASTROP ISD","011901","06 - 11","B"," "," ","13"
"011901041","0","0","0","0","0","0","0","BASTROP MIDDLE","N","N","BASTROP","011","M","BASTROP ISD","011901","07 - 08","M"," "," ","13"
"011901101","0"," ","0","0","0"," "," ","EMILE EL","N","N","BASTROP","011","M","BASTROP ISD","011901","EE - 04","E"," "," ","13"
"011901102","0"," ","0","0","0"," "," ","MINA EL","N","N","BASTROP","011","M","BASTROP ISD","011901","EE - 04","E"," "," ","13"
"011901103","0"," ","0","0","0"," "," ","CEDAR CREEK EL","N","N","BASTROP","011","I","BASTROP ISD","011901","PK - 04","E"," "," ","13"
"011901104","0"," ","0","0","0","0"," ","BASTROP INT","N","N","BASTROP","011","M","BASTROP ISD","011901","05 - 06","M"," "," ","13"
"011901106","0","0","0","0","0","0","0","CEDAR CREEK MIDDLE","N","N","BASTROP","011","M","BASTROP ISD","011901","07 - 08","M"," "," ","13"
"011901107","0"," ","0","0","0"," "," ","RED ROCK EL","N","N","BASTROP","011","I","BASTROP ISD","011901","EE - 04","E"," "," ","13"
"011901108","0"," ","0","1","1","1"," ","CEDAR CREEK INT","N","N","BASTROP","011","M","BASTROP ISD","011901","05 - 06","M"," "," ","13"
"011901109","0"," ","1","0","1"," "," ","BLUEBONNET EL","N","N","BASTROP","011","M","BASTROP ISD","011901","PK - 04","E"," "," ","13"
"011901110","0"," ","0","0","0"," "," ","LOST PINES EL","N","N","BASTROP","011","M","BASTROP ISD","011901","EE - 04","E"," "," ","13"
"011902001","0","0","0","0","1","0","1","ELGIN H S","N","N","BASTROP","011","M","ELGIN ISD","011902","09 - 12","S"," "," ","13"
"011902003"," "," "," "," "," "," "," ","BASTROP COUNTY JUVENILE BOOT CAMP","N","N","BASTROP","011","X","ELGIN ISD","011902","09 - 09","S"," "," ","13"
"011902004"," "," "," "," "," "," "," ","PHOENIX H S","Y","N","BASTROP","011","A","ELGIN ISD","011902","09 - 12","S"," "," ","13"
"011902041","0","0","0","0","0","0","0","ELGIN MIDDLE","N","N","BASTROP","011","M","ELGIN ISD","011902","06 - 08","M"," "," ","13"
"011902101","0"," ","0","0","0","0"," ","BOOKER T WASHINGTON EL","N","N","BASTROP","011","M","ELGIN ISD","011902","KG - 05","E"," "," ","13"
"011902102","0"," ","0","0","0","0"," ","ELGIN EL","N","N","BASTROP","011","I","ELGIN ISD","011902","EE - 05","E"," "," ","13"
"011902103","0"," ","0","0","0","0"," ","NEIDIG EL","N","N","BASTROP","011","M","ELGIN ISD","011902","KG - 05","E"," "," ","13"
"011904002","1","0","0","0","0","1","1","SMITHVILLE H S","N","N","BASTROP","011","M","SMITHVILLE ISD","011904","09 - 12","S"," "," ","13"
"011904041","0","1","0","0","0","0","0","SMITHVILLE J H","N","N","BASTROP","011","M","SMITHVILLE ISD","011904","06 - 08","M"," "," ","13"
"011904101","0"," ","0","0","0","0"," ","SMITHVILLE EL","N","N","BASTROP","011","I","SMITHVILLE ISD","011904","03 - 05","E"," "," ","13"
"011904102"," "," "," "," "," "," "," ","BROWN PRI","N","N","BASTROP","011","I","SMITHVILLE ISD","011904","PK - 02","E","011904101","SMITHVILLE EL","13"
"011905101","0","1","0","1","0","0","0","MCDADE ISD","N","N","BASTROP","011","M","MCDADE ISD","011905","PK - 08","E"," "," ","13"
"012901001","0","1","1","1","1","0","0","SEYMOUR H S","N","N","BAYLOR","012","M","SEYMOUR ISD","012901","09 - 12","S"," "," ","09"
"012901042","0","0","1","0","1","0","0","SEYMOUR MIDDLE","N","N","BAYLOR","012","M","SEYMOUR ISD","012901","05 - 08","M"," "," ","09"
"012901101","0"," ","0","0","1"," "," ","SEYMOUR EL","N","N","BAYLOR","012","M","SEYMOUR ISD","012901","EE - 04","E"," "," ","09"
