CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN
3905001,3905,DIBOLL H S,3,DIBOLL ISD,7,ANGELINA,S,09 - 12,N,N, , ,Diboll High School
3905004,3905,STUBBLEFIELD LRN CTR,3,DIBOLL ISD,7,ANGELINA,S,10 - 12,N,Y, , ,Stubblefield Learning Center
3905041,3905,DIBOLL J H,3,DIBOLL ISD,7,ANGELINA,M,06 - 08,N,N, , ,Diboll Junior High
3905101,3905,H G TEMPLE EL,3,DIBOLL ISD,7,ANGELINA,E,KG - 02,N,N,003905103,H G TEMPLE INT,H G Temple Elementary School
3905102,3905,DIBOLL PRI,3,DIBOLL ISD,7,ANGELINA,E,PK - PK,N,N,003905103,H G TEMPLE INT,Diboll Primary School
3905103,3905,H G TEMPLE INT,3,DIBOLL ISD,7,ANGELINA,E,03 - 05,N,N, , ,H G Temple Intermediate School
3906001,3906,ZAVALLA H S,3,ZAVALLA ISD,7,ANGELINA,B,06 - 12,N,N, , ,Zavalla High School
3906004,3906,STUBBLEFIELD LRN CTR,3,ZAVALLA ISD,7,ANGELINA,S,11 - 11,N,Y, , ,Stubblefield Learning Center
3906101,3906,ZAVALLA EL,3,ZAVALLA ISD,7,ANGELINA,E,PK - 05,N,N, , ,Zavalla Elementary School
3907001,3907,CENTRAL H S,3,CENTRAL ISD,7,ANGELINA,S,09 - 12,N,N, , ,Central High School
3907004,3907,STUBBLEFIELD LRN CTR,3,CENTRAL ISD,7,ANGELINA,S,12 - 12,N,Y, , ,Stubblefield Learning Center
3907041,3907,CENTRAL J H,3,CENTRAL ISD,7,ANGELINA,M,05 - 08,N,N, , ,Central Junior High
3907102,3907,CENTRAL EL,3,CENTRAL ISD,7,ANGELINA,E,EE - 04,N,N, , ,Central Elementary School
4901001,4901,ROCKPORT-FULTON H S,4,ARANSAS COUNTY ISD,2,ARANSAS,S,09 - 12,N,N, , ,Rockport-Fulton High School
4901041,4901,ROCKPORT-FULTON MIDDLE,4,ARANSAS COUNTY ISD,2,ARANSAS,M,06 - 08,N,N, , ,Rockport-Fulton Middle School
4901101,4901,FULTON LEARNING CENTER,4,ARANSAS COUNTY ISD,2,ARANSAS,E,03 - 05,N,N, , ,Fulton Learning Center
4901103,4901,LIVE OAK LEARNING CENTER,4,ARANSAS COUNTY ISD,2,ARANSAS,E,EE - 02,N,N,004901101,FULTON LEARNING CENTER,Live Oak Learning Center
5901001,5901,ARCHER CITY H S,5,ARCHER CITY ISD,9,ARCHER,S,07 - 12,N,N, , ,Archer City High School
5901101,5901,ARCHER CITY EL,5,ARCHER CITY ISD,9,ARCHER,E,EE - 06,N,N, , ,Archer City Elementary School
5902001,5902,HOLLIDAY H S,5,HOLLIDAY ISD,9,ARCHER,S,09 - 12,N,N, , ,Holliday High School
5902041,5902,HOLLIDAY MIDDLE,5,HOLLIDAY ISD,9,ARCHER,M,06 - 08,N,N, , ,Holliday Middle School
5902101,5902,HOLLIDAY EL,5,HOLLIDAY ISD,9,ARCHER,E,EE - 05,N,N, , ,Holliday Elementary School
5904001,5904,WINDTHORST H S,5,WINDTHORST ISD,9,ARCHER,S,09 - 12,N,N, , ,Windthorst High School
5904041,5904,WINDTHORST JH,5,WINDTHORST ISD,9,ARCHER,M,06 - 08,N,N, , ,Windthorst Jh
5904101,5904,WINDTHORST EL,5,WINDTHORST ISD,9,ARCHER,E,PK - 05,N,N, , ,Windthorst Elementary School
6902001,6902,CLAUDE SCHOOLS,6,CLAUDE ISD,16,ARMSTRONG,B,PK - 12,N,N, , ,Claude Schools
7901001,7901,CHARLOTTE H S,7,CHARLOTTE ISD,20,ATASCOSA,S,09 - 12,N,N, , ,Charlotte High School
7901041,7901,CHARLOTTE MIDDLE,7,CHARLOTTE ISD,20,ATASCOSA,M,06 - 08,N,N, , ,Charlotte Middle School
7901101,7901,CHARLOTTE EL,7,CHARLOTTE ISD,20,ATASCOSA,E,PK - 05,N,N, , ,Charlotte Elementary School
7902001,7902,JOURDANTON H S,7,JOURDANTON ISD,20,ATASCOSA,S,09 - 12,N,N, , ,Jourdanton High School
7902005,7902,ATASCOSA COUNTY JUVENILE JUSTICE C,7,JOURDANTON ISD,20,ATASCOSA,S,07 - 11,N,Y, , ,Atascosa County Juvenile Justice Center
7902006,7902,JOURDANTON DAEP,7,JOURDANTON ISD,20,ATASCOSA,B,06 - 10,N,N, , ,Jourdanton DAEP
7902041,7902,JOURDANTON J H,7,JOURDANTON ISD,20,ATASCOSA,M,06 - 08,N,N, , ,Jourdanton Junior High
