CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN,CD1G,CD2G,CD3G,C_RATING
003903126,3903.0,HACKNEY PRI,3.0,LUFKIN ISD,7.0,ANGELINA,E,PK - PK,N,N,003903000,LUFKIN ISD,Hackney Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
003903127,3903.0,HERTY PRI,3.0,LUFKIN ISD,7.0,ANGELINA,E,EE - 02,N,N,003903123,COSTON EL,Herty Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
003903128,3903.0,KURTH PRI,3.0,LUFKIN ISD,7.0,ANGELINA,E,KG - 02,N,N,003903120,ANDERSON EL,Kurth Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
003903129,3903.0,SLACK EL,3.0,LUFKIN ISD,7.0,ANGELINA,E,02 - 05,N,N, , ,Slack Elementary School,C,C,C,C
003903130,3903.0,TROUT PRI,3.0,LUFKIN ISD,7.0,ANGELINA,E,EE - 02,N,N,003903122,BROOKHOLLOW EL,Trout Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,C
003903131,3903.0,BURLEY PRI,3.0,LUFKIN ISD,7.0,ANGELINA,E,KG - 02,N,N,003903129,SLACK EL,Burley Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,C
003903141,3903.0,SPECIAL SERVICES,3.0,LUFKIN ISD,7.0,ANGELINA,E,EE - 06,N,N, , ,Special Services,Not Rated,Not Rated,Not Rated,Not Rated
003903201,3903.0,JUVENILE DETENT CTR,3.0,LUFKIN ISD,7.0,ANGELINA,B,06 - 12,N,Y, , ,Juvenile Detention Center,Not Rated,Not Rated,Not Rated,Not Rated
003904001,3904.0,HUNTINGTON H S,3.0,HUNTINGTON ISD,7.0,ANGELINA,S,09 - 12,N,N, , ,Huntington High School,B,B,B,B
003904005,3904.0,PRIDE ALTER SCH,3.0,HUNTINGTON ISD,7.0,ANGELINA,S,09 - 12,N,Y, , ,Pride Alter Sch,C,Not Rated,Not Rated,C
003904041,3904.0,HUNTINGTON MIDDLE,3.0,HUNTINGTON ISD,7.0,ANGELINA,M,06 - 08,N,N, , ,Huntington Middle School,B,B,B,B
003904101,3904.0,HUNTINGTON EL,3.0,HUNTINGTON ISD,7.0,ANGELINA,E,EE - 03,N,N, , ,Huntington Elementary School,C,C,D,C
003904102,3904.0,HUNTINGTON INT,3.0,HUNTINGTON ISD,7.0,ANGELINA,E,04 - 05,N,N, , ,Huntington Intermediate School,C,C,B,B
003905001,3905.0,DIBOLL H S,3.0,DIBOLL ISD,7.0,ANGELINA,S,09 - 12,N,N, , ,Diboll High School,B,B,C,B
003905004,3905.0,STUBBLEFIELD LRN CTR,3.0,DIBOLL ISD,7.0,ANGELINA,S,10 - 12,N,Y, , ,Stubblefield Learning Center,Not Rated,Not Rated,Not Rated,Not Rated
