DISTRICT,CNTYNAME,COUNTY,DA0GS21R,DAD_POST,DASC4X21R,DD1A,DD1AS,DD1B,DD1BS,DD1C,DD1CS,DD1G,DD1S,DD2A,DD2AG,DD2AS,DD2B,DD2BG,DD2BS,DD2G,DD2S,DD3,DD3G,DD3S,DDALLS,DFLALTED,DFLCHART,DFLNEWDIST,DFLRTF,DFLSCD,DISTNAME,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETECOP,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP,D_AEABONUS,D_AEABONUS_USED_PCT,D_AEAGRAD_PTS,D_AEASTAAR_PCT,D_AEASTAAR_PTS,D_RATING,REGION,REGNNAME
15914,BEXAR,15,89.9,0,91.6,60,90,67,92,100,100,A,93,72,B,84,64,B,81,B,84,91,A,92,93,N,N,N,N,N,FT SAM HOUSTON ISD,1145,70,1635,0,0.0,420,25.7,31,1.9,0,0,222,13.6,0,0,.,.,.,.,.,A,20,REGION 20: SAN ANTONIO
15915,BEXAR,15,85,0,85.7,47,79,55,83,95.8,85,B,82,73,B,85,51,C,79,B,85,65,B,81,84,N,N,N,N,N,NORTHSIDE ISD,77365,76.2,101584,0,0.0,49699,48.9,10690,10.5,0,0,13879,13.7,0,0,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
15916,BEXAR,15,78.8,0,81,41,71,53,80,91.7,65,C,73,71,B,82,47,B,81,B,82,55,C,77,81,N,N,N,N,N,JUDSON ISD,17178,70.1,24517,281,1.1,16833,68.7,2696,11.0,0,0,3461,14.1,195,0.8,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
15917,BEXAR,15,71.4,0,74,40,70,50,78,93.8,75,C,74,81,A,92,45,B,82,A,92,55,C,77,88,N,N,N,N,N,SOUTHSIDE ISD,4016,72.8,5516,389,7.1,4749,86.1,1149,20.8,0,0,785,14.2,0,0,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
16901,BLANCO,16,97.3,0,94.6,56,87,95,99,100,100,A,94,74,B,87,76,A,93,A,93,75,B,85,91,N,N,N,N,N,JOHNSON CITY ISD,545,78.2,697,0,0.0,218,31.3,54,7.7,0,0,87,12.5,0,0,.,.,.,.,.,A,13,REGION 13: AUSTIN
16902,BLANCO,16,96.3,0,97.5,52,83,66,92,100,100,A,90,75,B,89,59,B,85,B,89,65,B,81,87,N,N,N,N,N,BLANCO ISD,817,77.2,1058,0,0.0,444,42.0,90,8.5,0,0,167,15.8,0,0,.,.,.,.,.,B,13,REGION 13: AUSTIN
17901,BORDEN,17,., ,.,66,92,86,97,100,100,A,96,76,B,86,76,A,91,A,91,100,A,100,97,N,N, ,N,Y,BORDEN COUNTY ISD,.,.,245,0,0.0,103,42.0,2,0.8,.,.,21,8.6,.,.,.,.,.,.,.,A,17,REGION 17: LUBBOCK
18901,BOSQUE,18,95.4,0,96.8,50,82,57,86,100,100,B,87,71,B,82,54,B,88,B,88,62,B,80,86,N,N,N,N,N,CLIFTON ISD,784,76.6,1024,0,0.0,635,62.0,83,8.1,0,0,186,18.2,0,0,.,.,.,.,.,B,12,REGION 12: WACO
18902,BOSQUE,18,90.6,0,96.7,37,65,44,73,100,100,C,75,64,Not Rated: SB 1365,65,41,C,73,C,73,4,Not Rated: SB 1365,38,64,N,N,N,N,N,MERIDIAN ISD,295,75.3,392,0,0.0,248,63.3,21,5.4,0,0,64,16.3,0,0,.,.,.,.,.,Not Rated: SB 1365,12,REGION 12: WACO
18903,BOSQUE,18,., ,.,31,56,73,93,100,100,B,80,62,Not Rated: SB 1365,69,52,B,83,B,83,54,C,76,81,N,N, ,N,Y,MORGAN ISD,.,.,139,0,0.0,97,69.8,18,12.9,.,.,24,17.3,.,.,.,.,.,.,.,B,12,REGION 12: WACO
18904,BOSQUE,18,91.7,0,93.9,48,80,94,99,100,100,A,92,69,C,79,71,A,93,A,93,64,B,81,89,N,N,N,N,N,VALLEY MILLS ISD,451,73,618,0,0.0,312,50.5,42,6.8,0,0,89,14.4,0,0,.,.,.,.,.,B,12,REGION 12: WACO
18905,BOSQUE,18,., ,.,36,62,64,91,100,100,B,81,67,C,76,50,B,83,B,83,44,C,74,80,N,N, ,N,Y,WALNUT SPRINGS ISD,.,.,178,0,0.0,156,87.6,54,30.3,.,.,28,15.7,.,.,.,.,.,.,.,B,12,REGION 12: WACO
18906,BOSQUE,18,., ,.,52,79,82,96,100,100,A,90,75,B,85,67,A,91,A,91,79,B,84,89,N,N, ,N,Y,IREDELL ISD,.,.,133,0,0.0,78,58.6,2,1.5,.,.,24,18.0,.,.,.,.,.,.,.,B,12,REGION 12: WACO
18907,BOSQUE,18,., ,.,35,60,36,68,93.8,75,Not Rated: SB 1365,66,59,Not Rated: SB 1365,65,36,Not Rated: SB 1365,67,Not Rated: SB 1365,67,28,C,70,68,N,N, ,N,Y,KOPPERL ISD,.,.,179,0,0.0,114,63.7,1,0.6,.,.,34,19.0,.,.,.,.,.,.,.,Not Rated: SB 1365,12,REGION 12: WACO
18908,BOSQUE,18,., ,.,43,72,61,90,100,100,B,85,77,B,87,52,B,83,B,87,76,B,83,86,N,N, ,N,Y,CRANFILLS GAP ISD,.,.,132,0,0.0,95,72.0,8,6.1,.,.,23,17.4,.,.,.,.,.,.,.,B,12,REGION 12: WACO
19901,BOWIE,19,86.5,0,90.2,47,79,63,91,100,100,B,88,74,B,87,55,A,90,A,90,63,B,80,87,N,N,N,N,N,DEKALB ISD,572,73.1,783,0,0.0,539,68.8,40,5.1,0,0,91,11.6,0,0,.,.,.,.,.,B,8,REGION 08: MT PLEASANT
19902,BOWIE,19,47.4,0,48,55,86,51,78,100,100,B,86,77,A,90,53,B,85,A,90,78,B,86,89,N,N,N,N,N,HOOKS ISD,688,77.7,886,0,0.0,500,56.4,24,2.7,0,0,102,11.5,0,0,.,.,.,.,.,B,8,REGION 08: MT PLEASANT
19903,BOWIE,19,., ,.,57,86,93,98,100,100,A,94,70,B,80,75,A,93,A,93,91,B,88,92,N,N, ,N,Y,MAUD ISD,.,.,474,0,0.0,270,57.0,2,0.4,.,.,55,11.6,.,.,.,.,.,.,.,Not Rated: Data Under Review,8,REGION 08: MT PLEASANT
19905,BOWIE,19,65,0,71.2,45,76,76,94,98.1,95,B,87,67,C,73,61,A,92,B,89,66,B,81,87,N,N,N,N,N,NEW BOSTON ISD,847,70.8,1196,0,0.0,954,79.8,41,3.4,0,0,201,16.8,0,0,.,.,.,.,.,B,8,REGION 08: MT PLEASANT
19906,BOWIE,19,68.9,0,70,57,87,70,93,98.9,95,A,91,79,A,91,64,A,91,A,91,96,A,96,93,N,N,N,N,N,REDWATER ISD,853,77.6,1099,0,0.0,562,51.1,6,0.5,0,0,116,10.6,0,0,.,.,.,.,.,A,8,REGION 08: MT PLEASANT
19907,BOWIE,19,72.6,0,76.8,44,75,49,77,93.9,75,C,76,68,C,76,47,B,83,B,83,41,C,73,80,N,N,N,N,N,TEXARKANA ISD,5020,70.4,7126,0,0.0,5450,76.5,647,9.1,0,0,837,11.7,1954,27.4,.,.,.,.,.,B,8,REGION 08: MT PLEASANT
19908,BOWIE,19,37.7,0,38.3,33,58,37,68,95.2,85,Not Rated: SB 1365,67,73,B,85,35,Not Rated: SB 1365,69,B,85,13,Not Rated: SB 1365,57,77,N,N,N,N,N,LIBERTY-EYLAU ISD,1477,69.3,2131,0,0.0,1786,83.8,59,2.8,0,0,321,15.1,0,0,.,.,.,.,.,C,8,REGION 08: MT PLEASANT
19909,BOWIE,19,70.7,0,73.7,55,86,63,91,100,100,A,91,69,C,79,59,B,88,B,88,95,A,95,92,N,N,N,N,N,SIMMS ISD,375,79.3,473,0,0.0,220,46.5,4,0.8,0,0,39,8.2,0,0,.,.,.,.,.,A,8,REGION 08: MT PLEASANT
19910,BOWIE,19,., ,.,58,88,.,.,.,.,B,88,76,B,82,58,B,85,B,85,64,C,74,84,N,N, ,N,Y,MALTA ISD,.,.,208,0,0.0,105,50.5,0,0.0,.,.,20,9.6,.,.,.,.,.,.,.,B,8,REGION 08: MT PLEASANT
19911,BOWIE,19,., ,.,69,92,.,.,.,.,A,92,79,A,91,69,B,80,A,91,100,A,100,94,N,N,N,N,N,RED LICK ISD,316,63.2,500,0,0.0,62,12.4,2,0.4,0,0,31,6.2,0,0,.,.,.,.,.,A,8,REGION 08: MT PLEASANT
19912,BOWIE,19,97.6,0,96.5,65,91,93,98,100,100,A,96,77,A,90,79,A,93,A,93,86,B,88,94,N,N,N,N,N,PLEASANT GROVE ISD,1773,76.7,2313,0,0.0,757,32.7,81,3.5,0,0,226,9.8,0,0,.,.,.,.,.,A,8,REGION 08: MT PLEASANT
19913,BOWIE,19,., ,.,54,82,.,.,.,.,B,82,76,B,82,54,B,85,B,85,.,Not Rated,.,85,N,N, ,N,Y,HUBBARD ISD,.,.,69,0,0.0,43,62.3,11,15.9,.,.,11,15.9,.,.,.,.,.,.,.,B,8,REGION 08: MT PLEASANT
