Campus Number,TEA Campus Name,Campus Name
175905002,NAVARRO COUNTY AEP/ABC,Navarro County Aep/Abc
178903005,CALALLEN CHARTER H S,Calallen Charter H S
178904015,VETERANS MEMORIAL H S,Veterans Memorial H S
178904057,ADKINS MIDDLE,Adkins Middle
187907004,LIVINGSTON H S ACADEMY,Livingston H S Academy
188901052,BOWIE 6TH GRADE CAMPUS,Bowie 6Th Grade Campus
188901053,TRAVIS 6TH GRADE CAMPUS,Travis 6Th Grade Campus
201914004,ELDER COOP ALTERNATIVE SCHOOL,Elder Coop Alternative School
212801001,CUMBERLAND H S,Cumberland H S
212905049,THREE LAKES MIDDLE,Three Lakes Middle
220817002,NEWMAN INTERNATIONAL AT CEDAR HILL,Newman International At Cedar Hill
220819001,HIGH POINT ACADEMY,High Point Academy
220901162,PATRICK EL,Patrick El
220901163,JONES FINE ARTS / DUAL LANGUAGE AC,Jones Fine Arts / Dual Language Ac
220905086,TARRANT CO COLLEGE SOUTH/FORT WORT,Tarrant Co College South/Fort Wort
220908125,JUDY MILLER EL,Judy Miller El
221801061,FOUNDERS CLASSICAL ACADEMY OF MESQ,Founders Classical Academy Of Mesq
221801062,MAINLAND PREPARATORY ACADEMY,Mainland Preparatory Academy
221801063,FOUNDERS CLASSICAL ACADEMY OF FLOW,Founders Classical Academy Of Flow
221801064,CORINTH CLASSICAL ACADEMY,Corinth Classical Academy
226801004,TEXAS LEADERSHIP OF ABILENE,Texas Leadership Of Abilene
226901102,VERIBEST PPCD,Veribest Ppcd
227803103,ALTAMIRA ACADEMY,Altamira Academy
227806036,ROCK SPRINGS,Rock Springs
227806037,SHRINERS HOSPITALS FOR CHILDREN,Shriners Hospitals For Children
227806039,LIFEHOUSE,Lifehouse
227806040,AUSTIN OAKS,Austin Oaks
227806041,UNLIMITED VISIONS AFTERCARE,Unlimited Visions Aftercare
227806042,HOUSTON BEHAVIORAL HEALTHCARE,Houston Behavioral Healthcare
227806043,UNIVERSITY H S,University H S
227828001,THE EXCEL CENTER,The Excel Center
227901194,AUSTIN ISD CHILD DEVELOPMENT CENTE,Austin Isd Child Development Cente
227907109,SHADOWGLEN EL,Shadowglen El
227910005,TRAVIS CO J J A E P,Travis Co J J A E P
227912002,TRAVIS COUNTY JJAEP,Travis County Jjaep
231902102,GOSSETT EL,Gossett El
233901004,BLENDED ACADEMY,Blended Academy
237905003,ROYAL EARLY COLLEGE H S,Royal Early College H S
240903133,VETERANS MEMORIAL EL,Veterans Memorial El
240904003,JJAEP,Jjaep
246907004,LOTT DETENTION CENTER,Lott Detention Center
246908005,WILLIAMSON CO ACADEMY,Williamson Co Academy
246913125,CHRISTINE CAMACHO EL,Christine Camacho El
247903003,WILSON CO J J A E P,Wilson Co J J A E P
250906002,ALTER SCHOOL,Alter School
254901106,ZAVALA EL,Zavala El
