DISTRICT,DD3G,DD3S,COUNTY,CNTYNAME,DDALLS,D_RATING,DFLALTED,DFLCHART,DFLNEWDIST,DISTNAME,REGION,REGNNAME,DD2G,DD2S,DD2AG,DD2AS,DD2BG,DD2BS,DD1G,DD1S,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP
030901,B,81.0,30,CALLAHAN,83.0,B,N,N,N,CROSS PLAINS ISD,14,REGION 14: ABILENE,B,83.0,C,76.0,B,83.0,B,84.0,265,70.9,374,0,0.0,255,11,2.9,0,0.0,50,13.4,0,0.0
030902,B,87.0,30,CALLAHAN,86.0,B,N,N,N,CLYDE CISD,14,REGION 14: ABILENE,B,85.0,B,85.0,B,82.0,B,85.0,1073,74.7,1437,0,0.0,698,13,0.9,0,0.0,218,15.2,0,0.0
030903,D,67.0,30,CALLAHAN,75.0,C,N,N,N,BAIRD ISD,14,REGION 14: ABILENE,C,74.0,D,66.0,C,74.0,C,78.0,219,70.6,310,0,0.0,160,0,0.0,0,0.0,63,20.3,0,0.0
030906,B,86.0,30,CALLAHAN,87.0,B,N,N,N,EULA ISD,14,REGION 14: ABILENE,B,86.0,B,81.0,B,86.0,B,87.0,327,69.1,473,0,0.0,221,1,0.2,0,0.0,83,17.5,0,0.0
031901,B,86.0,31,CAMERON,87.0,B,N,N,N,BROWNSVILLE ISD,1,REGION 01: EDINBURG,B,89.0,C,78.0,B,89.0,B,82.0,27798,73.4,37854,1898,5.0,33745,15120,39.9,185,0.5,6098,16.1,0,0.0
031903,C,78.0,31,CAMERON,81.0,B,N,N,N,HARLINGEN CISD,1,REGION 01: EDINBURG,B,82.0,C,77.0,B,82.0,C,76.0,12712,74.7,17023,0,0.0,13498,2653,15.6,0,0.0,2070,12.2,0,0.0
031905,C,73.0,31,CAMERON,81.0,B,N,N,N,LA FERIA ISD,1,REGION 01: EDINBURG,B,85.0,D,67.0,B,85.0,C,77.0,2143,73.3,2924,0,0.0,2553,448,15.3,0,0.0,400,13.7,0,0.0
031906,B,86.0,31,CAMERON,87.0,B,N,N,N,LOS FRESNOS CISD,1,REGION 01: EDINBURG,B,88.0,C,78.0,B,88.0,B,82.0,7931,75.3,10536,0,0.0,8487,2437,23.1,0,0.0,1666,15.8,0,0.0
031909,B,80.0,31,CAMERON,81.0,B,N,N,N,POINT ISABEL ISD,1,REGION 01: EDINBURG,B,81.0,C,76.0,B,81.0,C,73.0,1460,75.6,1930,0,0.0,1687,765,39.6,0,0.0,216,11.2,0,0.0
031911,D,65.0,31,CAMERON,73.0,C,N,N,N,RIO HONDO ISD,1,REGION 01: EDINBURG,C,76.0,C,71.0,C,76.0,D,68.0,1240,76.4,1622,0,0.0,1411,198,12.2,257,15.8,246,15.2,0,0.0
