CAMPUS,CAMPNAME,DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,C_RATING,CD1G,CD2G,CD2AG,CD2BG,CD3G,CPETALLC,CPE0312C,GRDTYPE,GRDSPAN,CPETECOP,CFLDAEP,CFLJJ,CFLPAIRD,CFLALTED,CFLRTF,PAIRCAMP,CFLPAIRO,CFLPAIR,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD2A,CD2AS,CD2BS,CD2B,CD3,CD3S,CD1S,CD2S,CDALLS,CPETSTEC,CPETECHC,CPETPTEC,CPEMALLC,CPEMALLT,CPEMALLP,CPETECOC,CPETSPEC,GRDLOW,GRDHIGH,CPETLEPC,CPETLEPP,CPETSPEP,CPETECHP,CPETPTEP,CPETSTEP,CPE0312P,CFLCHART,CFLEEK,CFLNEWCAMP,CFLAEC,PAIRNAME,CFLAEATYPE,LAS_SCORE,LAS_WEIGHT
"003903201","JUVENILE DETENT CTR","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",8,8,"S","07 - 11",100,"N","N","N","N","Y"," ","N","N",,,,,,,,,,,,,,,,,,0,74,74,100,8,2,"07","11",0,0,25,0,0,0,100,"N","N","N","N"," "," ",,
"003904001","HUNTINGTON H S","003904","HUNTINGTON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","B","C","B","A",512,512,"S","09 - 12",49,"N","N","N","N","N"," ","N","N",53,80,92,93,100,100,72,77,87,,74,90,89,87,89,0,0,0,55,526,10.5,251,86,"09","12",10,2,16.8,0,0,0,100,"N","N","N","N"," "," ",,
"003904005","PRIDE ALTER SCH","003904","HUNTINGTON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","Not Rated","Not Rated","Not Rated","Not Rated",9,9,"S","11 - 12",33.3,"N","N","N","Y","N"," ","N","N",38,88,33,81,100,100,,,,,,,88,,88,0,0,0,25,27,92.6,3,2,"11","12",0,0,22.2,0,0,0,100,"N","N","N","Y"," ","DROPOUT RECOVERY SCHOOL",,
"003904041","HUNTINGTON MIDDLE","003904","HUNTINGTON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","B","B","B","C",350,350,"M","06 - 08",54,"N","N","N","N","N"," ","N","N",51,82,,,,,68,80,83,,49,76,82,83,81,0,0,0,46,401,11.5,189,66,"06","08",4,1.1,18.9,0,0,0,100,"N","N","N","N"," "," ",,
"003904101","HUNTINGTON EL","003904","HUNTINGTON ISD","003","ANGELINA","07","REGION 07: KILGORE","C","D","D","Not Rated","D","C",470,102,"E","EE - 03",66.8,"N","N","N","N","N"," ","N","N",39,67,,,,,,,65,,54,77,67,65,70,0,0,0,60,374,16,314,84,"EE","03",4,0.9,17.9,0,0,0,21.7,"N","N","N","N"," "," ",,
"003904102","HUNTINGTON INT","003904","HUNTINGTON ISD","003","ANGELINA","07","REGION 07: KILGORE","C","D","C","C","D","C",246,246,"E","04 - 05",63.8,"N","N","N","N","N"," ","N","N",39,67,,,,,68,76,63,,48,75,67,76,76,0,0,0,27,246,11,157,53,"04","05",1,0.4,21.5,0,0,0,100,"N","N","N","N"," "," ",,
"003905001","DIBOLL H S","003905","DIBOLL ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","B","D","B","C",492,492,"S","09 - 12",62.2,"N","N","N","N","N"," ","N","N",45,73,84,86,100,100,66,67,81,,51,72,84,81,80,,,11,45,544,8.3,306,58,"09","12",86,17.5,11.8,0,2.2,0,100,"N","N","N","N"," "," ",,
"003905004","STUBBLEFIELD LRN CTR","003905","DIBOLL ISD","003","ANGELINA","07","REGION 07: KILGORE","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",8,8,"S","10 - 12",0,"N","N","N","Y","N"," ","N","N",,,8,51,80,65,,,,,,,,,,,,0,9,10,90,0,1,"10","12",1,12.5,12.5,0,0,0,100,"N","N","N","Y"," ","DROPOUT RECOVERY SCHOOL",,
"003905041","DIBOLL J H","003905","DIBOLL ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","B","C","B","C",339,339,"M","06 - 08",73.2,"N","N","N","N","N"," ","N","N",42,74,,,,,63,73,81,,44,74,74,81,79,,,,30,360,8.3,248,56,"06","08",51,15,16.5,0,0,0,100,"N","N","N","N"," "," ",,
"003905101","H G TEMPLE EL","003905","DIBOLL ISD","003","ANGELINA","07","REGION 07: KILGORE","B","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",450,0,"E","PK - 02",77.1,"N","N","N","N","N","003905103","N","Y",,,,,,,,,,,,,,,81,,,,21,222,9.5,347,43,"PK","02",41,9.1,9.6,0,0,0,0,"N","N","N","N","H G TEMPLE INT"," ",,
