DISTRICT,DISTNAME,District Number,District Name
178808,SEASHORE CHARTER SCHOOLS,178808,Seashore Middle Academy (C)
178901,AGUA DULCE ISD,178901,Agua Dulce ISD
178902,BISHOP CISD,178902,Bishop CISD
178903,CALALLEN ISD,178903,Calallen ISD
178904,CORPUS CHRISTI ISD,178904,Corpus Christi ISD
178905,DRISCOLL ISD,178905,Driscoll ISD
178906,LONDON ISD,178906,London ISD
178908,PORT ARANSAS ISD,178908,Port Aransas ISD
178909,ROBSTOWN ISD,178909,Robstown ISD
178912,TULOSO-MIDWAY ISD,178912,Tuloso-Midway ISD
178913,BANQUETE ISD,178913,Banquete ISD
178914,FLOUR BLUFF ISD,178914,Flour Bluff ISD
178915,WEST OSO ISD,178915,West Oso ISD
179901,PERRYTON ISD,179901,Perryton ISD
180901,BOYS RANCH ISD,180901,Boys Ranch ISD
180902,VEGA ISD,180902,Vega ISD
180903,ADRIAN ISD,180903,Adrian ISD
180904,WILDORADO ISD,180904,Wildorado ISD
181901,BRIDGE CITY ISD,181901,Bridge City ISD
181905,ORANGEFIELD ISD,181905,Orangefield ISD
181906,WEST ORANGE-COVE CISD,181906,West Orange-Cove CISD
181907,VIDOR ISD,181907,Vidor ISD
181908,LITTLE CYPRESS-MAURICEVILLE CISD,181908,Little Cypress-Mauriceville CISD
182901,GORDON ISD,182901,Gordon ISD
182902,GRAFORD ISD,182902,Graford ISD
182903,MINERAL WELLS ISD,182903,Mineral Wells ISD
182904,SANTO ISD,182904,Santo ISD
182905,STRAWN ISD,182905,Strawn ISD
182906,PALO PINTO ISD,182906,Palo Pinto ISD
183801,PANOLA CHARTER SCHOOL,183801,Panola Charter School (C)
183901,BECKVILLE ISD,183901,Beckville ISD
183902,CARTHAGE ISD,183902,Carthage ISD
183904,GARY ISD,183904,Gary ISD
184801,CROSSTIMBERS ACADEMY,184801,Crosstimbers Academy (C)
184901,POOLVILLE ISD,184901,Poolville ISD
184902,SPRINGTOWN ISD,184902,Springtown ISD
184903,WEATHERFORD ISD,184903,Weatherford ISD
184904,MILLSAP ISD,184904,Millsap ISD
184907,ALEDO ISD,184907,Aledo ISD
184908,PEASTER ISD,184908,Peaster ISD
184909,BROCK ISD,184909,Brock ISD
184911,GARNER ISD,184911,Garner ISD
185901,BOVINA ISD,185901,Bovina ISD
185902,FARWELL ISD,185902,Farwell ISD
185903,FRIONA ISD,185903,Friona ISD
185904,LAZBUDDIE ISD,185904,Lazbuddie ISD
186901,BUENA VISTA ISD,186901,Buena Vista ISD
186902,FORT STOCKTON ISD,186902,Fort Stockton ISD
186903,IRAAN-SHEFFIELD ISD,186903,Iraan-Sheffield ISD
187901,BIG SANDY ISD,187901,Big Sandy ISD
187903,GOODRICH ISD,187903,Goodrich ISD
187904,CORRIGAN-CAMDEN ISD,187904,Corrigan-Camden ISD
187906,LEGGETT ISD,187906,Leggett ISD
