id,name,Campus Number,Campus Name
14903043,LAKE BELTON MIDDLE,14903043,Lake Belton Middle School
14903044,SOUTH BELTON MIDDLE,14903044,South Belton Middle
14903102,LEON HEIGHTS EL,14903102,Leon Heights Elementary School
14903103,MILLER HEIGHTS EL,14903103,Miller Heights Elementary School
14903104,SOUTHWEST EL,14903104,Southwest Elementary School
14903108,LAKEWOOD EL,14903108,Lakewood Elementary School
14903109,SPARTA EL,14903109,Sparta Elementary School
14903111,JOE M PIRTLE EL,14903111,Joe M Pirtle Elementary School
14903114,TYLER EL,14903114,Tyler Elementary School
14903116,TARVER EL,14903116,Tarver Elementary School
14905001,HOLLAND H S,14905001,Holland High School
14905041,HOLLAND MIDDLE,14905041,Holland Middle School
14905101,HOLLAND EL,14905101,Holland Elementary School
14906001,KILLEEN H S,14906001,Killeen High School
14906002,C E ELLISON H S,14906002,CE Ellison High School
14906004,GATEWAY H S,14906004,Haynes School High School
14906006,PATHWAYS ACADEMIC CAMPUS,14906006,Pathways Academic Campus
14906007,HARKER HEIGHTS H S,14906007,Harker Heights High School
14906008,ROBERT M SHOEMAKER H S,14906008,Robert Shoemaker High School
14906009,GATEWAY MIDDLE,14906009,Haynes School Middle School
14906022,METROPLEX SCHOOL,14906022,Metroplex School
14906025,BELL COUNTY JUV DET CTR,14906025,Bell County Juvenile Detention Center
14906026,KILLEEN JJAEP,14906026,Killeen JJAEP
14906042,NOLAN MIDDLE,14906042,Nolan Middle School
14906043,RANCIER MIDDLE,14906043,Rancier Middle School
14906044,MANOR MIDDLE,14906044,Manor Middle School
14906045,SMITH MIDDLE,14906045,Smith Middle School
14906046,EASTERN HILLS MIDDLE,14906046,Eastern Hills Middle School
14906048,PALO ALTO MIDDLE,14906048,Palo Alto Middle School
14906049,LIBERTY HILL MIDDLE,14906049,Liberty Hill Middle School
14906050,LIVE OAK RIDGE MIDDLE,14906050,Live Oak Ridge Middle School
14906051,UNION GROVE MIDDLE,14906051,Union Grove Middle School
14906052,AUDIE MURPHY MIDDLE,14906052,Audie Murphy Middle School
14906053,CHARLES E PATTERSON MIDDLE,14906053,Charles E Patterson Middle School
14906100,EL ALTER LEARNING CENTER,14906100,Elementary Alternative Learning Center
14906102,CLIFTON PARK EL,14906102,Clifton Park Elementary School
14906103,EAST WARD EL,14906103,East Ward Elementary School
14906104,FOWLER EL,14906104,Fowler Elementary School
14906105,HARKER HEIGHTS EL,14906105,Harker Heights Elementary School
14906108,MEADOWS EL,14906108,Meadows Elementary School
14906109,PEEBLES EL,14906109,Peebles Elementary School
14906110,PERSHING PARK EL,14906110,Pershing Park Elementary School
14906111,SUGAR LOAF EL,14906111,Sugar Loaf Elementary School
14906112,WEST WARD EL,14906112,West Ward Elementary School
14906113,BELLAIRE EL,14906113,Bellaire Elementary School
14906115,NOLANVILLE EL,14906115,Nolanville Elementary School
14906116,CLARKE EL,14906116,Clarke Elementary School
14906117,DUNCAN EL,14906117,Duncan Elementary School
14906119,HAY BRANCH EL,14906119,Hay Branch Elementary School
14906120,WILLOW SPRINGS EL,14906120,Willow Springs Elementary School
14906121,MOUNTAIN VIEW EL,14906121,Mountain View Elementary School
14906122,REECES CREEK EL,14906122,Reeces Creek Elementary School
14906123,CLEAR CREEK EL,14906123,Clear Creek Elementary School
14906124,CEDAR VALLEY EL,14906124,Cedar Valley Elementary School
14906125,BROOKHAVEN EL,14906125,Brookhaven Elementary School
14906126,VENABLE VILLAGE EL,14906126,Venable Village Elementary School
14906127,TRIMMIER EL,14906127,Trimmier Elementary School
14906128,MONTAGUE VILLAGE EL,14906128,Montague Village Elementary School
14906129,MAXDALE EL,14906129,Maxdale Elementary School
14906130,IRA CROSS JR EL,14906130,Ira Cross Jr Elementary School
14906131,IDUMA EL,14906131,Iduma Elementary School
14906132,OVETA CULP HOBBY EL,14906132,Oveta Culp Hobby Elementary School
14906133,TIMBER RIDGE EL,14906133,Timber Ridge Elementary School
14906135,SAEGERT EL,14906135,Saegert Elementary School
14906136,SKIPCHA EL,14906136,Skipcha Elementary School
14906137,RICHARD E CAVAZOS EL,14906137,Richard E Cavazos Elementary School
14906138,HAYNES EL,14906138,Haynes El
14907001,ROGERS H S,14907001,Rogers High School
14907041,ROGERS MIDDLE,14907041,Rogers Middle School
14907102,ROGERS EL,14907102,Rogers Elementary School
14908001,SALADO H S,14908001,Salado High School
14908041,SALADO INT,14908041,Salado Intermediate School
14908042,SALADO J H,14908042,Salado Junior High School
14908101,THOMAS ARNOLD EL,14908101,Thomas Arnold Elementary School
14909002,TEMPLE H S,14909002,Temple High School
14909005,WHEATLEY ALTERNATIVE EDUCATION CEN,14909005,Wheatley Alternative Education Center
14909008,FRED W EDWARDS ACADEMY AEC,14909008,Fred W Edwards Academy
14909041,LAMAR MIDDLE,14909041,Lamar Middle School
14909042,TRAVIS MIDDLE,14909042,Travis Middle School
14909044,BONHAM MIDDLE,14909044,Bonham Middle School
14909101,BETHUNE EARLY CHILDHOOD CENTER,14909101,Bethune Early Childhood Center
14909102,CATER EL,14909102,Cater Elementary School
14909107,JEFFERSON EL,14909107,Jefferson Elementary School
14909110,SCOTT EL,14909110,Scott Elementary School
14909111,THORNTON EL,14909111,Thornton Elementary School
14909114,WESTERN HILLS EL,14909114,Western Hills Elementary School
14909115,MERIDITH-DUNBAR EL,14909115,Meridith-Dunbar Elementary School
14909116,RAYE-ALLEN EL,14909116,Raye-Allen Elementary School
14909117,KENNEDY-POWELL EL,14909117,Kennedy-Powell Elementary School
14909118,HECTOR P GARCIA EL,14909118,Hector P Garcia Elementary School
14910001,TROY H S,14910001,Troy High School
14910041,RAYMOND MAYS MIDDLE,14910041,Troy Middle School
14910101,TROY EL,14910101,Troy Elementary School
14910103,EDNA BIGHAM MAYS ELEMENTARY,14910103,Edna Bigham Mays Elementary School
15801001,POR VIDA ACADEMY CHARTER H S,15801001,Por Vida Academy Charter High School (C)
15801002,CORPUS CHRISTI COLLEGE PREP H S,15801002,Corpus Christi College Prep High School (C)
15801003,CESAR E CHAVEZ ACADEMY,15801003,Cesar E Chavez Academy (C)
15802001,GEORGE GERVIN ACADEMY,15802001,George Gervin Academy (C)
15802004,THE EDUCATION AND TRAINING CENTER,15802004,The Education And Training Center (C)
15805041,NEW FRONTIERS MIDDLE SCH,15805041,New Frontiers Middle School (C)
15805101,NEW FRONTIERS CHARTER SCHOOL,15805101,New Frontiers Charter School (C)
15805102,EARLY CHILDHOOD ACADEMY,15805102,Early Childhood Academy - New Frontiers Charter School (C)
15806001,RICK HAWKINS H S,15806001,Rick Hawkins High School (C)
15806003,MILTON B LEE ACADEMY OF SCIENCE &,15806003,Milton B Lee Academy Of Science & Engineering (C)
15806041,DR PAUL S SAENZ J H,15806041,Dr Paul S Saenz Junior High School (C)
15806101,DR HARMON W KELLEY EL,15806101,Dr Harmon W Kelley Elementary School (C)
15806103,DR JAMES L BURCH INT,15806103,Dr James L Burch Intermediate School (C)
15806105,DR DAVID M COPELAND EL,15806105,Dr David M Copeland Elementary School (C)
15806106,DR DAVID C WALKER INT,15806106,Dr David C Walker Intermediate School (C)
15807001,SOUTHWEST PREPARATORY SCHOOL,15807001,Southwest Preparatory School (C)
15807002,SOUTHWEST PREPARATORY SOUTHEAST CA,15807002,Southwest Preparatory Southeast Campus (C)
15807004,SOUTHWEST PREPARATORY SCHOOL-NORTH,15807004,Southwest Preparatory School-Northwest (C)
15807005,NEW DIRECTIONS,15807005,New Directions (C)
15808001,JOHN H WOOD JR CHARTER SCHOOL AT A,15808001,John H Wood Jr Charter School At Afton Oaks (C)
15808003,JOHN H WOOD JR CS HAYS CO JUVENILE,15808003,John H Wood Jr Charter School Hays Co Juvenile Resource Center (C)
15808005,JOHN H WOOD JR CHARTER SCHOOL AT S,15808005,John H Wood Jr Charter School At Huebner Road (C)
15808006,JOHN H WOOD JR CS GRANBURY,15808006,John H Wood Jr Charter School Granbury (C)
15808007,ROCKDALE,15808007,Rockdale (C)
