CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLALTED,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING,CAD_PROGRESS,CAD_GAP,CAD_READ,CAD_MATH,CAD_SCIE,CAD_SOCI,CAD_POST
"004901101","004901","FULTON 4-5 LEARNING CENTER","004","ARANSAS COUNTY ISD","02","ARANSAS","E","04 - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"004901102","004901","LITTLE BAY PRI","004","ARANSAS COUNTY ISD","02","ARANSAS","E","EE - KG","N","N","004901103","LIVE OAK 1-3 LEARNING CENTER","M"," "," "," "," "," "," "," "
"004901103","004901","LIVE OAK 1-3 LEARNING CENTER","004","ARANSAS COUNTY ISD","02","ARANSAS","E","01 - 03","N","N"," "," ","M","0","0","0","0"," "," ","0"
"005901001","005901","ARCHER CITY H S","005","ARCHER CITY ISD","09","ARCHER","S","07 - 12","N","N"," "," ","M","0","0","0","0","0","0","1"
"005901101","005901","ARCHER CITY EL","005","ARCHER CITY ISD","09","ARCHER","E","PK - 06","N","N"," "," ","M","0","1","1","0","1"," ","0"
"005902001","005902","HOLLIDAY H S","005","HOLLIDAY ISD","09","ARCHER","S","09 - 12","N","N"," "," ","M","1","0","1","1","1","0","1"
"005902041","005902","HOLLIDAY MIDDLE","005","HOLLIDAY ISD","09","ARCHER","M","06 - 08","N","N"," "," ","M","0","0","0","0","0","0","0"
"005902101","005902","HOLLIDAY EL","005","HOLLIDAY ISD","09","ARCHER","E","EE - 05","N","N"," "," ","M","1","0","1","1","0"," ","0"
"005904001","005904","WINDTHORST H S","005","WINDTHORST ISD","09","ARCHER","S","09 - 12","N","N"," "," ","M","1","0","0","0","0","1","0"
"005904041","005904","WINDTHORST JH","005","WINDTHORST ISD","09","ARCHER","M","06 - 08","N","N"," "," ","M","1","1","1","0","0","0","0"
"005904101","005904","WINDTHORST EL","005","WINDTHORST ISD","09","ARCHER","E","PK - 05","N","N"," "," ","M","0","0","0","0","1"," ","1"
"006902001","006902","CLAUDE H S","006","CLAUDE ISD","16","ARMSTRONG","B","06 - 12","N","N"," "," ","M","0","0","0","1","1","0","0"
"006902101","006902","CLAUDE EL","006","CLAUDE ISD","16","ARMSTRONG","E","EE - 05","N","N"," "," ","M","1","0","1","0","1"," ","1"
"007901001","007901","CHARLOTTE H S","007","CHARLOTTE ISD","20","ATASCOSA","S","09 - 12","N","N"," "," ","M","0","0","0","0","0","0","0"
"007901041","007901","CHARLOTTE MIDDLE","007","CHARLOTTE ISD","20","ATASCOSA","M","05 - 08","N","N"," "," ","M","0","0","0","0","0","0","0"
"007901101","007901","CHARLOTTE EL","007","CHARLOTTE ISD","20","ATASCOSA","E","PK - 04","N","N"," "," ","M","1","1","0","1"," "," ","0"
"007902001","007902","JOURDANTON H S","007","JOURDANTON ISD","20","ATASCOSA","S","09 - 12","N","N"," "," ","M","0","0","0","0","1","0","0"
"007902005","007902","ATASCOSA COUNTY JUVENILE JUSTICE C","007","JOURDANTON ISD","20","ATASCOSA","S","08 - 12","N","N"," "," ","Z"," "," "," "," "," "," "," "
"007902006","007902","JOURDANTON DAEP","007","JOURDANTON ISD","20","ATASCOSA","S","09 - 12","N","N"," "," ","X"," "," "," "," "," "," "," "
"007902041","007902","JOURDANTON J H","007","JOURDANTON ISD","20","ATASCOSA","M","06 - 08","N","N"," "," ","M","1","0","0","1","0","0","1"
"007902101","007902","JOURDANTON EL","007","JOURDANTON ISD","20","ATASCOSA","E","PK - 05","N","N"," "," ","M","0","0","0","0","1"," ","0"
"007904001","007904","LYTLE H S","007","LYTLE ISD","20","ATASCOSA","S","09 - 12","N","N"," "," ","M","0","0","0","0","0","0","1"
"007904002","007904","LYTLE DAEP","007","LYTLE ISD","20","ATASCOSA","S","09 - 09","N","N"," "," ","X"," "," "," "," "," "," "," "
"007904041","007904","LYTLE J H","007","LYTLE ISD","20","ATASCOSA","M","06 - 08","N","N"," "," ","M","0","0","0","0","0","0","0"
"007904101","007904","LYTLE EL","007","LYTLE ISD","20","ATASCOSA","E","02 - 05","N","N"," "," ","M","1","0","0","0","0"," ","0"
"007904103","007904","LYTLE PRIMARY SCHOOL","007","LYTLE ISD","20","ATASCOSA","E","EE - 01","N","N","007904101","LYTLE EL","M"," "," "," "," "," "," "," "
"007905001","007905","PLEASANTON H S","007","PLEASANTON ISD","20","ATASCOSA","S","09 - 12","N","N"," "," ","M","0","0","0","0","0","0","0"
"007905005","007905","PLEASANTON ISD SCHOOL OF CHOICE","007","PLEASANTON ISD","20","ATASCOSA","S","09 - 12","Y","N"," "," ","Z"," "," "," "," "," "," "," "
"007905041","007905","PLEASANTON J H","007","PLEASANTON ISD","20","ATASCOSA","M","07 - 08","N","N"," "," ","M","0","0","0","0","0","0","0"
"007905103","007905","PLEASANTON EL","007","PLEASANTON ISD","20","ATASCOSA","E","02 - 04","N","N"," "," ","M","0","0","0","0"," "," ","0"
"007905104","007905","PLEASANTON INT","007","PLEASANTON ISD","20","ATASCOSA","M","05 - 06","N","N"," "," ","M","0","0","0","0","0"," ","0"
"007905105","007905","PLEASANTON PRI","007","PLEASANTON ISD","20","ATASCOSA","E","EE - 01","N","N","007905103","PLEASANTON EL","M"," "," "," "," "," "," "," "
"007906001","007906","POTEET H S","007","POTEET ISD","20","ATASCOSA","S","09 - 12","N","N"," "," ","M","0","0","0","0","1","0","0"
"007906041","007906","POTEET J H","007","POTEET ISD","20","ATASCOSA","M","06 - 08","N","N"," "," ","M","0","0","0","0","0","0","0"
"007906101","007906","POTEET EL","007","POTEET ISD","20","ATASCOSA","E","EE - 03","N","N"," "," ","M","1","0","0","0"," "," ","0"
"007906102","007906","POTEET INT","007","POTEET ISD","20","ATASCOSA","E","04 - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"008901001","008901","BELLVILLE H S","008","BELLVILLE ISD","06","AUSTIN","S","09 - 12","N","N"," "," ","M","0","0","0","1","0","0","1"
"008901041","008901","BELLVILLE J H","008","BELLVILLE ISD","06","AUSTIN","M","06 - 08","N","N"," "," ","M","0","0","0","0","0","0","0"
"008901101","008901","O'BRYANT PRI","008","BELLVILLE ISD","06","AUSTIN","E","EE - 03","N","N"," "," ","M","0","1","1","0"," "," ","1"
"008901102","008901","O'BRYANT INT","008","BELLVILLE ISD","06","AUSTIN","E","04 - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"008901105","008901","WEST END EL","008","BELLVILLE ISD","06","AUSTIN","E","KG - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"008902001","008902","SEALY H S","008","SEALY ISD","06","AUSTIN","S","09 - 12","N","N"," "," ","M","0","0","0","0","0","1","0"
"008902041","008902","SEALY J H","008","SEALY ISD","06","AUSTIN","M","06 - 08","N","N"," "," ","M","0","0","0","0","0","0","0"
