DISTRICT,COUNTY,REGION,DD1A,DD1B,DD1C,DD2B,DGRPRATE21,DELPRATE21,DCCPRATE21,DSTPRATE21,DAAPRATE21,DISTNAME,CNTYNAME,REGNNAME,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETECOP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DFLCHART,DFLALTED,DFLRTF,DFLNEWDIST,DFLSCD,DDA00A00T019R,DDA00A00T021R,D_RATING
011902,011,13,27,76,94.8,52,14,0,100,0,0,ELGIN ISD,BASTROP,REGION 13: AUSTIN,1659,3634,4615,547,0,306,31,3430,35.9,78.7,11.9,6.6,0.7,0,74.3,N,N,N,N,N,99,74,Not Rated: Declared State of Disaster
011904,011,13,44,59,98.5,52,75,0,100,9,40,SMITHVILLE ISD,BASTROP,REGION 13: AUSTIN,143,986,1746,216,0,0,0,1343,8.2,56.5,12.4,0.0,0,0,76.9,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
011905,011,13,40,75,100,58,.,0,100,25,27,MCDADE ISD,BASTROP,REGION 13: AUSTIN,63,169,332,48,0,0,0,238,19.0,50.9,14.5,0.0,0,0,71.7,N,N,N,N,N,100,97,Not Rated: Declared State of Disaster
012901,012,09,53,92,100,73,100,.,100,75,86,SEYMOUR ISD,BAYLOR,REGION 09: WICHITA FALLS,5,356,616,84,0,0,0,437,0.8,57.8,13.6,0.0,0,0,70.9,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
013801,013,02,36,.,.,36,.,.,.,.,.,ST MARY'S ACADEMY CHARTER SCHOOL,BEE,REGION 02: CORPUS CHRISTI,10,304,391,40,.,0,.,.,2.6,77.7,10.2,0.0,.,.,.,Y,N,N, ,Y,100,93,Not Rated: Declared State of Disaster
013901,013,02,35,34,94.8,35,100,100,0,0,26,BEEVILLE ISD,BEE,REGION 02: CORPUS CHRISTI,77,2753,3141,392,0,0,0,2386,2.5,87.6,12.5,0.0,0,0,76,N,N,N,N,N,99,96,Not Rated: Declared State of Disaster
013902,013,02,35,.,.,35,.,.,.,.,.,PAWNEE ISD,BEE,REGION 02: CORPUS CHRISTI,7,262,315,30,.,0,.,.,2.2,83.2,9.5,0.0,.,.,.,N,N,N, ,Y,100,99,Not Rated: Declared State of Disaster
013903,013,02,36,14,94.4,25,100,.,0,0,8,PETTUS ISD,BEE,REGION 02: CORPUS CHRISTI,2,254,372,40,0,0,0,273,0.5,68.3,10.8,0.0,0,0,73.4,N,N,N,N,N,99,99,Not Rated: Declared State of Disaster
013905,013,02,44,79,100,62,33,.,100,44,50,SKIDMORE-TYNAN ISD,BEE,REGION 02: CORPUS CHRISTI,17,468,804,96,0,0,0,615,2.1,58.2,11.9,0.0,0,0,76.5,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
014801,014,20,17,10,54.2,.,0,0,0,0,0,RICHARD MILBURN ALTER HIGH SCHOOL,BELL,REGION 20: SAN ANTONIO,195,1309,1856,225,0,0,0,1856,10.5,70.5,12.1,0.0,0,0,100,Y,Y,N,N,N,95,74,Not Rated: Declared State of Disaster
014803,014,12,36,60,100,48,100,.,100,0,19,PRIORITY CHARTER SCHOOLS,BELL,REGION 12: WACO,38,428,846,120,0,0,17,541,4.5,50.6,14.2,0.0,2,0,63.9,Y,N,N,N,N,99,93,Not Rated: Declared State of Disaster
014804,014,12,56,59,97.3,58,0,100,75,83,82,ORENDA CHARTER SCHOOL,BELL,REGION 12: WACO,39,265,1848,204,0,0,0,1435,2.1,14.3,11.0,0.0,0,0,77.7,Y,N,N,N,N,100,82,Not Rated: Declared State of Disaster
014901,014,12,46,38,100,42,25,0,0,36,30,ACADEMY ISD,BELL,REGION 12: WACO,98,540,1720,167,0,0,0,1292,5.7,31.4,9.7,0.0,0,0,75.1,N,N,N,N,N,99,100,Not Rated: Declared State of Disaster
014902,014,13,27,81,100,54,.,.,.,.,.,BARTLETT ISD,BELL,REGION 13: AUSTIN,75,337,380,45,.,0,.,.,19.7,88.7,11.8,0.0,.,.,.,N,N,N, ,Y,100,99,Not Rated: Declared State of Disaster
014903,014,12,46,72,98.4,59,25,0,100,21,41,BELTON ISD,BELL,REGION 12: WACO,747,5338,12576,1805,0,0,0,9563,5.9,42.4,14.4,0.0,0,0,76,N,N,N,N,N,100,94,Not Rated: Declared State of Disaster
014905,014,12,54,85,100,70,100,.,100,75,71,HOLLAND ISD,BELL,REGION 12: WACO,12,290,654,65,0,0,0,490,1.8,44.3,9.9,0.0,0,0,74.9,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
014906,014,12,39,50,93.6,45,80,100,69,7,18,KILLEEN ISD,BELL,REGION 12: WACO,4753,24296,43802,6149,0,1060,0,30638,10.9,55.5,14.0,2.4,0,0,69.9,N,N,N,N,N,99,80,Not Rated: Declared State of Disaster
014907,014,12,46,57,100,52,67,100,75,33,25,ROGERS ISD,BELL,REGION 12: WACO,59,424,891,86,0,0,0,676,6.6,47.6,9.7,0.0,0,0,75.9,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
014908,014,12,51,69,100,60,100,0,100,36,33,SALADO ISD,BELL,REGION 12: WACO,102,526,2101,177,240,0,0,1638,4.9,25.0,8.4,0.0,0,11.4,78,N,N,N,N,N,100,95,Not Rated: Declared State of Disaster
014909,014,12,36,37,92.2,37,86,100,22,7,4,TEMPLE ISD,BELL,REGION 12: WACO,1118,6319,8360,1188,0,0,0,6076,13.4,75.6,14.2,0.0,0,0,72.7,N,N,N,N,N,99,96,Not Rated: Declared State of Disaster
014910,014,12,48,93,100,71,100,0,100,64,45,TROY ISD,BELL,REGION 12: WACO,79,721,1567,237,0,0,0,1166,5.0,46.0,15.1,0.0,0,0,74.4,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
015801,015,20,19,9,67.6,.,100,.,0,0,0,POR VIDA ACADEMY,BEXAR,REGION 20: SAN ANTONIO,4,108,136,14,0,0,0,136,2.9,79.4,10.3,0.0,0,0,100,Y,Y,N,N,N,99,75,Not Rated: Declared State of Disaster
015802,015,20,28,100,100,64,100,100,100,13,13,GEORGE GERVIN ACADEMY,BEXAR,REGION 20: SAN ANTONIO,174,870,870,113,0,0,0,358,20.0,100.0,13.0,0.0,0,0,41.1,Y,N,N,N,N,98,89,Not Rated: Declared State of Disaster
015805,015,20,34,100,100,67,100,100,100,14,25,NEW FRONTIERS PUBLIC SCHOOLS INC,BEXAR,REGION 20: SAN ANTONIO,61,399,485,36,0,164,0,405,12.6,82.3,7.4,33.8,0,0,83.5,Y,N,N,N,N,99,68,Not Rated: Declared State of Disaster
015806,015,20,24,37,100,31,100,100,0,0,0,SCHOOL OF EXCELLENCE IN EDUCATION,BEXAR,REGION 20: SAN ANTONIO,77,329,354,32,133,0,0,245,21.8,92.9,9.0,0.0,0,37.6,69.2,Y,N,N,N,N,100,98,Not Rated: Declared State of Disaster
015807,015,20,20,47,96.4,34,0,100,80,0,0,SOUTHWEST PREPARATORY SCHOOL,BEXAR,REGION 20: SAN ANTONIO,93,711,850,53,0,121,0,609,10.9,83.6,6.2,14.2,0,0,71.6,Y,N,N,N,N,99,95,Not Rated: Declared State of Disaster
015808,015,20,38,75,90.5,57,100,.,100,13,23,INSPIRE ACADEMIES,BEXAR,REGION 20: SAN ANTONIO,18,305,575,109,0,0,0,481,3.1,53.0,19.0,0.0,0,0,83.7,Y,N,N,N,N,97,99,Not Rated: Declared State of Disaster
015809,015,20,16,.,.,16,.,.,.,.,.,BEXAR COUNTY ACADEMY,BEXAR,REGION 20: SAN ANTONIO,65,264,274,27,.,.,.,.,23.7,96.4,9.9,0.0,.,.,.,Y,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
015814,015,20,20,14,58.6,.,.,.,.,.,.,POSITIVE SOLUTIONS CHARTER SCHOOL,BEXAR,REGION 20: SAN ANTONIO,4,95,119,16,.,0,.,.,3.4,79.8,13.4,0.0,.,.,.,Y,Y,N, ,Y,97,81,Not Rated: Declared State of Disaster
015815,015,20,35,44,96.4,40,100,100,50,22,24,HERITAGE ACADEMY,BEXAR,REGION 20: SAN ANTONIO,286,269,617,53,0,0,0,548,46.4,43.6,8.6,0.0,0,0,88.8,Y,N,N,N,N,100,99,Not Rated: Declared State of Disaster
015822,015,20,23,49,95.5,36,100,100,100,0,0,JUBILEE ACADEMIES,BEXAR,REGION 20: SAN ANTONIO,1540,5099,6166,503,0,0,0,4252,25.0,82.7,8.2,0.0,0,0,69,Y,N,N,N,N,100,90,Not Rated: Declared State of Disaster
015825,015,20,22,.,.,22,.,0,.,0,0,LIGHTHOUSE PUBLIC SCHOOLS,BEXAR,REGION 20: SAN ANTONIO,88,250,323,31,0,0,0,172,27.2,77.4,9.6,0.0,0,0,53.3,Y,N,N,N,N,100,82,Not Rated: Declared State of Disaster
015827,015,20,31,83,100,57,100,100,100,0,5,SCHOOL OF SCIENCE AND TECHNOLOGY,BEXAR,REGION 20: SAN ANTONIO,646,1994,3274,294,446,0,0,2046,19.7,60.9,9.0,0.0,0,13.6,62.5,Y,N,N,N,N,100,83,Not Rated: Declared State of Disaster
015828,015,20,32,94,100,63,60,100,100,0,6,HARMONY SCIENCE ACAD (SAN ANTONIO),BEXAR,REGION 20: SAN ANTONIO,1646,3593,4433,418,1841,0,0,3600,37.1,81.1,9.4,0.0,0,41.5,81.2,Y,N,N,N,N,100,75,Not Rated: Declared State of Disaster
015830,015,20,28,67,99,48,100,100,100,0,0,BROOKS ACADEMIES OF TEXAS,BEXAR,REGION 20: SAN ANTONIO,168,2135,3079,411,280,30,0,2292,5.5,69.3,13.3,1.0,0,9.1,74.4,Y,N,N,N,N,98,71,Not Rated: Declared State of Disaster
015831,015,20,34,53,100,44,100,100,100,0,8,SCHOOL OF SCIENCE AND TECHNOLOGY D,BEXAR,REGION 20: SAN ANTONIO,804,2777,4805,407,643,0,0,2758,16.7,57.8,8.5,0.0,0,13.4,57.4,Y,N,N,N,N,100,83,Not Rated: Declared State of Disaster
015833,015,20,54,24,97.4,39,.,.,.,.,.,HENRY FORD ACADEMY ALAMEDA SCHOOL,BEXAR,REGION 20: SAN ANTONIO,0,38,102,10,.,0,.,.,0.0,37.3,9.8,0.0,.,.,.,Y,N,N, ,Y,99,93,Not Rated: Declared State of Disaster
015834,015,20,69,100,100,85,100,100,100,100,100,BASIS TEXAS,BEXAR,REGION 20: SAN ANTONIO,415,245,3048,81,0,0,0,2010,13.6,8.0,2.7,0.0,0,0,65.9,Y,N,N,N,N,100,97,Not Rated: Declared State of Disaster
015835,015,20,53,84,100,69,100,100,100,92,71,GREAT HEARTS TEXAS,BEXAR,REGION 20: SAN ANTONIO,459,1461,6642,480,0,0,0,4360,6.9,22.0,7.2,0.0,0,0,65.6,Y,N,N,N,N,100,92,Not Rated: Declared State of Disaster
015836,015,20,58,.,.,58,.,.,.,.,.,ELEANOR KOLITZ HEBREW LANGUAGE ACA,BEXAR,REGION 20: SAN ANTONIO,34,85,466,31,.,0,.,.,7.3,18.2,6.7,0.0,.,.,.,Y,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
015838,015,20,21,.,52,21,.,0,.,0,15,COMPASS ROSE ACADEMY,BEXAR,REGION 20: SAN ANTONIO,120,1052,1154,113,0,0,0,824,10.4,91.2,9.8,0.0,0,0,71.4,Y,N,N,N,N,100,87,Not Rated: Declared State of Disaster
015839,015,20,.,.,.,.,.,.,.,.,.,PROMESA ACADEMY CHARTER SCHOOL,BEXAR,REGION 20: SAN ANTONIO,10,171,196,15,.,.,.,.,5.1,87.2,7.7,0.0,.,.,.,Y,N,N, ,Y,.,.,Not Rated: Declared State of Disaster
015840,015,20,17,.,.,17,.,.,.,.,.,SAN ANTONIO PREPARATORY CHARTER SC,BEXAR,REGION 20: SAN ANTONIO,0,140,216,27,.,.,.,.,0.0,64.8,12.5,0.0,.,.,.,Y,N,N, ,Y,.,78,Not Rated: Declared State of Disaster
015841,015,20,.,.,.,.,.,.,.,.,.,THE GATHERING PLACE,BEXAR,REGION 20: SAN ANTONIO,9,215,348,31,.,0,.,.,2.6,61.8,8.9,0.0,.,.,.,Y,N,N, ,Y,.,.,Not Rated: Declared State of Disaster
015901,015,20,55,74,98.7,65,80,100,100,75,71,ALAMO HEIGHTS ISD,BEXAR,REGION 20: SAN ANTONIO,283,853,4826,477,0,0,0,3834,5.9,17.7,9.9,0.0,0,0,79.4,N,N,N,N,N,100,96,Not Rated: Declared State of Disaster
015904,015,20,29,55,94.8,42,100,100,100,0,0,HARLANDALE ISD,BEXAR,REGION 20: SAN ANTONIO,2042,10682,12511,1497,0,385,0,9435,16.3,85.4,12.0,3.1,0,0,75.4,N,N,N,N,N,99,91,Not Rated: Declared State of Disaster
015905,015,20,21,53,91.7,37,0,0,100,0,0,EDGEWOOD ISD,BEXAR,REGION 20: SAN ANTONIO,2069,8543,9148,1140,0,290,0,6572,22.6,93.4,12.5,3.2,0,0,71.8,N,N,N,N,N,99,88,Not Rated: Declared State of Disaster
015906,015,20,62,84,100,73,100,.,100,91,100,RANDOLPH FIELD ISD,BEXAR,REGION 20: SAN ANTONIO,6,57,1441,149,0,0,0,1131,0.4,4.0,10.3,0.0,0,0,78.5,N,N,N,N,N,100,98,Not Rated: Declared State of Disaster
015907,015,20,23,68,87.5,46,0,100,100,0,0,SAN ANTONIO ISD,BEXAR,REGION 20: SAN ANTONIO,9620,40124,45780,5983,0,1223,201,32684,21.0,87.6,13.1,2.7,0.4,0,71.4,N,N,N,N,N,99,88,Not Rated: Declared State of Disaster
015908,015,20,23,39,87.3,31,40,100,29,0,0,SOUTH SAN ANTONIO ISD,BEXAR,REGION 20: SAN ANTONIO,1552,7606,8264,970,0,431,0,6209,18.8,92.0,11.7,5.2,0,0,75.1,N,N,N,N,N,98,91,Not Rated: Declared State of Disaster
015909,015,20,41,54,95.5,48,0,100,100,60,50,SOMERSET ISD,BEXAR,REGION 20: SAN ANTONIO,807,3553,4019,432,0,148,0,3036,20.1,88.4,10.7,3.7,0,0,75.5,N,N,N,N,N,99,90,Not Rated: Declared State of Disaster
015910,015,20,47,58,94.7,53,33,100,100,50,52,NORTH EAST ISD,BEXAR,REGION 20: SAN ANTONIO,9135,30079,60219,7170,802,0,0,47189,15.2,49.9,11.9,0.0,0,1.3,78.4,N,N,N,N,N,99,84,Not Rated: Declared State of Disaster
015911,015,20,27,37,93,32,86,100,22,0,0,EAST CENTRAL ISD,BEXAR,REGION 20: SAN ANTONIO,1237,5982,9762,1179,0,0,0,7528,12.7,61.3,12.1,0.0,0,0,77.1,N,N,N,N,N,99,88,Not Rated: Declared State of Disaster
015912,015,20,31,57,97.8,44,71,100,100,0,0,SOUTHWEST ISD,BEXAR,REGION 20: SAN ANTONIO,2404,11115,13449,2118,239,0,0,10273,17.9,82.6,15.7,0.0,0,1.8,76.4,N,N,N,N,N,100,88,Not Rated: Declared State of Disaster
015913,015,20,51,60,100,56,100,.,100,80,61,LACKLAND ISD,BEXAR,REGION 20: SAN ANTONIO,22,209,888,121,0,0,0,597,2.5,23.5,13.6,0.0,0,0,67.2,N,N,N,N,N,99,91,Not Rated: Declared State of Disaster
015914,015,20,50,66,100,58,100,.,100,67,50,FT SAM HOUSTON ISD,BEXAR,REGION 20: SAN ANTONIO,26,440,1499,200,0,0,0,1039,1.7,29.4,13.3,0.0,0,0,69.3,N,N,N,N,N,100,96,Not Rated: Declared State of Disaster
015915,015,20,41,57,96,49,70,100,85,14,39,NORTHSIDE ISD,BEXAR,REGION 20: SAN ANTONIO,10901,47413,102644,13857,0,0,0,78733,10.6,46.2,13.5,0.0,0,0,76.7,N,N,N,N,N,99,78,Not Rated: Declared State of Disaster
015916,015,20,34,50,91.4,42,78,100,82,0,0,JUDSON ISD,BEXAR,REGION 20: SAN ANTONIO,2496,16036,23804,3277,379,441,0,17474,10.5,67.4,13.8,1.9,0,1.6,73.4,N,N,N,N,N,99,73,Not Rated: Declared State of Disaster
015917,015,20,26,44,92.1,35,83,100,63,9,0,SOUTHSIDE ISD,BEXAR,REGION 20: SAN ANTONIO,1039,4863,5593,845,0,281,0,4242,18.6,86.9,15.1,5.0,0,0,75.8,N,N,N,N,N,99,89,Not Rated: Declared State of Disaster
016901,016,13,53,91,97,72,100,0,100,88,75,JOHNSON CITY ISD,BLANCO,REGION 13: AUSTIN,45,226,610,65,0,0,0,503,7.4,37.0,10.7,0.0,0,0,82.5,N,N,N,N,N,99,99,Not Rated: Declared State of Disaster
016902,016,13,48,67,100,58,50,100,100,56,25,BLANCO ISD,BLANCO,REGION 13: AUSTIN,83,412,1008,147,0,0,0,796,8.2,40.9,14.6,0.0,0,0,79,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
017901,017,17,61,86,100,74,.,.,.,.,.,BORDEN COUNTY ISD,BORDEN,REGION 17: LUBBOCK,2,86,231,18,.,0,.,.,0.9,37.2,7.8,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
018901,018,12,46,79,100,63,100,100,100,18,29,CLIFTON ISD,BOSQUE,REGION 12: WACO,76,594,961,163,0,0,0,740,7.9,61.8,17.0,0.0,0,0,77,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
018902,018,12,37,79,100,58,100,.,100,0,7,MERIDIAN ISD,BOSQUE,REGION 12: WACO,20,273,417,71,0,0,0,324,4.8,65.5,17.0,0.0,0,0,77.7,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
018903,018,12,33,62,100,48,.,.,.,.,.,MORGAN ISD,BOSQUE,REGION 12: WACO,14,110,136,27,.,0,.,.,10.3,80.9,19.9,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
018904,018,12,44,97,100,71,100,0,100,11,40,VALLEY MILLS ISD,BOSQUE,REGION 12: WACO,45,290,617,83,0,0,0,445,7.3,47.0,13.5,0.0,0,0,72.1,N,N,N,N,N,99,97,Not Rated: Declared State of Disaster
018905,018,12,32,60,100,46,.,.,.,.,.,WALNUT SPRINGS ISD,BOSQUE,REGION 12: WACO,49,144,169,31,.,0,.,.,29.0,85.2,18.3,0.0,.,.,.,N,N,N, ,Y,100,99,Not Rated: Declared State of Disaster
018906,018,12,41,50,100,46,.,.,.,.,.,IREDELL ISD,BOSQUE,REGION 12: WACO,0,101,144,25,.,0,.,.,0.0,70.1,17.4,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
