DISTRICT,CNTYNAME,COUNTY,DA0GS18R,DAD_POST,DALL_UPDATE,DASC4X18R,DD1A,DD1AS,DD1B,DD1BS,DD1C,DD1CS,DD1G,DD1S,DD2A,DD2AG,DD2AS,DD2B,DD2BG,DD2BS,DD2G,DD2S,DD3,DD3G,DD3S,DDALLS,DFLALTED,DFLCHART,DFLNEWDIST,DFLRTF,DFLSCD,DISTNAME,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETECOP,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP,D_AEABONUS,D_AEABONUS_USED_PCT,D_AEAGRAD_PTS,D_AEASTAAR_PCT,D_AEASTAAR_PTS,D_APPEAL_DECISION,D_RATING,D_YRS_IR,REGION,REGNNAME
10902,BANDERA,10,85,0, ,84.9,44,75,67,92,95,85,B,84,63,D,60,56,B,87,B,87,56,C,78,84,N,N,N,N,N,BANDERA ISD,1647,73.9,2230,0,0,1192,53.5,97,4.3,0,0,279,12.5,0,0,.,.,.,.,., ,B,.,20,REGION 20: SAN ANTONIO
11901,BASTROP,11,81.6,0, ,83.5,39,69,58,88,96.6,90,B,81,62,F,59,49,B,84,B,84,35,C,72,80,N,N,N,N,N,BASTROP ISD,8460,76.6,11043,206,1.9,7785,70.5,3075,27.8,0,0,1199,10.9,0,0,.,.,.,.,., ,B,.,13,REGION 13: AUSTIN
11902,BASTROP,11,95.6,0, ,97,34,59,65,91,98.4,95,C,79,62,F,59,50,B,87,B,87,34,C,71,82,N,N,N,N,N,ELGIN ISD,3301,74.4,4438,222,5,3432,77.3,1381,31.1,12,0.3,456,10.3,0,0,.,.,.,.,., ,B,.,13,REGION 13: AUSTIN
11904,BASTROP,11,74.4,0, ,76.8,46,78,52,79,97.8,90,B,81,66,C,70,49,B,81,B,81,54,C,77,80,N,N,N,N,N,SMITHVILLE ISD,1358,75.4,1800,0,0,1060,58.9,128,7.1,0,0,192,10.7,0,0,.,.,.,.,., ,B,.,13,REGION 13: AUSTIN
11905,BASTROP,11,., , ,.,49,81,.,.,100,100,B,81,68,C,76,49,B,85,B,85,52,C,76,82,N,N,N,N,N,MCDADE ISD,249,65.2,382,0,0,233,61,60,15.7,0,0,36,9.4,0,0,.,.,.,.,., ,B,.,13,REGION 13: AUSTIN
12901,BAYLOR,12,94.4,1, ,94.4,58,88,67,92,100,100,A,92,73,B,85,63,A,91,A,91,95,A,95,93,N,N,N,N,N,SEYMOUR ISD,417,71.6,582,0,0,338,58.1,1,0.2,0,0,74,12.7,0,0,.,.,.,.,., ,A,.,9,REGION 09: WICHITA FALLS
13801,BEE,13,., , ,.,49,77,.,.,.,.,C,77,66,D,65,49,B,85,B,85,58,C,73,81,N,Y, ,N,Y,ST MARY'S ACADEMY CHARTER SCHOOL,.,.,430,0,0,355,82.6,7,1.6,.,.,35,8.1,.,.,.,.,.,.,., ,B,.,2,REGION 02: CORPUS CHRISTI
13901,BEE,13,86,0, ,85.8,39,69,47,76,94.2,80,C,74,65,D,69,43,C,79,C,79,41,C,73,77,N,N,N,N,N,BEEVILLE ISD,2514,76.1,3305,0,0,2793,84.5,79,2.4,0,0,338,10.2,0,0,.,.,.,.,., ,C,.,2,REGION 02: CORPUS CHRISTI
13902,BEE,13,., , ,.,51,78,.,.,.,.,C,78,68,D,69,51,B,86,B,86,78,C,78,84,N,N, ,N,Y,PAWNEE ISD,.,.,318,0,0,270,84.9,6,1.9,.,.,15,4.7,.,.,.,.,.,.,., ,B,.,2,REGION 02: CORPUS CHRISTI
13903,BEE,13,79.4,0, ,82.8,41,71,46,75,87.1,60,C,70,69,C,79,44,C,79,C,79,8,F,47,69,N,N,N,N,N,PETTUS ISD,317,76,417,0,0,312,74.8,2,0.5,0,0,44,10.6,0,0,.,.,.,.,., ,D,.,2,REGION 02: CORPUS CHRISTI
13905,BEE,13,100,0, ,98.5,51,82,79,95,100,100,A,91,75,B,89,65,A,92,A,92,92,A,93,92,N,N,N,N,N,SKIDMORE-TYNAN ISD,658,79.7,826,0,0,533,64.5,14,1.7,0,0,88,10.7,0,0,.,.,.,.,., ,A,.,2,REGION 02: CORPUS CHRISTI
14801,BELL,14,58.8, , ,61,17,62,28,91,51.6,65,C,74,25,F,48,.,Not Rated,.,F,48,3,D,62,72,Y,Y,N,N,N,RICHARD MILBURN ALTER HIGH SCHOOL,1949,100,1949,0,0,1331,68.3,110,5.6,0,0,204,10.5,0,0,2,61,2,31,0, ,C,.,20,REGION 20: SAN ANTONIO
14803,BELL,14,75.8,0, ,90.3,41,71,82,96,100,100,B,87,72,B,84,62,A,91,B,89,62,B,80,86,N,Y,N,N,N,PRIORITY CHARTER SCHOOLS,487,61.7,789,0,0,455,57.7,40,5.1,0,0,97,12.3,0,0,.,.,.,.,., ,B,.,12,REGION 12: WACO
14804,BELL,14,95.8,0, ,97.8,64,91,60,90,96.1,90,A,90,71,B,82,62,C,71,B,82,81,B,87,89,N,Y,N,N,N,ORENDA CHARTER SCHOOL,1299,75.6,1719,0,0,264,15.4,22,1.3,0,0,165,9.6,0,0,.,.,.,.,., ,B,.,12,REGION 12: WACO
14901,BELL,14,88,0, ,89.8,54,85,53,80,99,95,B,85,65,D,69,54,B,80,B,80,73,B,84,85,N,N,N,N,N,ACADEMY ISD,1225,74.6,1641,0,0,731,44.5,80,4.9,0,0,149,9.1,0,0,.,.,.,.,., ,B,.,12,REGION 12: WACO
14902,BELL,14,., , ,.,36,62,65,91,100,100,B,81,58,D,63,51,B,83,B,83,34,C,71,79,N,N, ,N,Y,BARTLETT ISD,.,.,342,0,0,287,83.9,55,16.1,.,.,30,8.8,.,.,.,.,.,.,., ,C,.,13,REGION 13: AUSTIN
14903,BELL,14,91.3,0, ,93.2,53,84,61,90,98.9,95,B,89,66,C,70,57,B,85,B,85,79,B,86,88,N,N,N,N,N,BELTON ISD,8904,75.1,11861,0,0,5402,45.5,759,6.4,0,0,1497,12.6,0,0,.,.,.,.,., ,B,.,12,REGION 12: WACO
14905,BELL,14,89.5,1, ,85.2,59,89,82,96,100,100,A,94,73,B,85,71,A,93,A,93,92,A,93,94,N,N,N,N,N,HOLLAND ISD,489,74.5,656,0,0,321,48.9,19,2.9,0,0,56,8.5,0,0,.,.,.,.,., ,A,.,12,REGION 12: WACO
14906,BELL,14,84.7,0, ,87.1,45,76,66,92,92.9,70,B,81,66,C,70,56,A,90,B,89,62,B,80,86,N,N,N,N,N,KILLEEN ISD,30717,68.4,44919,1023,2.3,27668,61.6,4715,10.5,0,0,5617,12.5,0,0,.,.,.,.,., ,B,.,12,REGION 12: WACO
14907,BELL,14,88.5,0, ,88.2,53,84,64,91,100,100,A,90,74,B,87,59,A,90,A,90,88,B,89,90,N,N,N,N,N,ROGERS ISD,645,74.4,867,0,0,448,51.7,42,4.8,0,0,71,8.2,0,0,.,.,.,.,., ,A,.,12,REGION 12: WACO
14908,BELL,14,94,0, ,93,55,86,68,92,100,100,A,91,70,B,80,62,B,80,B,80,73,B,84,89,N,N,N,N,N,SALADO ISD,1500,77,1948,0,0,535,27.5,98,5,0,0,129,6.6,137,7,.,.,.,.,., ,B,.,12,REGION 12: WACO
14909,BELL,14,69.6,0, ,68.5,41,71,57,86,91,65,C,76,66,C,70,49,B,85,B,85,39,C,73,81,N,N,N,N,N,TEMPLE ISD,6224,71.6,8698,0,0,6261,72,1055,12.1,0,0,1025,11.8,0,0,.,.,.,.,., ,B,.,12,REGION 12: WACO
14910,BELL,14,78.6,0, ,78.8,52,83,81,95,100,100,A,91,73,B,85,67,A,92,A,92,92,A,93,92,N,N,N,N,N,TROY ISD,1170,76,1539,0,0,788,51.2,56,3.6,0,0,201,13.1,0,0,.,.,.,.,., ,A,.,12,REGION 12: WACO
15801,BEXAR,15,62.7, , ,67.5,24,74,30,91,55.7,65,C,79,41,F,59,.,Not Rated,.,F,59,0,F,30,66,Y,Y,N,N,N,POR VIDA ACADEMY,228,100,228,0,0,196,86,5,2.2,0,0,23,10.1,0,0,2,68,2,35,0, ,D,.,20,REGION 20: SAN ANTONIO
15802,BEXAR,15,72.2, ,2,81,39,69,100,100,100,100,B,88,72,B,84,70,A,94,A,94,75,B,85,91,N,Y,N,N,N,GEORGE GERVIN ACADEMY,410,38.9,1054,0,0,1054,100,187,17.7,0,0,73,6.9,0,0,.,.,.,.,., ,Data Integrity Issues,.,20,REGION 20: SAN ANTONIO
15805,BEXAR,15,100,0, ,.,36,62,100,100,100,100,B,85,69,C,79,68,A,93,A,93,57,C,78,89,N,Y,N,N,N,NEW FRONTIERS PUBLIC SCHOOLS INC,497,75,663,192,29,586,88.4,73,11,0,0,38,5.7,0,0,.,.,.,.,., ,B,.,20,REGION 20: SAN ANTONIO
15806,BEXAR,15,100,0, ,100,37,65,53,80,100,100,C,78,67,C,73,45,B,82,B,82,50,C,76,80,N,Y,N,N,N,SCHOOL OF EXCELLENCE IN EDUCATION,382,58.9,649,0,0,599,92.3,123,19,0,0,52,8,186,28.7,.,.,.,.,., ,B,.,20,REGION 20: SAN ANTONIO
