Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
5,Beaumont,181,ORANGE,Male,578,532,0.92,465,0.80,67,0.12,441,0.76,96,0.17,181,0.31,277,0.48,18,0.03,107,0.19
5,Beaumont,229,TYLER,Female,138,130,0.94,125,0.91,5,0.04,114,0.83,35,0.25,32,0.23,67,0.49,3,0.02,27,0.20
5,Beaumont,229,TYLER,Male,114,105,0.92,92,0.81,7,0.06,86,0.75,24,0.21,26,0.23,50,0.44,4,0.04,20,0.18
6,Huntsville,8,AUSTIN,Female,208,201,0.97,188,0.90,5,0.02,179,0.86,46,0.22,84,0.40,130,0.63,8,0.04,64,0.31
6,Huntsville,8,AUSTIN,Male,205,200,0.98,185,0.90,10,0.05,175,0.85,34,0.17,72,0.35,106,0.52,3,0.01,44,0.21
6,Huntsville,21,BRAZOS,Female,864,793,0.92,729,0.84,82,0.09,689,0.80,206,0.24,280,0.32,486,0.56,17,0.02,251,0.29
6,Huntsville,21,BRAZOS,Male,863,781,0.91,656,0.76,133,0.15,638,0.74,154,0.18,234,0.27,388,0.45,16,0.02,171,0.20
6,Huntsville,26,BURLESON,Female,88,83,0.94,81,0.92, -   ,0.00,76,0.86,11,0.13,40,0.45,51,0.58,2,0.02,25,0.28
6,Huntsville,26,BURLESON,Male,103,100,0.97,83,0.81,13,0.13,86,0.84,15,0.15,35,0.34,50,0.49,2,0.02,18,0.17
6,Huntsville,93,GRIMES,Female,137,134,0.98,120,0.88,7,0.05,109,0.80,29,0.21,50,0.37,79,0.58,5,0.04,35,0.26
6,Huntsville,93,GRIMES,Male,146,136,0.93,107,0.73,26,0.18,113,0.77,25,0.17,30,0.21,55,0.38,2,0.01,21,0.14
6,Huntsville,113,HOUSTON,Female,116,112,0.97,100,0.86,8,0.07,96,0.83,24,0.21,47,0.41,71,0.61,4,0.03,27,0.23
6,Huntsville,113,HOUSTON,Male,128,119,0.93,104,0.81,15,0.12,105,0.82,22,0.17,31,0.24,53,0.41,2,0.02,31,0.24
6,Huntsville,145,LEON,Female,108,105,0.97,99,0.92,2,0.02,91,0.84,24,0.22,45,0.42,69,0.64,2,0.02,32,0.30
6,Huntsville,145,LEON,Male,122,116,0.95,114,0.93,5,0.04,99,0.81,11,0.09,38,0.31,49,0.40,1,0.01,12,0.10
6,Huntsville,154,MADISON,Female,81,80,0.99,77,0.95,2,0.02,72,0.89,26,0.32,17,0.21,43,0.53, -   ,0.00,23,0.28
6,Huntsville,154,MADISON,Male,98,95,0.97,88,0.90,5,0.05,83,0.85,22,0.22,23,0.23,45,0.46,1,0.01,12,0.12
6,Huntsville,166,MILAM,Female,143,139,0.97,133,0.93,4,0.03,121,0.85,27,0.19,72,0.50,99,0.69,6,0.04,44,0.31
6,Huntsville,166,MILAM,Male,150,144,0.96,118,0.79,22,0.15,113,0.75,16,0.11,45,0.30,61,0.41,4,0.03,27,0.18
6,Huntsville,170,MONTGOMERY,Female,3063,2869,0.94,2644,0.86,168,0.05,2449,0.80,700,0.23,1049,0.34,1749,0.57,118,0.04,871,0.28
6,Huntsville,170,MONTGOMERY,Male,3152,2944,0.93,2572,0.82,340,0.11,2407,0.76,536,0.17,968,0.31,1504,0.48,104,0.03,545,0.17
6,Huntsville,187,POLK,Female,255,235,0.92,211,0.83,13,0.05,198,0.78,49,0.19,80,0.31,129,0.51,10,0.04,53,0.21
6,Huntsville,187,POLK,Male,246,229,0.93,208,0.85,28,0.11,198,0.80,37,0.15,79,0.32,116,0.47,5,0.02,36,0.15
6,Huntsville,198,ROBERTSON,Female,98,92,0.94,87,0.89,4,0.04,79,0.81,16,0.16,36,0.37,52,0.53,3,0.03,19,0.19
6,Huntsville,198,ROBERTSON,Male,123,114,0.93,107,0.87,11,0.09,106,0.86,25,0.20,40,0.33,65,0.53,3,0.02,22,0.18
6,Huntsville,204,SAN JACINTO,Female,141,134,0.95,126,0.89,7,0.05,116,0.82,21,0.15,40,0.28,61,0.43,1,0.01,17,0.12
6,Huntsville,204,SAN JACINTO,Male,131,122,0.93,102,0.78,17,0.13,89,0.68,17,0.13,19,0.15,36,0.27,3,0.02,16,0.12
6,Huntsville,228,TRINITY,Female,78,75,0.96,71,0.91,2,0.03,59,0.76,16,0.21,26,0.33,42,0.54,4,0.05,16,0.21
6,Huntsville,228,TRINITY,Male,65,60,0.92,52,0.80,9,0.14,46,0.71,9,0.14,16,0.25,25,0.38,3,0.05,9,0.14
6,Huntsville,236,WALKER,Female,262,245,0.94,232,0.89,16,0.06,220,0.84,86,0.33,68,0.26,154,0.59,8,0.03,65,0.25
6,Huntsville,236,WALKER,Male,282,265,0.94,222,0.79,44,0.16,214,0.76,70,0.25,57,0.20,127,0.45,6,0.02,45,0.16
6,Huntsville,239,WASHINGTON,Female,187,181,0.97,165,0.88,10,0.05,158,0.84,31,0.17,84,0.45,115,0.62,7,0.04,67,0.36
6,Huntsville,239,WASHINGTON,Male,194,189,0.97,177,0.91,10,0.05,164,0.85,36,0.19,83,0.43,119,0.61,7,0.04,63,0.32
7,Kilgore,1,ANDERSON,Female,273,263,0.96,242,0.89,12,0.04,218,0.80,30,0.11,128,0.47,158,0.58,9,0.03,62,0.23
7,Kilgore,1,ANDERSON,Male,337,327,0.97,280,0.83,34,0.10,252,0.75,31,0.09,90,0.27,121,0.36,9,0.03,57,0.17
7,Kilgore,3,ANGELINA,Female,595,571,0.96,542,0.91,21,0.04,508,0.85,118,0.20,272,0.46,390,0.66,15,0.03,175,0.29
7,Kilgore,3,ANGELINA,Male,588,564,0.96,500,0.85,56,0.10,486,0.83,77,0.13,206,0.35,283,0.48,8,0.01,96,0.16
7,Kilgore,37,CHEROKEE,Female,302,280,0.93,268,0.89,18,0.06,240,0.79,39,0.13,128,0.42,167,0.55,10,0.03,78,0.26
7,Kilgore,37,CHEROKEE,Male,290,267,0.92,236,0.81,28,0.10,213,0.73,20,0.07,84,0.29,104,0.36,4,0.01,42,0.14
7,Kilgore,92,GREGG,Female,804,754,0.94,715,0.89,22,0.03,649,0.81,112,0.14,369,0.46,481,0.60,23,0.03,232,0.29
7,Kilgore,92,GREGG,Male,857,806,0.94,741,0.86,53,0.06,676,0.79,127,0.15,299,0.35,426,0.50,19,0.02,178,0.21
7,Kilgore,102,HARRISON,Female,414,388,0.94,368,0.89,6,0.01,342,0.83,83,0.20,150,0.36,233,0.56,8,0.02,111,0.27
7,Kilgore,102,HARRISON,Male,472,446,0.94,427,0.90,20,0.04,369,0.78,61,0.13,170,0.36,231,0.49,8,0.02,103,0.22
7,Kilgore,107,HENDERSON,Female,358,340,0.95,320,0.89,8,0.02,291,0.81,58,0.16,156,0.44,214,0.60,12,0.03,98,0.27
7,Kilgore,107,HENDERSON,Male,379,365,0.96,338,0.89,21,0.06,304,0.80,44,0.12,134,0.35,178,0.47,5,0.01,64,0.17
7,Kilgore,174,NACOGDOCHES,Female,386,364,0.94,346,0.90,18,0.05,312,0.81,99,0.26,115,0.30,214,0.55,10,0.03,100,0.26
7,Kilgore,174,NACOGDOCHES,Male,415,384,0.93,349,0.84,33,0.08,314,0.76,67,0.16,103,0.25,170,0.41,8,0.02,79,0.19
