DISTRICT,D20GP14R,D20GV14R,D2CRB13R,D2CRB14R,D2CRM13R,D2CRM14R,D2CRR13R,D2CRR14R,D30GP14R,D30GV14R,D3CRB13R,D3CRB14R,D3CRM13R,D3CRM14R,D3CRR13R,D3CRR14R,D40GP14R,D40GV14R,D4CRB13R,D4CRB14R,D4CRM13R,D4CRM14R,D4CRR13R,D4CRR14R,DA0GP14R,DA0GV14R,DACRB13R,DACRB14R,DACRM13R,DACRM14R,DACRR13R,DACRR14R,DB0GP14R,DB0GV14R,DBCRB13R,DBCRB14R,DBCRM13R,DBCRM14R,DBCRR13R,DBCRR14R,DE0GP14R,DE0GV14R,DECRB13R,DECRB14R,DECRM13R,DECRM14R,DECRR13R,DECRR14R,DF0GP14R,DF0GV14R,DFCRB13R,DFCRB14R,DFCRM13R,DFCRM14R,DFCRR13R,DFCRR14R,DH0GP14R,DH0GV14R,DHCRB13R,DHCRB14R,DHCRM13R,DHCRM14R,DHCRR13R,DHCRR14R,DI0GP14R,DI0GV14R,DICRB13R,DICRB14R,DICRM13R,DICRM14R,DICRR13R,DICRR14R,DL0GP14R,DL0GV14R,DLCRB13R,DLCRB14R,DLCRM13R,DLCRM14R,DLCRR13R,DLCRR14R,DM0GP14R,DM0GV14R,DMCRB13R,DMCRB14R,DMCRM13R,DMCRM14R,DMCRR13R,DMCRR14R,DR0GP14R,DR0GV14R,DRCRB13R,DRCRB14R,DRCRM13R,DRCRM14R,DRCRR13R,DRCRR14R,DS0GP14R,DS0GV14R,DSCRB13R,DSCRB14R,DSCRM13R,DSCRM14R,DSCRR13R,DSCRR14R,DW0GP14R,DW0GV14R,DWCRB13R,DWCRB14R,DWCRM13R,DWCRM14R,DWCRR13R,DWCRR14R
"111902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,78.9,47,83,60,83,67,83,-1,-1,.,-1,.,-1,.,-1,100,36.8,20,88,20,88,60,88,100,31.6,50,88,75,88,75,88,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,47.4,43,80,43,80,57,80,-1,-1,13,-1,25,-1,50,-1,-1,-1,.,.,.,.,.,.,100,63.2,50,93,64,93,71,93
"111903",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.8,97.8,75,63,90,75,74,79,.,.,.,.,.,.,.,.,-1,-1,83,-1,83,-1,83,-1,100,56.5,74,63,83,64,72,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,95,41.3,75,63,96,89,76,68,90.9,21.7,-1,30,-1,30,-1,70,80,8.7,-1,-1,-1,-1,-1,-1,97.6,87,73,66,90,77,74,84
"112901",.,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,87.9,75.3,59,56,71,64,73,75,90,13,46,41,46,46,75,68,85.6,35.1,40,46,55,55,55,68,90,38.1,66,66,71,71,83,83,80,18.2,40,46,55,59,48,65,.,.,.,.,.,.,.,.,62.5,2.2,0,0,0,17,0,0,85.6,37.2,53,45,72,55,63,66,80,38.5,37,28,50,37,59,60,56.5,5.6,0,0,9,6,8,19,90.6,42.9,68,68,81,71,80,83
"112905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.2,95.2,56,55,67,60,72,86,.,.,.,.,.,.,.,.,87.5,33.3,50,38,68,38,77,88,100,52.4,70,60,75,60,95,91,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90,42.9,43,50,61,60,52,80,91.7,52.4,32,36,41,36,64,83,-1,-1,-1,-1,-1,-1,-1,-1,95,90.5,56,58,67,63,74,85
"112906",.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.1,97.1,48,47,76,61,44,63,-1,-1,.,-1,.,-1,.,-1,95,55.9,50,41,67,61,43,53,100,38.2,40,55,67,73,40,73,92.3,35.3,-1,36,-1,42,-1,55,.,.,.,.,.,.,.,.,-1,-1,.,-1,.,-1,.,-1,95.2,58.8,60,42,90,55,50,58,91.7,32.4,30,11,50,20,27,33,-1,-1,.,.,.,-1,-1,.,100,58.8,55,56,85,78,50,67
"112907",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.4,88.9,25,60,38,73,63,65,.,.,.,.,.,.,.,.,85.7,27.8,0,60,13,100,38,57,85.7,27.8,-1,80,-1,80,-1,86,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,61.1,17,50,33,70,58,50,85.7,33.3,13,-1,13,-1,50,33,-1,-1,.,.,.,.,.,-1,100,77.8,27,67,40,67,67,69
"112908",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.6,95.6,25,27,68,46,29,51,-1,-1,.,-1,.,-1,-1,-1,96.9,68.9,24,21,72,50,26,38,96,53.3,18,25,53,40,29,55,100,37.8,13,36,75,64,13,50,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,95,42.2,30,29,78,53,28,47,95.5,46.7,15,11,77,28,21,50,90,20,-1,-1,-1,-1,-1,-1,92.3,53.3,33,24,63,38,40,57
"112909",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66.7,66.7,53,43,95,79,53,43,-1,-1,.,-1,.,-1,.,-1,55.6,33.3,17,13,83,63,17,13,42.9,20,73,33,100,83,73,33,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,87.5,46.7,25,50,88,75,25,50,40,13.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,46.7,60,67,93,89,60,67
"112910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.7,94.7,47,73,76,75,53,87,.,.,.,.,.,.,.,.,-1,-1,17,-1,83,-1,33,-1,92.3,63.2,83,67,83,60,83,89,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,31.6,27,83,73,100,36,83,83.3,26.3,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,94.7,94.7,44,73,75,75,50,87
"113901",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,85.7,85.7,32,27,62,38,43,47,78.9,47.6,16,23,38,32,29,41,83.3,63.5,13,31,45,38,31,48,92.6,39.7,39,32,75,45,43,59,91.7,17.5,36,44,73,44,55,60,-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,80.6,46,27,23,51,32,42,35,78,50.8,8,20,33,21,26,40,100,20.6,0,-1,0,0,0,-1,100,14.3,52,22,90,44,57,44
"113902",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63.4,34.1,41,46,79,56,44,58,25,0,17,13,67,38,17,38,52.6,12.2,20,24,80,39,20,47,76.2,17.1,53,58,74,63,58,75,-1,-1,60,-1,80,-1,60,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,17.1,27,31,87,47,27,38,41.7,7.3,18,10,65,20,18,30,-1,-1,.,-1,.,-1,.,-1,79.3,31.7,53,58,88,64,59,68
"113903",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,78.1,68.8,63,39,74,43,75,59,-1,-1,-1,-1,-1,-1,-1,-1,77.8,18.8,71,57,86,57,75,67,73.7,40.6,53,38,67,38,73,68,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84.6,28.1,75,42,83,50,77,46,66.7,12.5,-1,17,-1,17,-1,83,50,9.4,-1,-1,-1,-1,-1,17,82.1,62.5,63,42,71,46,76,57
"113905",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,95.8,87.5,48,26,55,39,64,48,.,.,.,.,.,.,.,.,100,37.5,33,10,42,20,50,40,100,54.2,36,29,36,36,64,57,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,90,33.3,58,22,68,44,63,33,85.7,20.8,10,17,10,33,40,50,-1,-1,-1,-1,-1,-1,-1,-1,94.4,70.8,48,24,56,35,63,47
"113906",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.8,95.8,48,33,74,50,52,41,-1,-1,-1,-1,-1,-1,-1,-1,100,45.8,47,38,73,44,53,56,91.7,45.8,71,50,86,75,86,67,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,50,38,11,69,20,38,10,100,54.2,27,10,55,27,27,9,-1,-1,-1,-1,-1,-1,-1,-1,94.4,70.8,53,31,84,47,58,29
"114901",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,71,32.9,37,45,54,52,50,72,38.9,0.5,29,21,41,47,35,43,66.3,14.8,31,46,45,51,45,65,80,17.6,35,52,51,55,53,83,69.4,19.5,27,41,46,44,43,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.7,15.2,38,39,57,49,46,59,59.1,22.4,20,18,35,25,35,56,33.3,2.9,0,10,6,9,0,30,80.3,12.4,54,54,70,65,63,76
"114902",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,.,-1,.,-1,.,-1,98,98,43,56,71,60,53,82,.,.,.,.,.,.,.,.,100,26,40,73,67,73,60,91,100,54,42,50,58,50,58,92,100,30,35,50,71,50,47,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.7,44,44,63,84,74,48,70,100,54,33,38,57,43,50,74,-1,-1,-1,-1,-1,-1,-1,-1,97,64,45,56,70,63,55,86
"114904",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,91.7,54.2,79,79,88,78,88,91,.,.,.,.,.,.,.,.,83.3,6.3,-1,60,-1,50,-1,80,95.7,29.2,89,85,100,81,89,100,100,22.9,86,79,86,79,100,93,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,88,25,75,74,83,75,88,83,60,4.2,-1,-1,-1,-1,-1,-1,60,6.3,-1,-1,-1,-1,-1,-1,90.6,31.3,80,82,88,80,88,93
"115901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,87,42,47,88,80,42,53,.,.,.,.,.,.,.,.,100,82.6,40,50,87,79,40,57,100,43.5,31,57,92,78,31,70,100,87,39,47,87,80,39,53,.,.,.,.,.,.,.,.,100,13,0,0,83,33,0,0,100,43.5,50,36,85,82,50,36,100,37,0,39,77,72,0,39,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.
"115902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,.,54,.,57,.,.,.,.,.,.,.,.,.,.,.,40,.,80,.,43,.,.,.,50,.,67,.,67,.,.,.,44,.,56,.,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,.,43,.,50,.,.,.,-1,.,-1,.,40,.,.,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.
"115903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,.,-1,.,-1,.,-1
"116801",-1,-1,.,-1,.,-1,.,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,78.6,75,36,18,43,23,53,58,100,21.4,-1,33,-1,33,-1,83,92.3,39.3,20,9,20,9,50,73,66.7,17.9,29,0,29,0,57,63,77.8,25,-1,0,-1,0,-1,50,.,.,.,.,.,.,.,.,-1,-1,.,-1,.,-1,.,-1,84.2,57.1,43,27,57,33,50,56,73.7,46.4,17,7,17,7,43,50,85.7,21.4,.,-1,.,-1,-1,-1,70,25,44,33,44,50,78,50
"116901",100,4.5,60,-1,80,-1,60,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,69,66,88,79,69,76,-1,-1,.,-1,.,-1,.,-1,100,29.7,69,62,89,79,72,79,100,45,78,70,91,74,79,85,100,10.8,63,70,75,90,56,67,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,100,55,59,63,83,82,58,69,100,20.7,45,29,72,41,48,58,100,15.3,-1,13,-1,38,17,40,100,83.8,69,64,89,76,70,76
"116902",-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,100,100,78,66,89,75,79,85,.,.,-1,.,-1,.,-1,.,100,51.3,80,64,87,71,88,80,100,38.5,81,45,94,45,72,83,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,61.5,75,76,85,90,86,86,100,17.9,71,-1,71,-1,78,-1,100,25.6,.,-1,.,-1,-1,-1,100,87.2,77,64,87,75,81,82
"116903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,95.9,86.7,59,47,75,61,66,60,100,18.4,38,25,57,29,38,38,100,38.8,47,42,66,61,57,51,93.2,37.8,58,38,74,53,65,58,100,13.3,44,29,63,57,63,40,.,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,98.1,49,61,54,77,67,67,61,100,40.8,13,14,32,30,21,35,85.7,12.2,0,0,0,0,0,0,94.9,50,65,60,80,73,71,71
"116905",80,1.8,57,-1,57,-1,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,93.4,88.6,47,41,65,55,57,59,82.5,14.5,23,14,46,28,36,36,91.9,43,37,28,58,40,47,47,90.4,43,42,41,56,52,55,65,94.8,30.3,39,33,63,49,49,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,33,-1,0,-1,96.5,45.6,53,41,74,58,60,52,92.6,26.8,22,16,35,27,40,31,94.4,7,22,0,44,22,18,0,97.1,40.8,63,54,75,66,71,67
"116906",.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,91,83.6,63,67,67,86,79,72,.,.,-1,.,-1,.,-1,.,90,23.9,35,59,41,82,65,67,88.9,44.8,64,68,64,84,84,73,85.7,9,-1,40,-1,80,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,93.5,38.8,62,65,69,88,74,70,100,7.5,13,-1,25,-1,44,60,83.3,7.5,-1,-1,-1,-1,-1,-1,91.4,71.6,64,70,69,88,79,72
"116908",.,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,84.9,75.5,35,54,65,69,47,62,-1,-1,-1,-1,-1,-1,-1,-1,80.3,36.7,24,42,61,60,36,54,85.5,37.4,42,52,67,70,58,64,80,7.9,24,50,38,75,43,54,-1,-1,-1,.,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,84.3,38.1,30,57,64,68,38,59,75,25.2,4,24,36,34,19,40,100,5.8,-1,.,-1,.,-1,-1,86.3,64,37,55,71,70,47,64
"116909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.9,97.9,58,57,81,67,74,74,-1,-1,.,-1,.,-1,.,-1,94.1,34,63,43,81,53,75,71,100,51.1,63,50,81,61,75,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,95.7,46.8,53,65,80,75,73,75,100,25.5,75,22,88,30,88,67,100,14.9,-1,-1,-1,-1,-1,-1,97.5,83,59,60,79,69,76,77
"116910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,64,47,79,50,73,60,.,.,.,.,.,.,.,.,100,70,43,44,57,40,57,67,100,30,75,-1,88,-1,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,100,70,50,36,67,42,57,45,100,45,-1,0,-1,17,-1,20,-1,-1,.,-1,.,-1,-1,-1,100,85,82,46,91,50,92,62
"116915",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86.4,75,69,65,77,80,76,80,.,.,-1,.,-1,.,-1,.,87.5,15.9,71,38,79,75,86,63,88.9,29.5,70,65,80,71,80,88,80,18.2,67,30,75,70,67,40,.,.,.,.,.,.,.,.,-1,-1,.,-1,.,-1,.,-1,84.6,45.5,68,65,75,87,74,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87.1,52.3,75,78,82,85,81,93
"116916",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,67.4,34,49,72,65,42,57,-1,-1,-1,-1,-1,-1,-1,-1,80,25.6,20,33,60,58,40,42,84.2,27.9,31,50,56,57,50,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,87.5,39.5,38,48,88,70,35,57,71.4,20.9,20,10,40,30,60,10,83.3,11.6,.,-1,.,-1,-1,-1,87.2,60.5,35,50,77,68,37,56
"117901",-1,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,59.7,22.6,44,28,62,42,59,46,50,1.1,17,22,33,33,50,30,57.6,10.8,32,19,56,40,53,30,64.6,11.8,50,35,64,48,71,57,50,10.2,33,21,55,34,55,46,.,.,-1,.,-1,.,-1,.,42.9,1.6,-1,-1,-1,-1,-1,-1,54,10.8,37,20,59,37,46,34,50.5,12.9,13,12,37,20,24,36,37.9,5.4,0,0,18,12,0,16,67.7,10.2,51,33,65,50,62,49
"117903",40,2.3,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60.5,23.3,47,44,67,56,65,62,.,.,.,.,.,.,-1,.,62.5,7,33,33,67,33,50,50,69.2,16.3,56,60,72,65,78,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,47.1,7,41,21,64,43,57,40,28.6,9.3,20,0,40,0,45,55,57.1,9.3,-1,-1,-1,-1,-1,-1,67.6,20.9,47,46,67,61,66,53
"117904",.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,61.1,33.3,45,54,62,68,54,72,.,.,.,.,.,.,.,.,46.2,11.1,55,30,55,40,73,70,56.3,8.3,50,58,67,67,58,83,-1,-1,71,-1,71,-1,71,-1,.,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,65,25,36,50,53,69,47,65,66.7,16.7,29,43,38,43,29,88,60,8.3,-1,-1,-1,-1,-1,-1,63.6,30.6,36,60,55,76,48,73
"117907",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"118902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.3,81.5,64,52,73,67,73,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,60,-1,60,-1,100,33.3,67,77,67,77,78,92,100,18.5,50,33,50,33,63,67,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,92.9,48.1,62,29,77,57,69,50,90.9,33.3,58,9,58,27,67,55,.,.,-1,.,-1,.,-1,.,94.4,55.6,75,56,92,78,75,72
"119901",.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,27,43,53,57,33,68,.,.,.,.,.,.,.,.,100,50,29,27,43,45,29,45,100,45.8,25,33,38,56,38,70,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,54.2,29,50,71,58,29,67,100,37.5,0,0,17,0,0,50,-1,-1,.,-1,.,-1,.,-1,100,91.7,33,42,50,58,42,70
"119902",-1,-1,.,-1,.,-1,.,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,83.9,67.7,71,49,88,63,78,69,-1,-1,.,-1,.,-1,.,-1,78.3,22.6,58,38,88,63,63,59,75,21,71,63,86,70,79,75,66.7,9.7,50,14,75,14,63,71,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,89.5,46.8,71,41,90,59,76,66,87.5,32.3,36,38,64,47,50,65,100,17.7,.,-1,.,-1,.,-1,85.1,50,76,55,90,69,80,69
"119903",.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.5,90.9,58,45,84,55,58,57,.,.,.,.,.,.,.,.,91.7,45.5,50,20,71,30,50,36,90,36.4,67,56,100,78,67,67,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,54.5,53,36,75,36,53,50,83.3,22.7,27,-1,67,-1,27,20,-1,-1,0,-1,33,-1,0,-1,94.7,77.3,57,47,86,59,57,56
"120901",.,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,90.7,88.8,50,38,70,59,58,49,78.6,10.3,35,30,44,40,41,40,91.7,29.9,49,26,72,46,52,41,91.8,41.1,67,47,83,60,72,62,94.1,29,39,31,70,48,53,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89.7,47.7,33,30,57,57,43,37,97.6,38.3,30,14,44,30,42,28,90,8.4,0,-1,0,0,0,0,91.4,48.6,67,43,80,68,72,51
"120902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80.4,65.2,42,47,76,60,42,51,-1,-1,.,-1,.,-1,.,-1,76.5,23.9,35,35,61,53,35,35,94.1,26.1,48,47,74,59,48,47,83.3,28.3,35,41,62,53,35,47,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,72.4,39.1,31,46,79,62,31,54,66.7,13,0,13,14,13,0,13,-1,-1,.,-1,.,-1,.,-1,81.5,37,50,52,94,64,50,56
"120905",.,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,86.2,36.2,75,82,88,89,78,86,.,.,.,.,.,.,.,.,54.5,8.6,69,44,85,67,69,60,83.3,22.4,73,79,86,82,76,86,75,8.6,65,80,80,80,64,82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89.3,13.8,77,85,90,96,81,86,53.8,3.4,43,50,57,60,56,58,-1,-1,-1,-1,-1,-1,-1,-1,88.9,25.9,78,82,91,91,85,87
"121902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85.3,70.6,47,41,82,54,53,52,-1,-1,.,-1,.,-1,.,-1,92.9,35.3,70,30,80,60,73,30,80,29.4,44,46,78,50,67,62,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89.5,41.2,50,36,88,57,40,43,75,26.5,-1,17,-1,14,-1,17,-1,-1,.,-1,.,-1,-1,-1,83.3,58.8,44,46,81,60,50,54
"121903",-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,85.4,54.2,44,58,70,60,52,77,40,1,-1,-1,-1,-1,-1,-1,78.8,17.7,29,29,63,32,36,65,80,22.9,48,64,73,65,56,88,-1,-1,20,-1,40,-1,80,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,90.2,31.3,38,51,65,55,46,67,84.6,20.8,7,14,33,13,23,53,75,11.5,.,-1,.,-1,-1,-1,88.2,50,45,63,71,65,51,77
"121904",.,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,70,26.4,43,49,58,60,63,69,55.7,13.6,25,32,46,46,47,56,64.3,19.3,33,38,51,53,55,60,74.6,10.7,45,54,53,61,73,76,92.9,4.3,54,62,62,77,85,71,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,-1,65.8,15.7,40,44,65,59,51,63,66.1,17.1,23,28,33,38,48,52,55,7.9,0,0,0,0,13,0,82.1,8.6,59,64,70,72,77,83
"121905",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,92.4,90.2,42,48,62,66,51,59,88.9,8.7,36,13,64,25,40,25,92.1,38,39,58,70,76,44,62,93.3,43.5,52,48,67,67,58,60,87.5,7.6,-1,71,-1,86,-1,71,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,91.5,46.7,37,49,59,66,47,57,92,25,13,19,24,33,19,36,80,8.7,0,-1,0,-1,14,20,93,69.6,44,50,60,69,53,62
"121906",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.8,97.8,28,29,79,62,31,33,.,.,.,.,.,.,.,.,94.7,39.1,29,40,86,73,29,38,100,37,33,31,87,50,40,38,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.6,60.9,21,27,71,69,21,30,96.2,54.3,8,23,67,50,8,26,-1,-1,.,.,.,.,.,-1,97.7,93.5,29,28,79,60,32,32
"122901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85,70,50,65,79,76,50,82,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,70,30,-1,75,-1,75,-1,100,81.8,40,43,56,57,78,43,67,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,100,40,40,56,80,78,40,67,80,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,88.9,30,57,75,100,75,57,100
