DISTRICT,D20GP14R,D20GV14R,D2CRB13R,D2CRB14R,D2CRM13R,D2CRM14R,D2CRR13R,D2CRR14R,D30GP14R,D30GV14R,D3CRB13R,D3CRB14R,D3CRM13R,D3CRM14R,D3CRR13R,D3CRR14R,D40GP14R,D40GV14R,D4CRB13R,D4CRB14R,D4CRM13R,D4CRM14R,D4CRR13R,D4CRR14R,DA0GP14R,DA0GV14R,DACRB13R,DACRB14R,DACRM13R,DACRM14R,DACRR13R,DACRR14R,DB0GP14R,DB0GV14R,DBCRB13R,DBCRB14R,DBCRM13R,DBCRM14R,DBCRR13R,DBCRR14R,DE0GP14R,DE0GV14R,DECRB13R,DECRB14R,DECRM13R,DECRM14R,DECRR13R,DECRR14R,DF0GP14R,DF0GV14R,DFCRB13R,DFCRB14R,DFCRM13R,DFCRM14R,DFCRR13R,DFCRR14R,DH0GP14R,DH0GV14R,DHCRB13R,DHCRB14R,DHCRM13R,DHCRM14R,DHCRR13R,DHCRR14R,DI0GP14R,DI0GV14R,DICRB13R,DICRB14R,DICRM13R,DICRM14R,DICRR13R,DICRR14R,DL0GP14R,DL0GV14R,DLCRB13R,DLCRB14R,DLCRM13R,DLCRM14R,DLCRR13R,DLCRR14R,DM0GP14R,DM0GV14R,DMCRB13R,DMCRB14R,DMCRM13R,DMCRM14R,DMCRR13R,DMCRR14R,DR0GP14R,DR0GV14R,DRCRB13R,DRCRB14R,DRCRM13R,DRCRM14R,DRCRR13R,DRCRR14R,DS0GP14R,DS0GV14R,DSCRB13R,DSCRB14R,DSCRM13R,DSCRM14R,DSCRR13R,DSCRR14R,DW0GP14R,DW0GV14R,DWCRB13R,DWCRB14R,DWCRM13R,DWCRM14R,DWCRR13R,DWCRR14R
"007901",.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,74.1,74.1,29,23,46,30,54,64,.,.,.,.,.,.,.,.,76.5,48.1,9,14,18,14,45,64,61.5,29.6,56,25,56,25,78,75,84.2,59.3,32,19,42,25,53,56,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,85.7,44.4,13,20,40,36,40,50,79.2,70.4,0,24,14,29,14,67,-1,-1,.,.,.,.,.,.,50,14.8,-1,33,-1,43,-1,83
"007902",-1,-1,.,-1,.,-1,.,-1,-1,-1,.,-1,.,-1,.,-1,-1,-1,.,-1,.,-1,.,-1,81.4,69.1,59,51,73,57,79,80,-1,-1,.,-1,.,-1,.,-1,79.5,28.9,52,45,62,50,79,79,82.5,42.3,69,56,72,60,91,87,83.3,44.3,61,47,71,54,82,81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,26.8,51,44,73,54,71,69,72.7,26.8,51,26,65,33,76,70,0,0,-1,-1,-1,-1,-1,-1,74.2,19.6,57,62,74,69,77,76
"007904",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.3,93.4,48,39,60,55,62,61,.,.,-1,.,-1,.,-1,.,92.6,61.5,35,28,50,45,48,56,93.7,48.4,49,38,53,51,67,67,93.8,73.8,46,35,59,51,60,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.9,45.1,48,40,67,60,57,55,92.3,29.5,25,8,38,27,38,43,83.3,4.1,.,-1,.,-1,.,-1,95.8,18.9,54,50,63,73,63,64
"007905",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,69,45.5,52,52,71,62,64,68,.,.,-1,.,-1,.,-1,.,58.9,15,42,31,64,46,52,49,72.2,26.3,58,53,70,60,72,76,71.3,29.1,48,49,66,63,60,64,.,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,65.7,19.2,46,50,71,64,55,60,38.1,5.6,12,11,37,20,29,33,33.3,0.5,0,0,29,20,11,17,63.2,15.5,63,56,78,58,73,75
"007906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,51,47,46,51,48,82,81,-1,-1,.,-1,.,-1,.,-1,76,42,40,47,45,48,78,83,82.7,29,46,48,47,46,86,86,72.8,47,40,48,44,50,80,84,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,62.5,22,47,44,56,51,75,76,68.6,32,24,18,26,22,74,69,54.5,6,-1,-1,-1,-1,-1,-1,71.4,3,68,33,73,33,87,67
"008901",100,4,-1,17,-1,57,-1,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81.9,69.8,61,42,75,60,68,62,50,4.7,45,12,55,18,55,35,67.2,22.1,38,26,64,39,47,52,79.5,31.5,61,46,68,61,70,66,71.9,15.4,46,29,71,42,54,60,-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,84.2,38.3,61,39,82,58,67,58,64.6,25.5,19,8,29,23,33,41,66.7,8.7,0,0,9,0,9,22,90.1,45,66,55,78,73,74,68
"008902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,79.2,49.2,54,54,77,66,63,66,54.5,2.7,45,20,75,40,59,60,66.7,20.8,44,35,67,51,57,51,72.2,18,53,51,74,55,63,70,77,24.6,37,39,70,54,47,55,-1,-1,.,-1,.,-1,.,-1,40,0.5,-1,-1,-1,-1,-1,-1,86,31.1,56,57,80,77,64,62,54.3,11.5,18,24,47,37,38,38,59.1,6.6,22,11,56,18,20,20,84.2,21.3,71,70,84,80,78,76
"008903",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85.5,56.4,52,68,75,78,61,84,-1,-1,67,-1,67,-1,83,-1,87.5,25.5,30,57,65,71,42,76,88.5,23.6,33,63,58,75,54,83,80.6,25.5,27,55,68,66,41,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82.8,32.7,59,73,81,81,64,85,66.7,9.1,10,43,20,43,42,86,-1,-1,0,.,0,.,0,.,94.7,27.3,81,88,88,94,78,94
"009901",.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,94.2,92.8,51,56,73,71,58,67,.,.,.,.,.,.,.,.,94,66.7,48,50,72,66,55,62,93.9,43.5,53,65,74,71,60,77,94.2,69.6,43,49,66,66,53,62,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,94.4,49.3,49,47,73,72,56,58,94.4,49.3,20,38,43,56,35,52,83.3,7.2,-1,-1,-1,-1,-1,-1,94.1,23.2,75,75,100,88,75,82
"010901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,65,48,50,56,67,65,79,.,.,-1,.,-1,.,-1,.,77.8,35,31,50,38,75,50,75,69.2,35,62,42,62,58,85,85,-1,-1,43,-1,57,-1,57,-1,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,100,30,33,67,50,83,46,67,66.7,30,20,14,20,43,36,63,-1,-1,-1,.,-1,.,-1,-1,82.4,55,53,53,59,73,72,75
