CAMPUS,CAMPNAME,DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,C_RATING,CD1G,CD2G,CD2AG,CD2BG,CD3G,CPETALLC,CPE0312C,GRDTYPE,GRDSPAN,CPETECOP,CFLDAEP,CFLJJ,CFLPAIRD,CFLALTED,CFLRTF,PAIRCAMP,CFLPAIRO,CFLPAIR,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD2A,CD2AS,CD2BS,CD2B,CD3,CD3S,CD1S,CD2S,CDALLS,CPETECHC,CPETPTEC,CPEMALLC,CPEMALLT,CPEMALLP,CPETECOC,CPETSPEC,GRDLOW,GRDHIGH,CPETLEPC,CPETLEPP,CPETSPEP,CPETECHP,CPETPTEP,CPE0312P,CFLCHART,CFLEEK,CFLNEWCAMP,CFLAEC,PAIRNAME,CFLAEATYPE,LAS_SCORE,LAS_WEIGHT
"002901002","ANDREWS EDUCATION CENTER","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","B","B","B","Not Rated","B","Not Rated",38,38,"S","09 - 12",65.8,"N","N","N","Y","N"," ","N","N",56,93,30,80,88.5,70,,,88,57,,,83,88,88,0,0,62,83,74.7,25,4,"09","12",2,5.3,10.5,0,0,100,"N","N","N","Y"," ","DROPOUT RECOVERY SCHOOL",,
"002901041","ANDREWS MIDDLE","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","C","C","C","C","C","C",970,970,"M","06 - 08",53.6,"N","N","N","N","N"," ","N","N",46,77,,,,,67,79,77,,49,76,77,79,78,0,0,118,1011,11.7,520,157,"06","08",156,16.1,16.2,0,0,100,"N","N","N","N"," "," ",,
"002901101","DEVONIAN EL","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","C","C","C","Not Rated","C","B",649,327,"E","02 - 03",54.1,"N","N","N","N","N"," ","Y","N",46,74,,,,,,,72,,69,86,74,72,78,0,0,71,728,9.8,351,81,"02","03",157,24.2,12.5,0,0,50.4,"N","N","N","N"," "," ",,
"002901104","UNDERWOOD EL","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","D","D","D","D","F","D",638,638,"E","04 - 05",56.7,"N","N","N","N","N"," ","N","N",37,64,,,,,60,66,58,,18,63,64,66,65,0,0,57,678,8.4,362,123,"04","05",125,19.6,19.3,0,0,100,"N","N","N","N"," "," ",,
"002901105","CLEARFORK EL","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",713,0,"E","EE - 01",59.5,"N","N","N","N","N","002901101","N","Y",,,,,,,,,,,,,,,78,0,0,37,340,10.9,424,84,"EE","01",213,29.9,11.8,0,0,0,"N","N","N","N","DEVONIAN EL"," ",,
"003801001","PINEYWOODS COMMUNITY ACADEMY H S","003801","PINEYWOODS COMMUNITY ACADEMY","003","ANGELINA","07","REGION 07: KILGORE","A","A","B","B","B","A",289,289,"S","09 - 12",44.6,"N","N","N","N","N"," ","N","N",68,92,81,83,100,100,77,83,88,,88,95,90,88,92,124,21,15,207,7.2,129,41,"09","12",14,4.8,14.2,42.9,7.3,100,"Y","N","N","N"," "," ",,
"003801042","DR TERRY ROBBINS MIDDLE","003801","PINEYWOODS COMMUNITY ACADEMY","003","ANGELINA","07","REGION 07: KILGORE","B","B","B","B","B","B",260,260,"M","06 - 08",56.2,"N","N","N","N","N"," ","N","N",51,82,,,,,71,82,85,,61,82,82,85,84,0,0,34,275,12.4,146,51,"06","08",20,7.7,19.6,0,0,100,"Y","N","N","N"," "," ",,
"003801103","SARAH STRINDEN EL","003801","PINEYWOODS COMMUNITY ACADEMY","003","ANGELINA","07","REGION 07: KILGORE","B","C","B","B","B","A",512,244,"E","PK - 05",60.7,"N","N","N","N","N"," ","N","N",50,77,,,,,76,86,81,,74,90,77,86,87,0,0,29,415,7,311,73,"PK","05",37,7.2,14.3,0,0,47.7,"Y","N","N","N"," "," ",,
"003902001","HUDSON H S","003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","A","A","B","F","B","A",783,783,"S","09 - 12",46,"N","N","N","N","N"," ","N","N",62,91,92,93,99.4,95,59,58,89,,81,93,93,89,93,0,0,80,837,9.6,360,105,"09","12",55,7,13.4,0,0,100,"N","N","N","N"," "," ",,
"003902004","STUBBLEFIELD LRN CTR","003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",9,9,"S","10 - 12",77.8,"N","N","N","Y","N"," ","N","N",,,33,81,87.5,65,,,,,,,,,,0,0,15,22,68.2,7,4,"10","12",0,0,44.4,0,0,100,"N","N","N","Y"," ","DROPOUT RECOVERY SCHOOL",,
