Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
6,Huntsville,26,BURLESON,Male,140,131,0.94,105,0.75,20,0.14,92,0.66,10,0.07,51,0.36,0,0,61,0.44,4,0.03,23,0.16
6,Huntsville,93,GRIMES,Female,165,147,0.89,134,0.81,23,0.14,115,0.7,39,0.24,52,0.32,0,0,91,0.55,8,0.05,39,0.24
6,Huntsville,93,GRIMES,Male,166,147,0.89,120,0.72,36,0.22,119,0.72,20,0.12,53,0.32,0,0,73,0.44,3,0.02,17,0.1
6,Huntsville,113,HOUSTON,Female,140,136,0.97,122,0.87,11,0.08,100,0.71,23,0.16,46,0.33,0,0,69,0.49,6,0.04,28,0.2
6,Huntsville,113,HOUSTON,Male,114,109,0.96,91,0.8,15,0.13,82,0.72,27,0.24,24,0.21,0,0,51,0.45,4,0.04,18,0.16
6,Huntsville,145,LEON,Female,121,117,0.97,107,0.88,5,0.04,89,0.74,17,0.14,50,0.41,0,0,67,0.55,7,0.06,25,0.21
6,Huntsville,145,LEON,Male,133,130,0.98,118,0.89,4,0.03,98,0.74,19,0.14,48,0.36,0,0,67,0.5,2,0.02,21,0.16
6,Huntsville,154,MADISON,Female,82,79,0.96,76,0.93,1,0.01,65,0.79,19,0.23,20,0.24,0,0,39,0.48,1,0.01,13,0.16
6,Huntsville,154,MADISON,Male,117,110,0.94,103,0.88,4,0.03,89,0.76,23,0.2,25,0.21,0,0,48,0.41,3,0.03,23,0.2
6,Huntsville,166,MILAM,Female,143,137,0.96,120,0.84,18,0.13,109,0.76,23,0.16,62,0.43,0,0,85,0.59,7,0.05,30,0.21
6,Huntsville,166,MILAM,Male,170,165,0.97,143,0.84,20,0.12,130,0.77,27,0.16,61,0.36,0,0,88,0.52,2,0.01,43,0.25
6,Huntsville,170,MONTGOMERY,Female,2634,2435,0.92,2138,0.81,248,0.09,1931,0.73,584,0.22,945,0.36,0,0,1529,0.58,152,0.06,721,0.27
6,Huntsville,170,MONTGOMERY,Male,2762,2532,0.92,2116,0.77,380,0.14,1934,0.7,520,0.19,892,0.32,0,0,1412,0.51,142,0.05,507,0.18
6,Huntsville,187,POLK,Female,261,249,0.95,224,0.86,14,0.05,182,0.7,33,0.13,98,0.38,0,0,131,0.5,13,0.05,30,0.12
6,Huntsville,187,POLK,Male,279,269,0.96,242,0.87,17,0.06,197,0.71,40,0.14,60,0.22,0,0,100,0.36,6,0.02,37,0.13
6,Huntsville,198,ROBERTSON,Female,132,128,0.97,116,0.88,11,0.08,111,0.84,22,0.17,46,0.35,0,0,68,0.52,0,0,30,0.23
6,Huntsville,198,ROBERTSON,Male,136,128,0.94,106,0.78,22,0.16,104,0.77,14,0.1,44,0.32,0,0,58,0.43,1,0.01,17,0.13
6,Huntsville,204,SAN JACINTO,Female,128,121,0.95,111,0.87,5,0.04,92,0.72,23,0.18,38,0.3,0,0,61,0.48,7,0.05,19,0.15
6,Huntsville,204,SAN JACINTO,Male,156,147,0.94,133,0.85,9,0.06,96,0.62,26,0.17,24,0.15,0,0,50,0.32,7,0.04,16,0.1
6,Huntsville,228,TRINITY,Female,91,87,0.96,78,0.86,7,0.08,66,0.73,14,0.15,36,0.4,0,0,50,0.55,4,0.04,15,0.17
6,Huntsville,228,TRINITY,Male,77,76,0.99,62,0.81,8,0.1,57,0.74,11,0.14,20,0.26,0,0,31,0.4,2,0.03,9,0.12
6,Huntsville,236,WALKER,Female,301,289,0.96,257,0.85,26,0.09,241,0.8,111,0.37,75,0.25,0,0,186,0.62,11,0.04,83,0.28
6,Huntsville,236,WALKER,Male,275,257,0.94,205,0.75,49,0.18,192,0.7,56,0.2,57,0.21,0,0,113,0.41,10,0.04,42,0.15
6,Huntsville,239,WASHINGTON,Female,204,195,0.96,176,0.86,15,0.07,157,0.77,51,0.25,87,0.43,0,0,138,0.68,12,0.06,69,0.34
6,Huntsville,239,WASHINGTON,Male,200,189,0.95,158,0.79,31,0.16,143,0.72,26,0.13,81,0.41,0,0,107,0.54,9,0.05,45,0.23
7,Kilgore,1,ANDERSON,Female,309,296,0.96,262,0.85,26,0.08,243,0.79,44,0.14,154,0.5,0,0,198,0.64,16,0.05,76,0.25
7,Kilgore,1,ANDERSON,Male,341,325,0.95,271,0.8,43,0.13,261,0.77,41,0.12,103,0.3,0,0,144,0.42,6,0.02,45,0.13
7,Kilgore,3,ANGELINA,Female,593,571,0.96,514,0.87,42,0.07,454,0.77,88,0.15,249,0.42,0,0,337,0.57,23,0.04,132,0.22
7,Kilgore,3,ANGELINA,Male,663,644,0.97,558,0.84,72,0.11,508,0.77,101,0.15,226,0.34,0,0,327,0.49,21,0.03,115,0.17
7,Kilgore,37,CHEROKEE,Female,292,283,0.97,240,0.82,32,0.11,196,0.67,24,0.08,126,0.43,0,0,150,0.51,19,0.07,57,0.2
7,Kilgore,37,CHEROKEE,Male,309,290,0.94,231,0.75,53,0.17,197,0.64,25,0.08,86,0.28,0,0,111,0.36,11,0.04,37,0.12
7,Kilgore,92,GREGG,Female,888,842,0.95,741,0.83,69,0.08,651,0.73,134,0.15,400,0.45,0,0,534,0.6,50,0.06,222,0.25
7,Kilgore,92,GREGG,Male,934,879,0.94,774,0.83,99,0.11,654,0.7,115,0.12,376,0.4,0,0,491,0.53,45,0.05,187,0.2
7,Kilgore,102,HARRISON,Female,496,472,0.95,436,0.88,31,0.06,395,0.8,99,0.2,218,0.44,0,0,317,0.64,19,0.04,129,0.26
7,Kilgore,102,HARRISON,Male,483,444,0.92,391,0.81,46,0.1,352,0.73,81,0.17,170,0.35,0,0,251,0.52,20,0.04,109,0.23
7,Kilgore,107,HENDERSON,Female,399,371,0.93,322,0.81,32,0.08,286,0.72,40,0.1,198,0.5,0,0,238,0.6,32,0.08,112,0.28
7,Kilgore,107,HENDERSON,Male,429,401,0.94,337,0.79,49,0.11,316,0.74,39,0.09,159,0.37,0,0,198,0.46,16,0.04,76,0.18
7,Kilgore,174,NACOGDOCHES,Female,371,353,0.95,295,0.8,43,0.12,269,0.73,99,0.27,113,0.31,0,0,212,0.57,26,0.07,88,0.24
7,Kilgore,174,NACOGDOCHES,Male,409,388,0.95,322,0.79,58,0.14,304,0.74,89,0.22,118,0.29,0,0,207,0.51,8,0.02,88,0.22
7,Kilgore,183,PANOLA,Female,128,115,0.9,108,0.84,6,0.05,94,0.73,11,0.09,72,0.56,0,0,83,0.65,8,0.06,37,0.29
7,Kilgore,183,PANOLA,Male,162,149,0.92,129,0.8,19,0.12,113,0.7,12,0.07,68,0.42,0,0,80,0.49,7,0.04,27,0.17
7,Kilgore,190,RAINS,Female,58,58,1,53,0.91,2,0.03,49,0.85,7,0.12,28,0.48,0,0,35,0.6,2,0.03,7,0.12
7,Kilgore,190,RAINS,Male,56,52,0.93,47,0.84,4,0.07,41,0.73,6,0.11,19,0.34,0,0,25,0.45,2,0.04,8,0.14
7,Kilgore,201,RUSK,Female,298,273,0.92,240,0.81,27,0.09,223,0.75,34,0.11,151,0.51,0,0,185,0.62,12,0.04,73,0.25
7,Kilgore,201,RUSK,Male,261,245,0.94,218,0.84,30,0.12,201,0.77,25,0.1,109,0.42,0,0,134,0.51,8,0.03,58,0.22
7,Kilgore,202,SABINE,Female,48,42,0.88,40,0.83,1,0.02,33,0.69,7,0.15,21,0.44,0,0,28,0.58,2,0.04,10,0.21
7,Kilgore,202,SABINE,Male,69,60,0.87,56,0.81,7,0.1,53,0.77,13,0.19,18,0.26,0,0,31,0.45,2,0.03,12,0.17
7,Kilgore,203,SAN AUGUSTINE,Female,45,42,0.93,42,0.93,1,0.02,32,0.71,4,0.09,13,0.29,0,0,17,0.38,2,0.04,3,0.07
7,Kilgore,203,SAN AUGUSTINE,Male,62,61,0.98,52,0.84,7,0.11,46,0.74,6,0.1,17,0.27,0,0,23,0.37,2,0.03,8,0.13
7,Kilgore,210,SHELBY,Female,185,173,0.94,154,0.83,15,0.08,129,0.7,22,0.12,69,0.37,0,0,91,0.49,4,0.02,43,0.23
7,Kilgore,210,SHELBY,Male,197,189,0.96,147,0.75,35,0.18,133,0.68,27,0.14,48,0.24,0,0,75,0.38,4,0.02,29,0.15
7,Kilgore,212,SMITH,Female,1184,1118,0.94,978,0.83,112,0.09,856,0.72,172,0.15,511,0.43,0,0,683,0.58,62,0.05,285,0.24
7,Kilgore,212,SMITH,Male,1271,1196,0.94,974,0.77,188,0.15,844,0.66,159,0.13,456,0.36,0,0,615,0.48,73,0.06,200,0.16
7,Kilgore,230,UPSHUR,Female,281,262,0.93,234,0.83,19,0.07,209,0.74,45,0.16,126,0.45,0,0,171,0.61,14,0.05,67,0.24
7,Kilgore,230,UPSHUR,Male,288,267,0.93,231,0.8,24,0.08,215,0.75,36,0.13,108,0.38,0,0,144,0.5,8,0.03,46,0.16
7,Kilgore,234,VAN ZANDT,Female,200,192,0.96,175,0.88,9,0.05,143,0.72,27,0.14,88,0.44,0,0,115,0.58,10,0.05,51,0.26
7,Kilgore,234,VAN ZANDT,Male,217,210,0.97,184,0.85,18,0.08,153,0.71,22,0.1,61,0.28,0,0,83,0.38,4,0.02,27,0.12
7,Kilgore,250,WOOD,Female,217,205,0.95,183,0.84,15,0.07,156,0.72,37,0.17,87,0.4,0,0,124,0.57,8,0.04,55,0.25
7,Kilgore,250,WOOD,Male,241,224,0.93,202,0.84,16,0.07,179,0.74,21,0.09,65,0.27,0,0,86,0.36,5,0.02,32,0.13
8,Mt. Pleasant,19,BOWIE,Female,578,539,0.93,497,0.86,22,0.04,430,0.74,55,0.1,295,0.51,0,0,350,0.61,31,0.05,120,0.21
8,Mt. Pleasant,19,BOWIE,Male,682,633,0.93,573,0.84,38,0.06,493,0.72,54,0.08,267,0.39,0,0,321,0.47,23,0.03,101,0.15
8,Mt. Pleasant,32,CAMP,Female,81,76,0.94,75,0.93,0,0,66,0.82,9,0.11,46,0.57,0,0,55,0.68,6,0.07,27,0.33
8,Mt. Pleasant,32,CAMP,Male,94,88,0.94,85,0.9,2,0.02,74,0.79,12,0.13,45,0.48,0,0,57,0.61,6,0.06,18,0.19
8,Mt. Pleasant,34,CASS,Female,220,211,0.96,197,0.9,6,0.03,178,0.81,23,0.11,107,0.49,0,0,130,0.59,5,0.02,54,0.25
8,Mt. Pleasant,34,CASS,Male,256,241,0.94,222,0.87,11,0.04,205,0.8,24,0.09,94,0.37,0,0,118,0.46,5,0.02,40,0.16
8,Mt. Pleasant,60,DELTA,Female,49,47,0.96,41,0.84,2,0.04,34,0.69,12,0.25,20,0.41,0,0,32,0.65,5,0.1,13,0.27
